Unnamed: 0	resolution	n_clusters	silhouette	modularity
0	0.2	10	0.11365	0.793193
1	0.4	14	0.11032	0.820853
2	0.6	16	0.057175	0.839526
3	0.8	20	0.054726	0.841514
4	1.0	23	0.038593	0.844837
5	1.2	26	0.037576	0.844344
6	1.4	31	0.038834	0.842949
7	1.6	32	0.026518	0.840142
8	1.8	35	0.032216	0.837089
9	2.0	37	0.038148	0.835573
0	0.1	1		0.0
1	0.2	2	0.378921	0.403187
2	0.3	2	0.378921	0.403187
3	0.4	2	0.368282	0.409869
4	0.5	2	0.368282	0.409869
5	0.6	2	0.368282	0.409869
6	0.7	2	0.368282	0.409869
7	0.8	2	0.368282	0.409869
8	0.9	2	0.368282	0.409869
9	1.0	2	0.368282	0.409869
10	1.1	3	0.191639	0.409238
11	1.2	4	0.186562	0.386282
12	1.3	4	0.186562	0.386282
13	1.4	4	0.182177	0.381779
14	1.5	4	0.180515	0.380017
15	1.6	5	0.038951	0.374691
16	1.7	6	0.005878	0.351722
17	1.8	7	-0.015541	0.343035
18	1.9	7	-0.017515	0.32506
19	2.0	9	-0.016669	0.30631
0	0.2	6	0.134633	0.564812
1	0.4	7	0.069525	0.693019
2	0.6	12	0.026531	0.747934
3	0.8	14	0.014834	0.750332
4	1.0	15	0.016323	0.750027
5	1.2	19	0.023315	0.751106
6	1.4	20	0.002225	0.743757
7	1.6	23	0.003511	0.740732
8	1.8	25	0.001804	0.73736
9	2.0	28	0.00311	0.733543
0	0.1	2	0.371994	0.472444
1	0.2	2	0.371994	0.472444
2	0.3	3	0.414241	0.582626
3	0.4	3	0.414241	0.582626
4	0.5	3	0.407811	0.584236
5	0.6	3	0.407811	0.584236
6	0.7	3	0.407811	0.584236
7	0.8	3	0.407811	0.584236
8	0.9	4	0.297248	0.602342
9	1.0	4	0.297248	0.602342
10	1.1	5	0.234062	0.590272
11	1.2	5	0.234062	0.590272
12	1.3	5	0.234062	0.590272
13	1.4	5	0.234062	0.590272
14	1.5	5	0.234062	0.590272
15	1.6	5	0.234062	0.590272
16	1.7	5	0.234062	0.590272
17	1.8	5	0.234062	0.590272
18	1.9	5	0.234062	0.590272
19	2.0	5	0.234062	0.590272
0	0.2	7	0.10483	
1	0.4	10	0.065943	
2	0.6	15	0.015898	
3	0.8	18	-0.000182	
4	1.0	22	0.014771	
5	1.5	27	0.009999	
0	0.1	1		0.0
1	0.2	3	0.223412	0.106312
2	0.3	4	0.069269	0.376228
3	0.4	5	0.076017	0.467009
4	0.5	5	0.050921	0.530321
5	0.6	6	0.030003	0.551945
6	0.7	7	0.004937	0.570122
7	0.8	7	0.008447	0.571688
8	0.9	8	0.015479	0.582442
9	1.0	9	0.005999	0.585001
10	1.1	9	0.005857	0.590291
11	1.2	10	0.006023	0.58949
12	1.3	11	-0.003221	0.583039
13	1.4	11	-0.002046	0.579828
14	1.5	13	0.005525	0.577427
15	1.6	15	-0.002604	0.567068
16	1.7	16	-0.005279	0.562431
17	1.8	17	-0.000483	0.560065
18	1.9	18	-0.00636	0.554896
19	2.0	21	-0.010435	0.54665
0	0.4	10	0.036124	
1	0.8	21	-0.007291	
2	1.0	25	-0.02769	
0	0.1	1		0.0
1	0.2	2	0.634397	0.029309
2	0.3	3	0.081752	0.398008
3	0.4	4	0.071703	0.422472
4	0.5	5	0.04811	0.491067
5	0.6	6	0.036371	0.522642
6	0.7	6	0.029799	0.528545
7	0.8	8	0.010896	0.538557
8	0.9	8	0.019994	0.541758
9	1.0	10	-0.009644	0.542107
10	1.1	10	0.007069	0.547384
11	1.2	12	0.007824	0.54634
12	1.3	14	0.005361	0.541137
13	1.4	15	0.003702	0.536622
14	1.5	16	-0.01524	0.533346
15	1.6	19	-0.004899	0.520576
16	1.7	21	-0.012293	0.516777
17	1.8	19	-0.008997	0.521728
18	1.9	23	-0.013329	0.510392
19	2.0	23	-0.010725	0.510082
