Unnamed: 0	comparison	cell_type	mean_prop_ref	mean_prop_test	log2FC_proportion	n_samples_ref	n_samples_test	pvalue	padj
0	healthy_vs_degenerated_all	NP_fibrocartilaginous	0.424345	0.331933	-0.354343	10	28	0.933952	1.0
1	healthy_vs_degenerated_all	NP_mature_chondrocyte	0.566702	0.652276	0.202891	10	28	0.855329	1.0
2	healthy_vs_degenerated_all	Endothelial	0.009317	0.018472	0.987323	8	20	0.258436	1.0
3	healthy_vs_degenerated_all	AF_inner	0.444175	0.317744	-0.483262	6	11	0.732547	1.0
4	healthy_vs_degenerated_all	AF_outer	0.555306	0.748755	0.43121	6	10	0.957792	1.0
5	healthy_vs_degenerated_all	Macrophage_M2	0.000358	0.001082	1.592435	5	18	0.094327	1.0
6	healthy_vs_degenerated_all	EP_hyaline	0.273678	0.120166	-1.187444	3	3	1.0	1.0
7	healthy_vs_degenerated_all	Fibroblast_like	0.633545	0.809054	0.352788	3	3	1.0	1.0
8	healthy_vs_degenerated_all	Fibrochondrocyte_chondroid	0.085284	0.062112	-0.457398	3	3	0.7	1.0
9	healthy_vs_degenerated_all	Fibrochondrocyte_fibroid	0.005491	0.008077	0.556777	3	3	0.7	1.0
10	healthy_vs_degenerated_all	NK_cell	0.000352	0.000591	0.748447	3	2	0.8	1.0
11	healthy_vs_degenerated_all	T_cell_CD8	0.006382	0.005052	-0.337095	3	14	0.952941	1.0
12	healthy_vs_degenerated_mild	NP_fibrocartilaginous	0.424345	0.34234	-0.309805	10	14	0.976644	1.0
13	healthy_vs_degenerated_mild	NP_mature_chondrocyte	0.566702	0.641962	0.179897	10	14	0.883617	1.0
14	healthy_vs_degenerated_mild	AF_inner	0.444175	0.083306	-2.414618	6	4	0.914286	1.0
15	healthy_vs_degenerated_mild	AF_outer	0.555306	0.916014	0.722085	6	4	0.914286	1.0
16	healthy_vs_degenerated_mild	Macrophage_M2	0.000358	0.001224	1.770311	5	7	0.14899	1.0
17	healthy_vs_degenerated_mild	Endothelial	0.009317	0.025269	1.439324	8	7	0.189277	1.0
18	healthy_vs_degenerated_mild	T_cell_CD8	0.006382	0.007406	0.214712	3	5	0.785714	1.0
19	healthy_vs_degenerated_severe	NP_fibrocartilaginous	0.424345	0.342003	-0.311226	10	13	1.0	1.0
20	healthy_vs_degenerated_severe	NP_mature_chondrocyte	0.566702	0.641353	0.178527	10	13	0.975263	1.0
21	healthy_vs_degenerated_severe	Endothelial	0.009317	0.01712	0.877625	8	11	0.351062	1.0
22	healthy_vs_degenerated_severe	AF_inner	0.444175	0.451708	0.024264	6	7	0.5338	1.0
23	healthy_vs_degenerated_severe	AF_outer	0.555306	0.637249	0.198575	6	6	0.818182	1.0
24	healthy_vs_degenerated_severe	Macrophage_M2	0.000358	0.000991	1.465108	5	10	0.20646	1.0
25	healthy_vs_degenerated_severe	T_cell_CD8	0.006382	0.004087	-0.642915	3	8	0.775758	1.0
26	mild_vs_severe	NP_fibrocartilaginous	0.34234	0.342003	-0.001421	14	13	0.31984	1.0
27	mild_vs_severe	NP_mature_chondrocyte	0.641962	0.641353	-0.00137	14	13	0.369327	1.0
28	mild_vs_severe	Endothelial	0.025269	0.01712	-0.561698	7	11	0.791415	1.0
29	mild_vs_severe	T_cell_CD8	0.007406	0.004087	-0.857627	5	8	0.832945	1.0
30	mild_vs_severe	Macrophage_M2	0.001224	0.000991	-0.305204	7	10	0.739613	1.0
31	mild_vs_severe	AF_inner	0.083306	0.451708	2.438882	4	7	0.412121	1.0
32	mild_vs_severe	AF_outer	0.916014	0.637249	-0.523511	4	6	0.609524	1.0
