Unnamed: 0	compartment	embedding	test	rho	pvalue	n	statistic	n_healthy	n_degen	median_healthy	median_degen
0	NP	scVI_mesenchymal	pseudotime_vs_condition_ordinal	-0.088212	0.0	50000.0					
1	NP	scVI_mesenchymal	pseudotime_healthy_vs_degenerated		0.0		265757792.0	14617.0	29917.0	0.080461	0.050317
2	NP	scVI_mesenchymal	pseudotime_vs_condition_NP_mature_chondrocyte	-0.001771	0.770898	27047.0					
3	NP	scVI_mesenchymal	pseudotime_vs_condition_NP_fibrocartilaginous	-0.201743	0.0	22953.0					
4	AF	scVI_mesenchymal	pseudotime_vs_condition_ordinal	0.194748	0.0	50000.0					
5	AF	scVI_mesenchymal	pseudotime_healthy_vs_degenerated		0.0		277089888.0	24771.0	25229.0	0.658655	0.658686
6	AF	scVI_mesenchymal	pseudotime_vs_condition_AF_outer	0.109567	0.0	37752.0					
7	AF	scVI_mesenchymal	pseudotime_vs_condition_AF_inner	0.217831	0.0	12248.0					
8	CEP	scVI_mesenchymal	pseudotime_vs_condition_ordinal	0.073357	0.0	32141.0					
9	CEP	scVI_mesenchymal	pseudotime_healthy_vs_degenerated		0.0		107610096.0	20470.0	11671.0	0.06525	0.066184
10	CEP	scVI_mesenchymal	pseudotime_vs_condition_Fibrochondrocyte_chondroid	-0.249408	0.0	2208.0					
11	CEP	scVI_mesenchymal	pseudotime_vs_condition_EP_hyaline	0.137274	0.0	7417.0					
12	CEP	scVI_mesenchymal	pseudotime_vs_condition_Fibroblast_like	-0.305928	0.0	22354.0					
13	CEP	scVI_mesenchymal	pseudotime_vs_condition_Fibrochondrocyte_fibroid	-0.429642	0.0	162.0					
