Unnamed: 0	comparison	reason
0	Endothelial | healthy_vs_degenerated_all	Underpowered: 2 ref, 8 test (need >= 3)
1	T_cell_CD8 | healthy_vs_degenerated_all	Underpowered: 2 ref, 4 test (need >= 3)
2	Macrophage_M2 | healthy_vs_degenerated_all	No valid samples with >= 50 cells
3	Endothelial | healthy_vs_degenerated_mild	Underpowered: 2 ref, 3 test (need >= 3)
4	T_cell_CD8 | healthy_vs_degenerated_mild	Underpowered: 2 ref, 2 test (need >= 3)
5	Macrophage_M2 | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
6	NP_mature_chondrocyte | healthy_vs_degenerated...	DESeq2 error: Singular matrix
7	Endothelial | healthy_vs_degenerated_severe	Underpowered: 2 ref, 5 test (need >= 3)
8	T_cell_CD8 | healthy_vs_degenerated_severe	Underpowered: 2 ref, 2 test (need >= 3)
9	Macrophage_M2 | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
10	T_cell_CD8 | mild_vs_severe	Underpowered: 2 ref, 2 test (need >= 3)
11	Macrophage_M2 | mild_vs_severe	No valid samples with >= 50 cells
12	Macrophage_M2 | healthy_vs_degenerated_all	No valid samples with >= 50 cells
13	Endothelial | healthy_vs_degenerated_all	No valid samples with >= 50 cells
14	Macrophage_M2 | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
15	Endothelial | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
16	Macrophage_M2 | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
17	Endothelial | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
18	Macrophage_M2 | mild_vs_severe	No valid samples with >= 50 cells
19	Endothelial | mild_vs_severe	No valid samples with >= 50 cells
20	Fibrochondrocyte_chondroid | healthy_vs_degene...	Underpowered: 3 ref, 2 test (need >= 3)
21	EP_hyaline | healthy_vs_degenerated_all	Underpowered: 1 ref, 2 test (need >= 3)
22	Fibrochondrocyte_fibroid | healthy_vs_degenera...	Underpowered: 1 ref, 1 test (need >= 3)
23	NK_cell | healthy_vs_degenerated_all	No valid samples with >= 50 cells
24	Pericyte_SMC | healthy_vs_degenerated_all	No valid samples with >= 50 cells
25	Endothelial | healthy_vs_degenerated_all	No valid samples with >= 50 cells
26	Fibrochondrocyte_chondroid | healthy_vs_degene...	Underpowered: 3 ref, 0 test (need >= 3)
27	EP_hyaline | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
28	Fibroblast_like | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
29	Fibrochondrocyte_fibroid | healthy_vs_degenera...	Underpowered: 1 ref, 0 test (need >= 3)
30	NK_cell | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
31	Pericyte_SMC | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
32	Endothelial | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
33	Fibrochondrocyte_chondroid | healthy_vs_degene...	Underpowered: 3 ref, 1 test (need >= 3)
34	EP_hyaline | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
35	Fibroblast_like | healthy_vs_degenerated_severe	Underpowered: 3 ref, 1 test (need >= 3)
36	Fibrochondrocyte_fibroid | healthy_vs_degenera...	Underpowered: 1 ref, 0 test (need >= 3)
37	NK_cell | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
38	Pericyte_SMC | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
39	Endothelial | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
40	Fibrochondrocyte_chondroid | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
41	EP_hyaline | mild_vs_severe	No valid samples with >= 50 cells
42	Fibroblast_like | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
43	Fibrochondrocyte_fibroid | mild_vs_severe	No valid samples with >= 50 cells
44	NK_cell | mild_vs_severe	No valid samples with >= 50 cells
45	Pericyte_SMC | mild_vs_severe	No valid samples with >= 50 cells
46	Endothelial | mild_vs_severe	No valid samples with >= 50 cells
