gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,contrast
LINC01578,1862.7643350293915,-28.801602088847847,2.304772238866495,-12.496506857880544,7.800414352856468e-36,1.321078174799771e-31,NP_chondrocyte,severe_vs_healthy
PFDN5,8853.494789075688,-5.288541777520191,0.4406594535859883,-12.001425895854991,3.4922745549653e-33,2.9572580931446156e-29,NP_chondrocyte,severe_vs_healthy
PYURF,1005.7357502458236,-13.1607819536611,1.2239830595358308,-10.752421654146133,5.7725823293608984e-27,3.258815144335206e-23,NP_chondrocyte,severe_vs_healthy
CASC4,736.0985461139849,-12.832283369781718,1.2198411916076155,-10.519634406565816,7.014522945976968e-26,2.9699490153266477e-22,NP_chondrocyte,severe_vs_healthy
TAS2R20,10.770665775922728,6.871004868280794,0.656114340054254,10.472267482696129,1.1583458133809395e-25,3.9235489390839176e-22,NP_chondrocyte,severe_vs_healthy
H3F3B,17795.76067565049,-17.513611374623554,1.6854330485682605,-10.391164092516751,2.720126735360365e-25,7.678011065010522e-22,NP_chondrocyte,severe_vs_healthy
PSMA2,1304.981660374559,-6.1068207597709225,0.5887162526195155,-10.373113928141764,3.286376239169497e-25,7.951152569510656e-22,NP_chondrocyte,severe_vs_healthy
IMPAD1,612.8196817254008,-12.448143784789483,1.237674705797759,-10.05768618076902,8.497191024786064e-24,1.7988553399472098e-20,NP_chondrocyte,severe_vs_healthy
PRKAG1,217.2676645448388,-3.662935592215818,0.3716253119074329,-9.856528806972676,6.423163547711725e-23,1.0878269784404578e-19,NP_chondrocyte,severe_vs_healthy
WDR83OS,2306.2708725470443,-9.784193496460947,0.9919344457985172,-9.863750107583543,5.977423973574164e-23,1.0878269784404578e-19,NP_chondrocyte,severe_vs_healthy
H3F3A,5913.307975062149,-15.591306011144663,1.6103351614654586,-9.68202544677473,3.5952162489944296e-22,5.535325672088151e-19,NP_chondrocyte,severe_vs_healthy
ZNRD1,373.75977513747375,-11.851533294679353,1.2527574334862954,-9.460357590294038,3.068918800744829e-21,4.331267400784535e-18,NP_chondrocyte,severe_vs_healthy
FOPNL,240.28805956854748,-11.210768563066644,1.20952568765324,-9.268731270038696,1.8837319676534415e-20,2.398490590629806e-17,NP_chondrocyte,severe_vs_healthy
H2AFZ,4767.823987483469,-15.38188610404349,1.6605248089273952,-9.263267866488135,1.9826917966944545e-20,2.398490590629806e-17,NP_chondrocyte,severe_vs_healthy
C12orf10,312.1698266008446,-11.616981430846472,1.264038279246484,-9.190371542997546,3.914868001652059e-20,4.4201469650652846e-17,NP_chondrocyte,severe_vs_healthy
WDR34,214.38149988435907,-10.964671205535598,1.201076327711924,-9.129037807633368,6.911078571964811e-20,7.315376668424752e-17,NP_chondrocyte,severe_vs_healthy
SRD5A3,77.05094046450132,-5.152407453971088,0.5655695616680727,-9.110121553880555,8.228972195423223e-20,8.197992535393395e-17,NP_chondrocyte,severe_vs_healthy
H2AFJ,1970.9586839129347,-14.370708573850004,1.583959441565222,-9.072649334789338,1.16157629985522e-19,1.0929142341304447e-16,NP_chondrocyte,severe_vs_healthy
H1FX,2291.0466776474827,-14.725278112863228,1.6301831831766516,-9.03289781469151,1.6718476844073588e-19,1.4902322306906854e-16,NP_chondrocyte,severe_vs_healthy
NUDT21,403.5873548247917,-1.77551792186087,0.1967797684676624,-9.022868233289174,1.832278970056583e-19,1.503955998874729e-16,NP_chondrocyte,severe_vs_healthy
TWISTNB,324.00288406716754,-11.570382092357136,1.282614017176361,-9.02093844087952,1.8648486051233653e-19,1.503955998874729e-16,NP_chondrocyte,severe_vs_healthy
WDR60,249.30805262632785,-11.349043778733456,1.2629028397357986,-8.986474193935374,2.5528861220984437e-19,1.965258152902693e-16,NP_chondrocyte,severe_vs_healthy
ATP5MPL,1708.0563317784113,-14.039971593625989,1.567720598448507,-8.955659323173165,3.377113059508126e-19,2.486729859818679e-16,NP_chondrocyte,severe_vs_healthy
HIST1H1C,1472.730901701433,-14.2809035675081,1.599515363287753,-8.928269084051907,4.3272604392097002e-19,3.053603449935645e-16,NP_chondrocyte,severe_vs_healthy
TSTA3,235.36018856903027,-11.212291164417634,1.25937176915483,-8.903082821955149,5.431661998600617e-19,3.679625104332002e-16,NP_chondrocyte,severe_vs_healthy
ATP5MD,1782.4754918827743,-14.040912601033554,1.581582780282247,-8.877760162846382,6.822013693669748e-19,4.443754765999649e-16,NP_chondrocyte,severe_vs_healthy
TCTEX1D2,254.98472520894012,-11.339306427097496,1.281497197234177,-8.848483205090758,8.871678115526813e-19,5.56484224313193e-16,NP_chondrocyte,severe_vs_healthy
KIAA0355,181.6181217701819,-10.748742213727589,1.2174332145736024,-8.829020011165262,1.055968306663276e-18,6.387099729160444e-16,NP_chondrocyte,severe_vs_healthy
PABPN1,442.73996867126806,-3.0488775134540114,0.34717297876828634,-8.782012713866546,1.6057493377284727e-18,9.377576132334282e-16,NP_chondrocyte,severe_vs_healthy
H2AFV,1046.527349193526,-13.280626562912412,1.5314131903683734,-8.672138026784156,4.240811524525575e-18,2.3940794659788377e-15,NP_chondrocyte,severe_vs_healthy
C19orf48,184.89824721340048,-10.905900311896806,1.2622750499307591,-8.639876318948899,5.627390774930994e-18,3.0743706504590746e-15,NP_chondrocyte,severe_vs_healthy
NUPR1,7637.170196645676,-5.5622525183649145,0.6472477591771119,-8.593699150749579,8.421333913329303e-18,4.4569909736295345e-15,NP_chondrocyte,severe_vs_healthy
SARS,1213.9537496916207,-13.483558029443326,1.5824759257835117,-8.52054543753478,1.5880364958403402e-17,8.149995785924851e-15,NP_chondrocyte,severe_vs_healthy
FAM122A,139.31043395265505,-10.442793596907578,1.231625049604531,-8.478873988687313,2.273837834136449e-17,1.1326387517333792e-14,NP_chondrocyte,severe_vs_healthy
FAM25A,48.17833767839669,-23.424650815106872,2.7704340915521644,-8.455227607303579,2.7854347718010166e-17,1.3478320941492003e-14,NP_chondrocyte,severe_vs_healthy
TMEM189,125.53598736651938,-10.127080417634645,1.2131816176034735,-8.347538629574474,6.970023745825268e-17,3.2790089488693545e-14,NP_chondrocyte,severe_vs_healthy
C16orf58,173.90908235827402,-10.795219938469318,1.301273516606652,-8.295888451353528,1.0777663339768471e-16,4.9332569276302395e-14,NP_chondrocyte,severe_vs_healthy
C12orf49,164.436511634346,-10.627159812849316,1.2827595258783575,-8.284607986498848,1.1849875237301598e-16,5.2813022899721014e-14,NP_chondrocyte,severe_vs_healthy
CCDC84,111.93354954863206,-10.18469178938251,1.237976731473978,-8.226884666286306,1.921453054679411e-16,8.34403306001295e-14,NP_chondrocyte,severe_vs_healthy
DARS,751.2613508947851,-12.751827156163888,1.5537172825977272,-8.207302125676014,2.262138366218351e-16,9.5778938425685e-14,NP_chondrocyte,severe_vs_healthy
CCDC58,119.86047642179868,-9.94489035676588,1.2218722460839182,-8.139059045361822,3.9836167889929293e-16,1.645525218009372e-13,NP_chondrocyte,severe_vs_healthy
MARCH6,513.1618362564021,-12.328005819879364,1.5169441705227622,-8.126868515952664,4.40522772007074e-16,1.7763556349313824e-13,NP_chondrocyte,severe_vs_healthy
ADSS,584.6153262072874,-12.432314499536403,1.5310646224756967,-8.120045566354758,4.660086838188975e-16,1.7937097884447387e-13,NP_chondrocyte,severe_vs_healthy
H1F0,687.5302706271535,-12.942878113987872,1.5938225932264587,-8.120651676663037,4.636870715535617e-16,1.7937097884447387e-13,NP_chondrocyte,severe_vs_healthy
FAM92A,345.27696090629627,-11.81333880488917,1.4675500268003536,-8.049700922731313,8.299660033348267e-16,3.1236231627730276e-13,NP_chondrocyte,severe_vs_healthy
EPRS,809.7992656670187,-12.709663206799608,1.590034823543579,-7.993323805622466,1.3134854874293196e-15,4.83591091632673e-13,NP_chondrocyte,severe_vs_healthy
WDYHV1,92.1282028128248,-9.774209938491785,1.2303173653300206,-7.944462310234846,1.9503491488890487e-15,7.027896422464878e-13,NP_chondrocyte,severe_vs_healthy
H2AFY,459.04579568121113,-12.000225849079202,1.5134799655211115,-7.928896399330506,2.2110189650118625e-15,7.801211914883521e-13,NP_chondrocyte,severe_vs_healthy
MARCH7,289.7103673162253,-11.616258178058688,1.4659174619086488,-7.924223893843332,2.2957565159045528e-15,7.934884153746838e-13,NP_chondrocyte,severe_vs_healthy
HIST1H4C,1365.4446918476244,-13.399431133514891,1.6924776616089572,-7.917050509710537,2.4321096496858327e-15,8.238041805415852e-13,NP_chondrocyte,severe_vs_healthy
NARS,581.5684095598814,-12.380496349494464,1.5664195231608178,-7.903691294981013,2.7076310639805503e-15,8.99145876462247e-13,NP_chondrocyte,severe_vs_healthy
MARCH5,348.1321932147541,-11.895342469493713,1.506658301515881,-7.895182641960393,2.898904057466665e-15,9.441507522549121e-13,NP_chondrocyte,severe_vs_healthy
LARS,586.5712513680211,-12.426883505403186,1.5784910653686333,-7.872634681337947,3.472495241651988e-15,1.109626026653171e-12,NP_chondrocyte,severe_vs_healthy
GARS,937.8952526319314,-12.867091445370878,1.6454006882673546,-7.820035288134117,5.2808531077528974e-15,1.6562320043130197e-12,NP_chondrocyte,severe_vs_healthy
TARSL2,266.06206979401696,-11.579016706408778,1.4841786821650007,-7.801632543002328,6.111137499650719e-15,1.8817859035288105e-12,NP_chondrocyte,severe_vs_healthy
RARS,336.5800823817886,-11.63233265356184,1.4944417558595864,-7.783731020598426,7.041638812414038e-15,2.1295927665543595e-12,NP_chondrocyte,severe_vs_healthy
HIST1H2AC,384.3246031281476,-11.967982971591066,1.538384467196125,-7.779578659815795,7.276648993395889e-15,2.1620583745991713e-12,NP_chondrocyte,severe_vs_healthy
KIF1BP,278.01499863394565,-11.377360759825018,1.4715619251876524,-7.731486229078798,1.0629817737197214e-14,3.1039067792615865e-12,NP_chondrocyte,severe_vs_healthy
IARS,495.7675356728943,-12.154376379174565,1.585372912322256,-7.666572504617113,1.7665332395034307e-14,5.0708486346152706e-12,NP_chondrocyte,severe_vs_healthy
CXorf56,67.63508114010988,-9.416009546513044,1.2304682946310397,-7.652378844378489,1.9729496559276552e-14,5.568979228798461e-12,NP_chondrocyte,severe_vs_healthy
FGFR1OP,63.88824017208464,-9.173565865151758,1.201731346863601,-7.633624511080493,2.282440571774251e-14,6.33695303665061e-12,NP_chondrocyte,severe_vs_healthy
TARS,585.777382085666,-12.229531010952714,1.6037131901077184,-7.625759447754669,2.426018529160078e-14,6.626943517718562e-12,NP_chondrocyte,severe_vs_healthy
FAM192A,204.25939790576857,-11.05724546630188,1.454911176580029,-7.599945374186671,2.9625577670965375e-14,7.964107673578882e-12,NP_chondrocyte,severe_vs_healthy
C1orf123,252.4967944703164,-26.788263103175225,3.5504415596553764,-7.54505113042205,4.5211008565547155e-14,1.1963963141657914e-11,NP_chondrocyte,severe_vs_healthy
CARS,338.7498612016188,-11.576864002763278,1.5458369018015718,-7.489059155769409,6.936907202359979e-14,1.807437851987209e-11,NP_chondrocyte,severe_vs_healthy
FAM122B,62.882515827826275,-9.2627856313773,1.2375397151775875,-7.484839086596979,7.163485087466396e-14,1.8107579618109085e-11,NP_chondrocyte,severe_vs_healthy
SEPT7,995.651176900586,-28.45794687620518,3.801958934023444,-7.4850747654155745,7.150641757015959e-14,1.8107579618109085e-11,NP_chondrocyte,severe_vs_healthy
TRIM16L,66.7162566807596,-9.26281008941694,1.238030783566838,-7.481889959739331,7.326127944155049e-14,1.8246368067972044e-11,NP_chondrocyte,severe_vs_healthy
WISP3,453.9916019065363,-27.40643289078397,3.669272454345355,-7.469173584623774,8.070002650221487e-14,1.952479498345016e-11,NP_chondrocyte,severe_vs_healthy
WRB,273.8040734393037,-26.75006527153384,3.5811135389280015,-7.469761843837382,8.034009120814947e-14,1.952479498345016e-11,NP_chondrocyte,severe_vs_healthy
KARS,217.3841225055167,-11.062770198011073,1.4891936984070322,-7.428697965781583,1.0967184931567101e-13,2.616059774662259e-11,NP_chondrocyte,severe_vs_healthy
SEPT2,297.2346207362776,-26.528258331148887,3.5918368829690337,-7.385707980486149,1.5164429011668446e-13,3.5670106908557886e-11,NP_chondrocyte,severe_vs_healthy
FAM49B,160.31461908834092,-10.693989574358818,1.4492475976278894,-7.378994170397529,1.5948981390679004e-13,3.700163682637529e-11,NP_chondrocyte,severe_vs_healthy
AC118549.1,135.8755566021848,-10.35870327753035,1.4045388854558942,-7.375163040906521,1.6414404967388996e-13,3.756680574698649e-11,NP_chondrocyte,severe_vs_healthy
C19orf24,195.5893453476781,-25.9577550221373,3.5255163795498907,-7.362823549114066,1.8006031630302827e-13,4.0660020225441145e-11,NP_chondrocyte,severe_vs_healthy
C19orf70,520.2669140057956,-27.250379496837297,3.705118258289268,-7.354793449809986,1.9122257350541957e-13,4.1898048556309105e-11,NP_chondrocyte,severe_vs_healthy
FAM129B,138.41966411493107,-25.35160716417423,3.4466536493778337,-7.3554263767554735,1.9031863192322193e-13,4.1898048556309105e-11,NP_chondrocyte,severe_vs_healthy
SSSCA1,172.27622553142024,-25.508445911204536,3.4688463348824508,-7.353581983350941,1.9296455995465933e-13,4.1898048556309105e-11,NP_chondrocyte,severe_vs_healthy
SEPT1,284.9436240408656,-26.037785145063808,3.546282719802764,-7.342275617131836,2.0999239099946378e-13,4.5018115619834396e-11,NP_chondrocyte,severe_vs_healthy
SPTBN2,9.878476146813414,4.485519627429996,0.6118311144620985,7.331303559763408,2.2792473139874257e-13,4.82516656371138e-11,NP_chondrocyte,severe_vs_healthy
C11orf74,168.7165988248217,-10.736449054620694,1.467480266710413,-7.316247651280604,2.550008692074002e-13,5.188183805799152e-11,NP_chondrocyte,severe_vs_healthy
MINOS1,555.5903060869477,-27.208169382212372,3.718389842391781,-7.317191186363411,2.5321497641511704e-13,5.188183805799152e-11,NP_chondrocyte,severe_vs_healthy
RAB30-AS1,171.90601617438512,-25.3031731217176,3.457428460575819,-7.318495063670375,2.507672444825369e-13,5.188183805799152e-11,NP_chondrocyte,severe_vs_healthy
TROVE2,233.1684382127987,-25.827374736189853,3.5307276592631305,-7.315028863364691,2.573260744491785e-13,5.188183805799152e-11,NP_chondrocyte,severe_vs_healthy
H2AFX,488.7793767044337,-11.768254312564496,1.6114766364002455,-7.302776873546675,2.8188843949624994e-13,5.616544248598221e-11,NP_chondrocyte,severe_vs_healthy
