cell_type,gene,log2FoldChange,padj,baseMean
AF_fibroblast,LINC01578,-28.12925186324884,6.909368653633991e-35,483.1208262200419
AF_fibroblast,PFDN5,-5.659684302271692,1.3834548733656136e-34,1953.9772250939293
AF_fibroblast,H3F3B,-17.300159479807373,7.345039682922267e-23,3969.814291187297
AF_fibroblast,PYURF,-13.047871870002597,1.5382908330955388e-22,231.03175016219905
AF_fibroblast,CASC4,-12.742206001411104,2.7543341194841828e-22,185.9889551740306
AF_fibroblast,PSMA2,-5.848914820619029,4.657905562836488e-21,337.0261531623669
AF_fibroblast,PRKAG1,-3.777350380024143,2.167413135831724e-20,55.70418160691959
AF_fibroblast,WDR83OS,-9.89410877267244,2.584481620745948e-20,566.5530842728907
AF_fibroblast,IMPAD1,-12.43559484209112,2.8337054253363724e-20,168.91601924215374
AF_fibroblast,H3F3A,-15.525758290028977,4.179369765934255e-20,1487.0863066844236
AF_fibroblast,H2AFZ,-15.102885384272453,3.9267721822124165e-18,1014.0970194150652
AF_fibroblast,ZNRD1,-11.705117044557026,1.3776301190274924e-17,85.57880486509036
AF_fibroblast,ATP5MD,-14.017291303374348,1.89774564462914e-17,489.6198450564741
AF_fibroblast,ATP5MPL,-13.772633284404137,2.020158980073632e-17,402.796499345675
AF_fibroblast,C12orf10,-11.591746818706335,2.020158980073632e-17,84.9223855823461
AF_fibroblast,H1FX,-14.49039146837719,2.020158980073632e-17,498.27846601687565
AF_fibroblast,H2AFJ,-14.249563549772288,2.020158980073632e-17,479.11379611039064
AF_fibroblast,FOPNL,-11.07861770774426,9.089976267019191e-17,60.921227329894464
AF_fibroblast,TWISTNB,-11.62514252664452,1.4328721562886536e-16,90.03807625381961
AF_fibroblast,WDR60,-11.415794739276745,1.510769742243465e-16,69.32801085898612
NP_chondrocyte,LINC01578,-28.801602088847847,1.321078174799771e-31,1862.7643350293915
NP_chondrocyte,PFDN5,-5.288541777520191,2.9572580931446156e-29,8853.494789075688
NP_chondrocyte,PYURF,-13.1607819536611,3.258815144335206e-23,1005.7357502458236
NP_chondrocyte,CASC4,-12.832283369781718,2.9699490153266477e-22,736.0985461139849
NP_chondrocyte,TAS2R20,6.871004868280794,3.9235489390839176e-22,10.770665775922728
NP_chondrocyte,H3F3B,-17.513611374623554,7.678011065010522e-22,17795.76067565049
NP_chondrocyte,PSMA2,-6.1068207597709225,7.951152569510656e-22,1304.981660374559
NP_chondrocyte,IMPAD1,-12.448143784789483,1.7988553399472098e-20,612.8196817254008
NP_chondrocyte,PRKAG1,-3.662935592215818,1.0878269784404578e-19,217.2676645448388
NP_chondrocyte,WDR83OS,-9.784193496460947,1.0878269784404578e-19,2306.2708725470443
NP_chondrocyte,H3F3A,-15.591306011144663,5.535325672088151e-19,5913.307975062149
NP_chondrocyte,ZNRD1,-11.851533294679353,4.331267400784535e-18,373.75977513747375
NP_chondrocyte,FOPNL,-11.210768563066644,2.398490590629806e-17,240.28805956854748
NP_chondrocyte,H2AFZ,-15.38188610404349,2.398490590629806e-17,4767.823987483469
NP_chondrocyte,C12orf10,-11.616981430846472,4.4201469650652846e-17,312.1698266008446
NP_chondrocyte,WDR34,-10.964671205535598,7.315376668424752e-17,214.38149988435907
NP_chondrocyte,SRD5A3,-5.152407453971088,8.197992535393395e-17,77.05094046450132
NP_chondrocyte,H2AFJ,-14.370708573850004,1.0929142341304447e-16,1970.9586839129347
NP_chondrocyte,H1FX,-14.725278112863228,1.4902322306906854e-16,2291.0466776474827
NP_chondrocyte,NUDT21,-1.77551792186087,1.503955998874729e-16,403.5873548247917
NP_chondrocyte,TWISTNB,-11.570382092357136,1.503955998874729e-16,324.00288406716754
NP_chondrocyte_HAPLN1,LINC01578,-30,2.2628377708239895e-39,643.8815070159952
NP_chondrocyte_HAPLN1,PFDN5,-5.289123394405054,1.2539044930118799e-27,2531.5590742785134
NP_chondrocyte_HAPLN1,H3F3B,-16.882317889536214,4.8473706962705806e-21,6035.329551855447
NP_chondrocyte_HAPLN1,PYURF,-12.5023783636357,4.8473706962705806e-21,334.7287524314448
NP_chondrocyte_HAPLN1,CASC4,-12.254175865376894,3.9092555753723975e-20,247.3443316083492
NP_chondrocyte_HAPLN1,IMPAD1,-12.06285773737243,1.8373060620778747e-18,238.33043345622391
NP_chondrocyte_HAPLN1,PSMA2,-5.610386266970618,1.8373060620778747e-18,492.0966006748204
NP_chondrocyte_HAPLN1,H3F3A,-14.95409460090301,2.8741621004860987e-18,1893.0102376037564
NP_chondrocyte_HAPLN1,WDR83OS,-9.895564041083102,3.832340735665509e-18,725.7224214792269
NP_chondrocyte_HAPLN1,PTP4A1,-25.73157325047052,1.5774848211251436e-17,187.344692015708
NP_chondrocyte_HAPLN1,H2AFZ,-14.753130832205358,4.049746661041153e-17,1552.644760015152
NP_chondrocyte_HAPLN1,PRKAG1,-3.2888574291527832,4.049746661041153e-17,71.7251678630404
NP_chondrocyte_HAPLN1,ATP5MD,-13.534806541026557,1.4165888960246247e-16,643.7264607215694
NP_chondrocyte_HAPLN1,CYB561D2,-4.4633977895023405,2.1449870680258042e-16,61.28254718649893
