ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,51,-0.9709196542565183,-1.747775834624926,1.3071740536526245e-12,5.21998172091948e-10,4.852597013208691e-10,240,"tags=47%, list=2%, signal=46%",H4C11/GTF2H4/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/POLR1G/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,71,-0.9612745550723896,-1.7383998511447587,8.906203781851923e-14,1.0669632130658603e-10,9.918698527578248e-11,240,"tags=34%, list=2%, signal=33%",H4C11/GTF2H4/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/POLR1G/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,50,-0.9613338248941299,-1.7317525669271898,2.11087589295989e-9,1.8063066569756774e-7,1.6791779659786196e-7,240,"tags=40%, list=2%, signal=39%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,50,-0.9566744657114554,-1.7233591691127303,9.54741312336721e-9,4.2362225636273774e-7,3.938075276616963e-7,240,"tags=42%, list=2%, signal=41%",H4C11/H4C5/SFN/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,60,-0.9572866565556659,-1.7218131481681966,8.739719212667609e-11,1.745030602795966e-8,1.6222145485969e-8,240,"tags=33%, list=2%, signal=33%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,69,-0.949464468980574,-1.72163301281665,2.173623722668425e-10,3.720001742509676e-8,3.458186313658938e-8,240,"tags=29%, list=2%, signal=29%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,49,-0.9560117520777944,-1.7212907958536405,1.129652616976901e-8,4.833299411208312e-7,4.4931295818103813e-07,240,"tags=45%, list=2%, signal=44%",H4C11/H4C5/H2AC19/H1-3/H2BC12/H2AC8/H4C16/H1-1/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H1-4/H2AX/H2AC6/H4C3/H1-0/H1-2/H2AZ2/H2AJ,Reactome
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,39,-0.9684583684800719,-1.7206150628088068,4.062433739050674e-9,2.5527004801306643e-7,2.3730402495195878e-7,240,"tags=49%, list=2%, signal=48%",H4C11/H4C5/H2AC19/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HDACS_DEACETYLATE_HISTONES,REACTOME_HDACS_DEACETYLATE_HISTONES,51,-0.9545206671540822,-1.718255623303309,3.006162661768486e-9,2.0007682604436923e-7,1.8599532726029578e-7,240,"tags=37%, list=2%, signal=37%",H4C11/H2AC12/H4C5/H2AC19/H3C10/H2AC11/H2BC12/H2AC8/H4C16/H2BC18/H2AC25/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AC6/H4C3,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,32,-0.9754889166237593,-1.716730290329579,8.205335563181695e-9,4.204731449418753e-7,3.90880052147003e-7,240,"tags=62%, list=2%, signal=62%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,40,-0.9675208600111984,-1.7165371085407009,2.4806392766928686e-9,1.9812039023187041e-7,1.841765862976179e-7,240,"tags=42%, list=2%, signal=42%",H4C11/H4C5/H2AC19/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,61,-0.953412497534772,-1.7118142558794833,3.053996644151921e-10,3.876346786119021e-8,3.60352772138997e-8,240,"tags=30%, list=2%, signal=29%",H4C11/H4C5/H2AC19/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/ADPRS/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,45,-0.9518504917342256,-1.7108644778350248,7.286483263622702e-8,2.7278771718187493e-6,2.5358879253002697e-6,240,"tags=36%, list=2%, signal=35%",H4C11/H2AC12/H4C5/H2AC19/H3C10/H2AC11/H2AC8/H4C16/H2AC25/H2AC20/H4C8/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,66,-0.9437011216583201,-1.7092199665572994,4.263108790930893e-9,2.5527004801306643e-7,2.3730402495195878e-7,240,"tags=33%, list=2%, signal=33%",NUP42/H4C11/H4C5/SEH1L/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,71,-0.9440148604701237,-1.7071868637947258,3.235681791418215e-10,3.876346786119021e-8,3.60352772138997e-8,240,"tags=30%, list=2%, signal=29%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,33,-0.9684370101843384,-1.7035233113448567,1.1020208214638785e-7,3.8830027768050775e-6,3.6097152603987105e-6,240,"tags=52%, list=2%, signal=51%",H4C11/H4C5/H2AC19/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,81,-0.9392042881413734,-1.7008924244937274,3.1110337949467237e-10,3.876346786119021e-8,3.60352772138997e-8,240,"tags=25%, list=2%, signal=24%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,81,-0.9386505503378589,-1.6998896091882123,3.862682779822468e-10,4.2068127002066516e-8,3.9107352928728905e-8,240,"tags=25%, list=2%, signal=24%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,28,-0.9695350264444389,-1.697238846287546,3.7970529308923627e-7,1.2294241651916354e-5,1.1428967285587822e-5,240,"tags=71%, list=2%, signal=70%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,32,-0.9642701329309821,-1.6969867284522129,6.62213016539249e-7,2.0341825482410777e-5,1.891015847499394e-5,240,"tags=69%, list=2%, signal=68%",KMT5A/SET/H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,23,-0.9826514824164101,-1.6964987706441415,7.717680222126546e-9,4.2026276845943646e-7,3.9068448205788926e-7,240,"tags=87%, list=2%, signal=86%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,26,-0.9706262868689759,-1.6952574035499535,6.020446239766801e-7,1.8980248934843758e-5,1.7644410309344256e-5,240,"tags=65%, list=2%, signal=64%",H4C11/H4C5/H2AC19/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_REPRODUCTION,REACTOME_REPRODUCTION,80,-0.933624006124745,-1.690990100722484,2.9697773472525705e-9,2.0007682604436923e-7,1.8599532726029578e-7,240,"tags=29%, list=2%, signal=28%",BLM/RAD50/TERF2/H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,69,-0.9305221534633046,-1.6872855287357185,8.373064764449452e-8,3.0396762387304375e-6,2.8257424308732125e-6,240,"tags=35%, list=2%, signal=34%",ST3GAL6/NOTCH1/NOTCH2NLA/H4C11/H4C5/H2AC19/H3C10/ELF3/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_AMYLOID_FIBER_FORMATION,REACTOME_AMYLOID_FIBER_FORMATION,54,-0.93246776175168955,-1.681901401081083,1.0825941918611136e-6,3.1632874191454e-5,2.9406537997151683e-5,240,"tags=37%, list=2%, signal=37%",H4C11/TSPAN5/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ1/H3-3A/H3-3B,Reactome
REACTOME_CRISTAE_FORMATION,REACTOME_CRISTAE_FORMATION,31,-0.9529106806164406,-1.676370244124154,9.332523590050348e-6,2.2817067879347586e-4,2.1211192176741713e-4,320,"tags=16%, list=2%, signal=16%",DMAC2L/MICOS10/MICOS13/ATP5MJ/ATP5MK,Reactome
REACTOME_GENE_SILENCING_BY_RNA,REACTOME_GENE_SILENCING_BY_RNA,89,-0.921585755799735,-1.6723122742349148,4.474683646305838e-9,2.5527004801306643e-7,2.3730402495195878e-7,240,"tags=25%, list=2%, signal=24%",NUP42/H4C11/H4C5/SEH1L/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,103,-0.9155730685610224,-1.661180540112332,1.6287995830638652e-9,1.501001461931162e-7,1.3953602905923641e-7,240,"tags=19%, list=2%, signal=19%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,148,-0.9122689023996647,-1.660031411642936,8.624198650715712e-13,5.165894991778712e-10,4.802316932872224e-10,240,"tags=17%, list=2%, signal=17%",H4C11/H4C5/H2AC19/H3C10/H1-3/H2BC12/H2AC8/H4C16/H1-1/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H1-4/H2AX/H2AC6/H4C3/H1-0/H1-2/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,25,-0.952347200169872,-1.6591100856691356,4.826538244397723e-5,0.001090979776752542,0.0010141961196768205,3,"tags=8%, list=0%, signal=8%",CCT6B/PFDN5,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,88,-0.9170203044444807,-1.6580109465188781,1.3541448443747822e-8,5.594019046762031e-7,5.200309420502794e-7,352,"tags=24%, list=3%, signal=23%",ACSL1/H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,26,-0.9411774589125572,-1.643823247794674,2.328086108377799e-4,0.004808701996270005,0.004470263344217263,229,"tags=27%, list=2%, signal=27%",H2AC12/H2AC19/H2AC11/H2AC8/H2AC25/H2AC20/H2AC6,Reactome
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,45,-0.9138279746288454,-1.642522469884859,5.1679979622085515e-5,0.0011256839197683354,0.001046457769189789,569,"tags=29%, list=4%, signal=28%",TDP1/RAD50/H4C11/H4C5/H2BC12/H4C16/H2BC11/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H4C3,Reactome
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,97,-0.9018313073110689,-1.6386996746651223,1.765487795892626e-7,5.87515105410935e-6,5.4616552282292354e-6,363,"tags=22%, list=3%, signal=21%",TAF6L/H4C11/H2AC12/H4C5/KAT7/H2AC19/H3C10/H2AC11/H2BC12/H2AC8/H4C16/H2BC18/H2AC25/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AC6/H4C3,Reactome
REACTOME_HCMV_LATE_EVENTS,REACTOME_HCMV_LATE_EVENTS,72,-0.9060304187090971,-1.6377913730841889,1.6064894142640883e-6,4.4757542285776226e-5,4.160748593124615e-5,384,"tags=31%, list=3%, signal=30%",NUP42/CHMP4B/H4C11/H2AC12/H4C5/SEH1L/H2AC19/H3C10/H2AC11/H2BC12/H2AC8/H4C16/H2BC18/H2AC25/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AC6/H4C3,Reactome
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,18,-0.9645915291568699,-1.6374765513881293,1.26358388938456e-4,0.0027031669633619695,0.0025129168326482416,320,"tags=17%, list=2%, signal=16%",DMAC2L/ATP5MJ/ATP5MK,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,54,-0.9078372508223264,-1.637475102885403,5.0589091071808304e-5,0.0011223283537782657,0.0010433383694731615,240,"tags=22%, list=2%, signal=22%",RAD50/H4C11/H4C5/H2BC12/H4C16/H2BC11/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H4C3,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,170,-0.8946428818696639,-1.6335808636162443,4.678869313952681e-11,1.1210570876230623e-8,1.0421565756130393e-8,240,"tags=14%, list=2%, signal=13%",H4C11/H4C5/H2AC19/H3C10/ELF3/H2BC12/H2AC8/H4C16/PSEN2/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,67,-0.9024747305130769,-1.632669992374719,8.018058108362968e-6,2.001173669545591e-4,1.8603301488263205e-4,561,"tags=25%, list=4%, signal=24%",PIAS4/YWHAE/BLM/RAD50/WEE1/H4C11/H4C5/SFN/H2BC12/H4C16/H2BC11/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H4C3,Reactome
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,119,-0.8951440425386318,-1.6305818665452776,2.271762247350717e-8,9.071903907753863e-7,8.433419149814242e-7,352,"tags=18%, list=3%, signal=18%",KMT2A/ACSL1/H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HCMV_EARLY_EVENTS,REACTOME_HCMV_EARLY_EVENTS,84,-0.9014199498027635,-1.6301211082118126,7.00442988768903e-7,2.0978267513628645e-5,1.9501807424144724e-5,384,"tags=25%, list=3%, signal=24%",NUP42/H4C11/H2AC12/H4C5/SEH1L/H2AC19/H3C10/H2AC11/H2BC12/H2AC8/H4C16/H2BC18/H2AC25/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AC6/H4C3,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,69,-0.8989644206117363,-1.6300629190837295,1.6311057367295986e-5,3.9081293452041183e-4,3.6330734093892954e-4,561,"tags=19%, list=4%, signal=18%",BLM/RAD50/H4C11/H4C5/H2BC12/H4C16/H2BC11/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H4C3,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,31,-0.9205232283202339,-1.6193939058200972,6.369745583312464e-4,0.011739931090474356,0.010913669355699736,232,"tags=16%, list=2%, signal=16%",CCNH/GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,160,-0.8866051834683891,-1.6145841279948447,1.218116467668373e-9,1.2160862735555924e-7,1.1304975638536305e-7,240,"tags=13%, list=2%, signal=13%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
