ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,54,-0.9484278259230432,-1.8651177696938457,2.3382173994145053e-11,1.3889011352522162e-8,1.2970953363067836e-8,438,"tags=48%, list=3%, signal=47%",H4C14/GTF2H4/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/POLR1G/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,74,-0.9274308358756604,-1.8572654523230134,1.513230283570899e-11,1.3889011352522162e-8,1.2970953363067836e-8,438,"tags=38%, list=3%, signal=37%",H4C11/KAT2B/H4C14/GTF2H4/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/POLR1G/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,53,-0.9380880595371177,-1.8462436532413729,5.393828824950886e-10,9.154098062916647e-8,8.549015912027419e-8,438,"tags=43%, list=3%, signal=42%",H4C14/SFN/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,69,-0.9219619432576436,-1.8391011048234855,1.236983908548079e-10,2.9390737667102354e-8,2.7448021886519478e-8,622,"tags=36%, list=5%, signal=35%",H4C11/NUP42/H4C14/SEH1L/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,72,-0.9175830904201712,-1.833607346212243,7.663441021125788e-11,2.2760419832743592e-8,2.1255965358596266e-8,284,"tags=35%, list=2%, signal=34%",RPS6KA1/CCNA1/H4C11/H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,63,-0.9202185555037826,-1.8313214002653293,1.5256204415447464e-9,1.8124370845551587e-7,1.6926357319875396e-7,284,"tags=35%, list=2%, signal=34%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,62,-0.9157744966542584,-1.8190989448385473,7.127190039630079e-9,5.254931708194926e-7,4.907582864112575e-7,438,"tags=29%, list=3%, signal=28%",H4C14/H4C5/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/ADPRS/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,51,-0.9260176669124418,-1.8150491908228505,1.280533309619436e-7,4.38374544232234e-6,4.093981655332045e-6,761,"tags=53%, list=6%, signal=50%",TERF2/CCNA1/H4C11/RAD50/H4C14/HMGA1/H4C5/H1-3/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H1-1/H2BC11/H4C8/H1-4/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H1-0/H2AZ2/H1-2/H2AJ,Reactome
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,40,-0.9439214943910647,-1.8114978463400815,1.6069091394615497e-8,9.090514560382481e-7,8.489635253095105e-7,284,"tags=48%, list=2%, signal=47%",H4C14/H4C5/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,74,-0.9038158422760767,-1.809974258119917,5.917266141596405e-9,5.077905490522157e-7,4.742258007274813e-7,284,"tags=34%, list=2%, signal=33%",H4C11/PSMA6/H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,82,-0.8959950047124486,-1.8056897366181333,1.4886325208321668e-8,8.842477173743071e-7,8.257993036616335e-7,284,"tags=27%, list=2%, signal=26%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_REPRODUCTION,REACTOME_REPRODUCTION,86,-0.8916583521953474,-1.801749706626015,2.8469199776912254e-9,3.0746735759065236e-7,2.8714389057287574e-7,761,"tags=31%, list=6%, signal=30%",TERF2/FKBP6/H4C11/RAD50/H4C14/BLM/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HCMV_EARLY_EVENTS,REACTOME_HCMV_EARLY_EVENTS,88,-0.8899471284773315,-1.80168780534585,6.41149683146737e-9,5.077905490522157e-7,4.742258007274813e-7,622,"tags=30%, list=5%, signal=28%",H4C11/NUP42/H4C14/SEH1L/H2AC15/H4C5/H2AC12/DYNC1I1/H3C10/H3C1/H2AC11/H3C6/H2BC12/H2AC19/H2AC8/H2BC18/H4C16/H2AC25/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AC6/H4C3,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,53,-0.9141718111835293,-1.7991742749636612,7.146319648769128e-8,2.9275268078405945e-6,2.734018479057227e-6,284,"tags=45%, list=2%, signal=45%",H4C11/PYGO1/H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HDACS_DEACETYLATE_HISTONES,REACTOME_HDACS_DEACETYLATE_HISTONES,55,-0.9136773157460059,-1.7977627155380622,8.727638670432823e-8,3.344656367894901e-6,3.123575945207537e-6,438,"tags=42%, list=3%, signal=41%",H4C11/H4C14/H2AC15/H4C5/H2AC12/H3C10/H3C1/H2AC11/H3C6/H2BC12/H2AC19/H2AC8/H2BC18/H4C16/H2AC25/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AC6/H4C3,Reactome
