ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,77,-0.9490774791859196,-1.959280778956056,1.5243303006793408e-16,1.8535856456260783e-13,1.6623223068461023e-13,285,"tags=38%, list=2%, signal=37%",H4C15/H4C11/H4C14/GTF2H4/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/POLR1G/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,57,-0.963626743886662,-1.949926721693219,1.9592120738762674e-15,1.1912009409167706e-12,1.06828616238727e-12,285,"tags=51%, list=2%, signal=50%",H4C15/H4C11/H4C14/GTF2H4/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/POLR1G/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/POLR1F/H2AJ/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,73,-0.9334772110802931,-1.9251238320601092,1.7340002878427728e-13,7.028481166722705e-11,6.303243151596888e-11,532,"tags=40%, list=4%, signal=39%",NUP42/H4C4/NUP160/SEH1L/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,77,-0.9281556468837298,-1.9160896330388824,1.2308383241995839e-12,2.522494781469234e-10,2.2622096551264948e-10,529,"tags=38%, list=4%, signal=37%",CBFB/H4C4/KMT2A/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,75,-0.9285372657392985,-1.9148896219286966,1.1199521006356664e-12,2.522494781469234e-10,2.2622096551264948e-10,285,"tags=33%, list=2%, signal=33%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,57,-0.944819611520489,-1.9118699427672747,1.1947591018150747e-11,1.0377336198622363e-9,9.30654458255953e-10,285,"tags=44%, list=2%, signal=43%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,65,-0.9372155508399559,-1.9104154273745837,1.2479741353689036e-12,2.522494781469234e-10,2.2622096551264948e-10,285,"tags=34%, list=2%, signal=33%",H4C4/H4C15/H4C11/H4C14/H4C5/H4C1/H2AC19/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/ADPRS/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,43,-0.9567800102757985,-1.9052883149518973,2.2218482948509295e-11,1.5009819591881834e-9,1.346102241792727e-9,285,"tags=51%, list=2%, signal=50%",H4C15/H4C11/H4C14/H4C5/H4C1/H2AC19/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,67,-0.9315294146550462,-1.904383376250303,1.3996763374197271e-11,1.0671704967775561e-9,9.570538734951075e-10,285,"tags=37%, list=2%, signal=37%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,56,-0.93997021880638,-1.9036891906758373,2.842840709947811e-11,1.819418054366599e-9,1.631680318839852e-9,285,"tags=45%, list=2%, signal=44%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
