ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,80,-0.9188716151606964,-1.9378045360399534,1.3334006226767875e-13,1.0362026945477499e-10,9.686419532693028e-11,477,"tags=41%, list=3%, signal=40%",H2BC9/H2BC26/H4C4/H4C2/GTF2H4/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/POLR1G/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/POLR1F/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,60,-0.9320430062272288,-1.9345913687090301,2.958608403721153e-12,8.920204337219276e-10,8.338604211540409e-10,477,"tags=55%, list=3%, signal=53%",H2BC9/H2BC26/H4C4/H4C2/GTF2H4/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/POLR1G/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/POLR1F/POLR1H/H3-3A/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,75,-0.9200689683034291,-1.933236488673932,2.5776186431536066e-13,1.0362026945477499e-10,9.686419532693028e-11,723,"tags=41%, list=5%, signal=39%",H2BC9/NUP42/H2BC26/H4C4/H4C2/H4C15/SEH1L/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,46,-0.9403998864347357,-1.9280329877348146,3.220320910982906e-10,2.1576150103585468e-8,2.0169378337208728e-8,723,"tags=59%, list=5%, signal=56%",H2BC9/H2BC26/H4C4/TERF2/H4C2/H4C15/H4C11/H4C1/H4C14/H2AC19/H4C5/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_REPRODUCTION,REACTOME_REPRODUCTION,98,-0.8974410892124257,-1.9221610807989005,2.0056186696981228e-13,1.0362026945477499e-10,9.686419532693028e-11,738,"tags=34%, list=5%, signal=32%",FKBP6/H2BC9/H2BC26/H4C4/TERF2/H4C2/RAD50/H4C15/BLM/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,42,-0.9436198510220728,-1.9184814541591024,6.985368792551081e-10,3.008698129934501e-8,2.812530066474515e-8,723,"tags=74%, list=5%, signal=70%",H2BC9/CDK1/H2BC26/H4C4/H4C2/SET/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,59,-0.9213806260618213,-1.9127943663262332,4.3282341130509093e-10,2.2695001479736505e-8,2.1215280252071048e-8,723,"tags=51%, list=5%, signal=49%",H2BC9/H2BC26/H4C4/H4C2/SFN/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,59,-0.9204681239123348,-1.910900003756164,5.398012278329901e-10,2.6040011230663444e-8,2.4342194316174e-8,723,"tags=49%, list=5%, signal=47%",H2BC9/H2BC26/H4C4/H4C2/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,56,-0.9244817937988847,-1.9062689977252778,1.9478173753671222e-10,1.465769666091564e-8,1.3702010232906217e-8,723,"tags=55%, list=5%, signal=53%",H2BC9/H2BC26/H4C4/TERF2/H4C2/RAD50/H4C15/H4C11/H4C1/H4C14/H2AC19/H4C5/H1-3/H2BC12/H1-1/H4C16/H2AC8/H2BC11/H2AC20/H1-4/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H1-0/H4C3/H2AZ2/H2AJ/H1-2,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,78,-0.9018911875537431,-1.9011858545844782,2.080693828805245e-11,2.2811970523082957e-9,2.1324622877037486e-9,336,"tags=37%, list=2%, signal=37%",H2BC9/H2BC26/H4C4/H4C2/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
