ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,55,-0.9547588844177605,-1.7752269585637912,5.246709411202864e-11,1.04858234030737e-8,9.92259784897926e-9,296,"tags=45%, list=2%, signal=45%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/POLR1G/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/POLR1F/POLR1H/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,72,-0.938578411599037,-1.7678461552369498,5.3865531180173117e-11,1.04858234030737e-8,9.92259784897926e-9,296,"tags=31%, list=2%, signal=30%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,75,-0.9408521967187887,-1.767168067081916,1.0219483429409985e-11,3.978785548516954e-9,3.7650728424142056e-9,296,"tags=33%, list=2%, signal=33%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/POLR1G/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/POLR1F/POLR1H/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,54,-0.9490279368023932,-1.7601808680389959,8.916674436030292e-10,1.0922275875954702e-7,1.0335607128471916e-7,296,"tags=41%, list=2%, signal=40%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,63,-0.9411330520520728,-1.7568712691422665,6.944631729366702e-10,1.0139162324875385e-7,9.594556994519786e-8,263,"tags=29%, list=2%, signal=28%",H4C1/H2BC12/H4C5/H2AC19/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/ADPRS/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,50,-0.9519074737120917,-1.756637614128923,9.35126359242697e-10,1.0922275875954702e-7,1.0335607128471916e-7,263,"tags=48%, list=2%, signal=47%",RAD50/H4C1/HMGA1/H2BC12/H4C5/H2AC19/H1-3/H2AC8/H4C16/H2BC11/H1-1/H2AC20/H2BC15/H1-4/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H1-0/H4C3/H2AZ2/H1-2/H2AJ,Reactome
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,63,-0.9365633293155193,-1.7483406851124192,2.5936332674310944e-9,1.8933522852246988e-7,1.791654559738585e-7,296,"tags=35%, list=2%, signal=34%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,55,-0.9379595921243317,-1.7439912643473667,9.33848493646462e-9,4.957886548086671e-7,4.691583341286054e-7,296,"tags=42%, list=2%, signal=41%",H3C1/H4C1/SFN/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,41,-0.9579597968627015,-1.7411730426972423,1.765595221680927e-8,8.966153125753577e-7,8.484553696864866e-7,263,"tags=46%, list=2%, signal=46%",H4C1/H2BC12/H4C5/H2AC19/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,70,-0.9259475383467491,-1.7405107111749425,5.014792786900671e-9,3.254043319499991e-7,3.079258728798658e-7,296,"tags=33%, list=2%, signal=32%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/SEH1L/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_REPRODUCTION,REACTOME_REPRODUCTION,84,-0.9191139072661736,-1.7390871438223185,3.291927284378121e-10,5.4928158116480654e-8,5.197779922702297e-8,401,"tags=29%, list=3%, signal=28%",RAD50/H3C1/H4C1/BLM/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,36,-0.9618841974364781,-1.7357669246363894,4.4390995675922364e-8,1.994180113441435e-6,1.8870666178023679e-6,296,"tags=61%, list=2%, signal=60%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,81,-0.9170064866462332,-1.7312403128710292,2.794151597181007e-9,1.9197465091220093e-7,1.8166310693746488e-7,296,"tags=27%, list=2%, signal=27%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,75,-0.9216552459266203,-1.7311111406660844,1.934049885327878e-9,1.5059801773753074e-7,1.425089389188963e-7,389,"tags=33%, list=3%, signal=33%",KMT2A/PSMA6/H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/PSMA2/H3-3A/H3-3B,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,32,-0.9556706335161758,-1.7303362036959515,7.915457055544001e-7,2.5681260669098313e-5,2.4301841837196493e-5,296,"tags=69%, list=2%, signal=67%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,26,-0.9660808445306645,-1.7284422664470211,4.938578346002972e-7,1.7479574267065063e-5,1.654069302489034e-5,296,"tags=85%, list=2%, signal=83%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,35,-0.9566034501711598,-1.7281862200978368,3.9567703212338955e-7,1.4908089468390936e-5,1.4107330517132734e-5,336,"tags=66%, list=3%, signal=64%",KMT5A/H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,106,-0.909784735190308,-1.7272943594476629,9.974646227396717e-12,3.978785548516954e-9,3.7650728424142056e-9,296,"tags=21%, list=2%, signal=20%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,82,-0.913191140695986,-1.7245284815326274,7.448610676136379e-9,4.1428463189177576e-7,3.9203214084928307e-7,296,"tags=27%, list=2%, signal=26%",H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,68,-0.9162329521404846,-1.722074872730606,1.0474562853831987e-7,4.0780964710919196e-6,3.859049472464417e-6,348,"tags=34%, list=3%, signal=33%",ELF3/H3C1/H4C1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,87,-0.90943936639490075,-1.721762066101013,6.271761943042643e-9,3.6627089747369035e-7,3.4659737053656714e-7,382,"tags=29%, list=3%, signal=28%",PPARG/H3C1/H4C1/LPL/ACSL1/H2BC12/H4C5/H3C10/H2AC19/H3C6/H2AC8/H4C16/H2BC11/H2AC20/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
