ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,73,-0.9528067001894437,-1.868389914107317,1.1053747640270963e-14,6.361431766975939e-12,5.980659249578184e-12,210,"tags=34%, list=2%, signal=34%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/POLR1G/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/POLR1F/POLR1H/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,53,-0.9656766953098288,-1.8640198189545374,6.537719957477769e-14,2.5083052236856373e-11,2.358167058346367e-11,210,"tags=47%, list=2%, signal=47%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/POLR1G/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/POLR1F/POLR1H/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,52,-0.9652555893382475,-1.8581013460279658,2.3596402436299513e-13,6.789864801045185e-11,6.383447816977869e-11,210,"tags=42%, list=2%, signal=42%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,67,-0.9485031426416155,-1.8547986597362989,7.942280154034985e-13,1.7479127928882926e-10,1.6432889945485983e-10,210,"tags=33%, list=2%, signal=32%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,73,-0.9385480813740547,-1.8404297207349605,5.852115406999262e-12,8.419731041820189e-10,7.915756103151634e-10,210,"tags=32%, list=2%, signal=31%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,68,-0.9427002138329615,-1.8401841323342967,9.369772873440691e-12,1.1982898419255817e-9,1.1265645045493605e-9,210,"tags=32%, list=2%, signal=32%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HDACS_DEACETYLATE_HISTONES,REACTOME_HDACS_DEACETYLATE_HISTONES,53,-0.9526477473507666,-1.838870390233958,3.878785468317685e-11,3.1889157671668962e-9,2.9980386928049474e-9,226,"tags=40%, list=2%, signal=39%",H2AC12/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H2AC11/H4C16/H3C10/H2BC18/H2AC25/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H4C3,Reactome
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,81,-0.9337332491525626,-1.838578037704681,1.0630225499755038e-12,1.7479127928882926e-10,1.6432889945485983e-10,210,"tags=27%, list=2%, signal=27%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,60,-0.9512369313262403,-1.8375564005821157,1.918273644663134e-11,1.6984099730825132e-9,1.5967492362054264e-9,210,"tags=37%, list=2%, signal=36%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,79,-0.9331338395602065,-1.8342487108642982,1.0483896660902564e-12,1.7479127928882926e-10,1.6432889945485983e-10,210,"tags=28%, list=2%, signal=28%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
