category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Glycan biosynthesis and metabolism,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,4/158,21/5698,0.19047619047619047,6.8691983122362865,4.5501504322426625,0.0023560959116515102,0.6290776084109533,0.6290776084109533,266722/222537/9955/8509,4
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,5/158,50/5698,0.1,3.606329113924051,3.1258179754375703,0.011928391101988609,0.9889765024379151,0.9889765024379151,81539/92745/2790/113/6539,5
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,4/158,38/5698,0.10526315789473684,3.7961359093937377,2.920375057402131,0.020193096836416357,0.9889765024379151,0.9889765024379151,440738/2180/2730/3162,4
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,7/158,104/5698,0.0673076923076923,2.4273369036027264,2.4807254608232077,0.02483206920682949,0.9889765024379151,0.9889765024379151,5571/6696/440738/2790/113/91860/595,7
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,4/158,43/5698,0.09302325581395349,3.354724757138652,2.617308068066555,0.0303673573436828,0.9889765024379151,0.9889765024379151,51060/653689/2730/4259,4
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,4/158,43/5698,0.09302325581395349,3.354724757138652,2.617308068066555,0.0303673573436828,0.9889765024379151,0.9889765024379151,4831/653689/978/4259,4
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,18/158,414/5698,0.043478260869565216,1.5679691799669784,2.0264705977930433,0.036816982895978144,0.9889765024379151,0.9889765024379151,5336/653689/8326/3688/3918/9618/2790/623/3162/113/3479/2255/4259/2246/1728/91860/595/7849,18
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,9/158,165/5698,0.05454545454545454,1.9670886075949368,2.1287500693864883,0.03911570009231513,0.9889765024379151,0.9889765024379151,1942/3688/84612/113/3479/2255/889/2246/91860,9
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,3/158,28/5698,0.10714285714285714,3.8639240506329116,2.565344847928229,0.04127723517787447,0.9889765024379151,0.9889765024379151,3292/113/3479,3
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,8/158,147/5698,0.05442176870748299,1.9626280892103676,1.9967714325037267,0.050863794909252205,0.9889765024379151,0.9889765024379151,6588/5336/623/113/2255/2246/80271/91860,8
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,5/158,73/5698,0.0684931506849315,2.470088434194555,2.134717440854492,0.05113650824784464,0.9889765024379151,0.9889765024379151,5336/623/113/3479/91860,5
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,5/158,76/5698,0.06578947368421052,2.372584943371086,2.034217456752636,0.05894215753990672,0.9889765024379151,0.9889765024379151,54675/84803/8760/84513/9162,5
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,3/158,33/5698,0.09090909090909091,3.278481012658228,2.216660577067737,0.06224437328128128,0.9889765024379151,0.9889765024379151,3043/7097/3040,3
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,4/158,56/5698,0.07142857142857142,2.5759493670886076,2.001319853006316,0.06879785378052082,0.9889765024379151,0.9889765024379151,5571/3305/113/3479,4
Human Diseases,Cancer: specific types,hsa05218,Melanoma,4/158,58/5698,0.06896551724137931,2.4871235268441727,1.922287137628023,0.0762301615194041,0.9889765024379151,0.9889765024379151,3479/2255/2246/595,4
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,5/158,84/5698,0.05952380952380952,2.1466244725738393,1.7878102236320619,0.0828971459128261,0.9889765024379151,0.9889765024379151,5336/8760/9162/80271/91860,5
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,5/158,85/5698,0.058823529411764705,2.1213700670141473,1.7589669192171629,0.08620765192640034,0.9889765024379151,0.9889765024379151,8106/11051/4440/26528/29101,5
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,4/158,61/5698,0.06557377049180328,2.3648059763436398,1.8097083344222211,0.08810264125342457,0.9889765024379151,0.9889765024379151,548644/1161/2968/246721,4
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,4/158,61/5698,0.06557377049180328,2.3648059763436398,1.8097083344222211,0.08810264125342457,0.9889765024379151,0.9889765024379151,6696/3688/3918/3339,4
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,11/158,255/5698,0.043137254901960784,1.5556713824770414,1.5330832007451494,0.09570076278979991,0.9889765024379151,0.9889765024379151,6696/1942/23678/7097/3688/3918/2790/3479/2255/2246/595,11
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,7/158,144/5698,0.04861111111111111,1.7530766526019692,1.5456610488237843,0.10430790187935676,0.9889765024379151,0.9889765024379151,5336/653689/8326/3162/4259/1728/595,7
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,8/158,173/5698,0.046242774566473986,1.6676666422770174,1.5059597339342699,0.10680012478834872,0.9889765024379151,0.9889765024379151,287/5336/7097/8326/3688/3479/3339/595,8
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,8/158,174/5698,0.04597701149425287,1.6580823512294485,1.488760384654862,0.10944872697025941,0.9889765024379151,0.9889765024379151,1942/5336/27/2790/3479/2255/2246/91860,8
NA,NA,hsa04518,Integrin signaling,6/158,119/5698,0.05042016806722689,1.8183172002978407,1.5233992960977303,0.11201158396976706,0.9889765024379151,0.9889765024379151,6696/55679/3688/3918/3479/595,6
