category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,17/332,149/5974,0.11409395973154363,2.053003962157354,3.1573587663965634,0.0035234526988409797,0.5302682493364351,0.5302682493364351,4803/3589/943/3586/3600/55540/9235/8200/2688/8743/3624/1896/7124/7046/8741/2826/6352,17
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,24/332,246/5974,0.0975609756097561,1.7555098442550692,2.9353164927546556,0.004750174871119498,0.5302682493364351,0.5302682493364351,4803/2246/3925/5494/836/84867/5495/5534/7422/3479/3305/1849/7124/1847/3312/4217/4233/1943/7046/2122/1942/4772/5321/994,24
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,19/332,180/5974,0.10555555555555556,1.8993641231593037,2.971880377260876,0.005002530654117312,0.5302682493364351,0.5302682493364351,4803/100271927/2246/5336/56924/7422/27/51196/3479/399694/2790/9771/4233/1943/5063/1942/5321/2787/10156,19
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,11/332,93/5974,0.11827956989247312,2.1283197305350434,2.6600930313073974,0.013487417406955464,0.9089715241325015,0.9089715241325015,3586/836/79444/3305/7124/2770/3312/3909/3918/330/3717,11
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,17/332,173/5974,0.09826589595375723,1.7681941639389933,2.48708930872762,0.015225232425926959,0.9089715241325015,0.9089715241325015,6712/23224/9672/287/22801/3930/2023/9260/6442/161176/7168/9172/1311/825/2335/2199/6385,17
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,10/332,88/5974,0.11363636363636363,2.0447699890470976,2.39497318103062,0.02332335163585918,0.9089715241325015,0.9089715241325015,5336/836/7422/51196/595/7124/2335/7046/3717/4772,10
Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,3/332,12/5974,0.25,4.498493975903615,2.9425545719936337,0.025719420900039255,0.9089715241325015,0.9089715241325015,768/767/771,3
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,9/332,77/5974,0.11688311688311688,2.1031919887341575,2.363358778821165,0.026021651571592353,0.9089715241325015,0.9089715241325015,4803/623/5336/5029/3479/2150/5583/817/5321,9
NA,NA,hsa04382,Cornified envelope formation,10/332,93/5974,0.10752688172043011,1.9348361186682212,2.2039418237458155,0.03276226807760877,0.9089715241325015,0.9089715241325015,49861/5525/151516/25984/3909/3918/3872/6273/9517/1364,10
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,14/332,148/5974,0.0945945945945946,1.7021328557473137,2.0980395550799398,0.034892133687264876,0.9089715241325015,0.9089715241325015,4919/4920/164284/54894/57216/6425/147495/5534/595/6423/8313/817/8325/4772,14
NA,NA,hsa04518,Integrin signaling,12/332,121/5974,0.09917355371900827,1.7845265358956486,2.114753825261699,0.035711894835734496,0.9089715241325015,0.9089715241325015,83706/22801/55679/7422/3479/595/3386/1311/3909/2335/4233/3918,12
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,14/332,151/5974,0.09271523178807947,1.6683156466927314,2.0176483003941286,0.04035750067466483,0.9089715241325015,0.9089715241325015,91584/5336/56924/5534/64218/2534/10371/2770/817/4233/1943/5063/1942/10512,14
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,5/332,35/5974,0.14285714285714285,2.5705679862306368,2.260387300230056,0.04234810159652187,0.9089715241325015,0.9089715241325015,3586/7124/1311/4035/4233,5
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,9/332,84/5974,0.10714285714285714,1.9279259896729777,2.0775146391779655,0.042450120947180654,0.9089715241325015,0.9089715241325015,836/79444/595/9618/3909/2335/3918/330/5915,9
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/332,25/5974,0.16,2.8790361445783135,2.2836624575274067,0.04701056373123695,0.9089715241325015,0.9089715241325015,3586/3600/8741/2826,4
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,8/332,78/5974,0.10256410256410256,1.8455359901143034,1.823263425889686,0.06662832137136661,0.9089715241325015,0.9089715241325015,5336/836/5534/8743/2534/399694/7124/4772,8
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,12/332,135/5974,0.08888888888888889,1.5994645247657295,1.7088734105465215,0.07125520839526887,0.9089715241325015,0.9089715241325015,5031/57053/623/57152/5029/2688/2150/27346/153/1241/2898/2692,12
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,12/332,135/5974,0.08888888888888889,1.5994645247657295,1.7088734105465215,0.07125520839526887,0.9089715241325015,0.9089715241325015,5571/49861/51422/23327/153562/595/154810/4217/11346/154796/54566/1364,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,7/332,67/5974,0.1044776119402985,1.8799676317209135,1.756990332237132,0.07691436220310498,0.9089715241325015,0.9089715241325015,3589/527/3600/7422/7124/8741/6352,7
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,7/332,67/5974,0.1044776119402985,1.8799676317209135,1.756990332237132,0.07691436220310498,0.9089715241325015,0.9089715241325015,5571/22801/51422/3479/6442/7124/7168,7
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,5/332,42/5974,0.11904761904761904,2.1421399885255306,1.8017402045448665,0.08131635227404095,0.9089715241325015,0.9089715241325015,29954/55568/57452/283464/8693,5
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,6/332,55/5974,0.10909090909090909,1.9629791894852133,1.740294849852123,0.08293421218948695,0.9089715241325015,0.9089715241325015,5571/51422/3479/3305/3312/1979,6
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,14/332,170/5974,0.08235294117647059,1.4818568391211908,1.5460642733190633,0.08943596154157185,0.9089715241325015,0.9089715241325015,5336/287/836/7422/51196/3479/595/7124/2335/5329/817/4233/6385/8325,14
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",4/332,31/5974,0.12903225806451613,2.3218033424018656,1.7897550059985368,0.09046165432677182,0.9089715241325015,0.9089715241325015,29958/2593/5224/1491,4
