category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,9/284,32/5850,0.28125,5.793353873239437,6.141239049209165,1.3787793062262852e-5,0.004219064677052433,0.004219064677052433,3586/3043/3040/3039/1311/7097/3383/7124/4035,9
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,20/284,170/5850,0.11764705882352941,2.423363711681856,4.253971362574028,1.8986435970892588e-4,0.02904924703546566,0.02904924703546566,6712/7140/9672/287/2023/9172/1824/7168/1311/2335/22801/482/825/2274/3930/2201/1297/6641/6442/829,20
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,6/284,24/5850,0.25,5.149647887323944,4.6010823596269335,7.958029354773918e-4,0.08117189941869396,0.08117189941869396,3586/3043/3040/3039/3383/7124,6
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,8/284,56/5850,0.14285714285714285,2.942655935613682,3.2993549271199343,0.005203303604635656,0.3980527257546277,0.3980527257546277,5571/2180/5443/4792/4852/3717/1374/7124,8
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,13/284,133/5850,0.09774436090225563,2.0133961664725195,2.670234244144182,0.012032022482792473,0.6481039512891993,0.6481039512891993,5031/5732/3586/5029/100133941/836/10461/1847/9844/3717/1374/817/4035,13
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,10/284,92/5850,0.10869565217391304,2.238977342314758,2.7055142607344442,0.013183714169550421,0.6481039512891993,0.6481039512891993,3586/4792/836/3305/330/7097/3918/2770/3717/7124,10
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,7/284,55/5850,0.12727272727272726,2.6216389244558256,2.7292113238329634,0.016212630082674453,0.6481039512891993,0.6481039512891993,885/482/27345/27445/3778/817/3783,7
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,13/284,139/5850,0.09352517985611511,1.9264869794305404,2.49700274629489,0.016943894151351616,0.6481039512891993,0.6481039512891993,5732/84152/2737/64399/5443/4792/4852/51196/482/2770/4886/84876/817,13
NA,NA,hsa04518,Integrin signaling,11/284,119/5850,0.09243697478991597,1.9040714877500298,2.2505539540013593,0.029018454537109575,0.8982179242301176,0.8982179242301176,3386/83706/8174/595/1311/2335/22801/3918/55679/1297/3383,11
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/284,25/5850,0.16,3.295774647887324,2.5982424553565484,0.030726958018223723,0.8982179242301176,0.8982179242301176,3586/2826/8174/10673,4
