category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,4/117,26/5299,0.15384615384615385,6.967784352399738,4.583224314648452,0.0023179303668043306,0.26449904507095845,0.26449904507095845,3039/3040/1311/4233,4
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,5/117,43/5299,0.11627906976744186,5.266348638441661,4.220492135911353,0.0023721887450310172,0.26449904507095845,0.26449904507095845,2171/2180/4023/440503/1593,5
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,17/117,383/5299,0.044386422976501305,2.0102876525853026,3.084172770963664,0.004091953364860168,0.3041685334546058,0.3041685334546058,653689/2246/27436/8325/3717/5732/3918/64399/4286/2790/2737/2335/4233/623/9618/5336/3162,17
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,4/117,47/5299,0.0851063829787234,3.8545190034551737,2.9533826033657298,0.01940270062342973,0.859194664410389,0.859194664410389,64399/84976/2737/1452,4
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,4/117,55/5299,0.07272727272727272,3.293861693861694,2.5693154933604525,0.03246037616731329,0.859194664410389,0.859194664410389,6385/3918/1311/2335,4
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,4/117,58/5299,0.06896551724137931,3.123489537282641,2.443190021486191,0.03841526562310179,0.859194664410389,0.859194664410389,527/5803/4233/5336,4
Organismal Systems,Digestive system,hsa04978,Mineral absorption,3/117,36/5299,0.08333333333333333,3.774216524216524,2.5094302165715945,0.04417502845809146,0.859194664410389,0.859194664410389,26872/490/3162,3
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,3/117,37/5299,0.08108108108108109,3.672210672210672,2.4507349134076497,0.047322854277608066,0.859194664410389,0.859194664410389,10544/717/623,3
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,7/117,151/5299,0.046357615894039736,2.099564159166808,2.0596336725995683,0.04865532862863486,0.859194664410389,0.859194664410389,6385/6712/7140/1311/2023/2335/9672,7
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,7/117,151/5299,0.046357615894039736,2.099564159166808,2.0596336725995683,0.04865532862863486,0.859194664410389,0.859194664410389,8743/9871/4645/10787/2534/5010/4651,7
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,4/117,63/5299,0.06349206349206349,2.8755935422602086,2.2501392127507374,0.04964372253056688,0.859194664410389,0.859194664410389,5732/4803/623/5336,4
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,2/117,17/5299,0.11764705882352941,5.328305681246857,2.685612752531304,0.052973002398933385,0.859194664410389,0.859194664410389,3039/3040,2
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,6/117,123/5299,0.04878048780487805,2.2092974775901606,2.038866416683884,0.053776081562099794,0.859194664410389,0.859194664410389,2246/4803/4233/623/5336/490,6
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,3/117,39/5299,0.07692307692307693,3.483892176199869,2.3392270347155217,0.05394047220513653,0.859194664410389,0.859194664410389,2023/5230/5224,3
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,2/117,19/5299,0.10526315789473684,4.767431399010347,2.471754854326227,0.06474296381692023,0.9211325552932047,0.9211325552932047,79644/3292,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,6/117,135/5299,0.044444444444444446,2.0129154795821464,1.7912127797559187,0.07714659505828668,0.9211325552932047,0.9211325552932047,653689/8325/1452/4233/5336/3162,6
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,9/117,241/5299,0.03734439834024896,1.6913501436323013,1.6505069967844963,0.08390234017832764,0.9211325552932047,0.9211325552932047,2246/3717/9180/3918/1311/2790/2335/4803/4233,9
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,3/117,48/5299,0.0625,2.830662393162393,1.914291509458324,0.08871668183664522,0.9211325552932047,0.9211325552932047,8325/64399/2737,3
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,2/117,24/5299,0.08333333333333333,3.774216524216524,2.046609315743823,0.09738869134798116,0.9211325552932047,0.9211325552932047,23327/2810,2
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,3/117,51/5299,0.058823529411764705,2.6641528406234287,1.794244357080334,0.10197004424520045,0.9211325552932047,0.9211325552932047,3778/27345/27445,3
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,3/117,51/5299,0.058823529411764705,2.6641528406234287,1.794244357080334,0.10197004424520045,0.9211325552932047,0.9211325552932047,5571/3717/2180,3
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,5/117,114/5299,0.043859649122807015,1.9864297495876444,1.599721605898012,0.10666043270535806,0.9211325552932047,0.9211325552932047,84152/5732/64399/2737/490,5
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,3/117,53/5299,0.05660377358490566,2.563618771165941,1.718916857203897,0.11121907896469503,0.9211325552932047,0.9211325552932047,2023/5230/5224,3
Human Diseases,Cancer: specific types,hsa05218,Melanoma,3/117,53/5299,0.05660377358490566,2.563618771165941,1.718916857203897,0.11121907896469503,0.9211325552932047,0.9211325552932047,2246/4286/4233,3
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,3/117,55/5299,0.05454545454545454,2.4703962703962703,1.6469658693975073,0.12077842174137138,0.9211325552932047,0.9211325552932047,9123/4233/5224,3
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,4/117,86/5299,0.046511627906976744,2.1065394553766645,1.5544346574560999,0.12140805508172262,0.9211325552932047,0.9211325552932047,2023/5230/5336/3162,4
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,6/117,158/5299,0.0379746835443038,1.7198961376176567,1.3803041335986574,0.13557543427287355,0.9211325552932047,0.9211325552932047,2246/2790/4803/4233/5336/27,6
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,4/117,90/5299,0.044444444444444446,2.0129154795821464,1.4561881336208207,0.13692388222643376,0.9211325552932047,0.9211325552932047,4286/2534/4982/5336,4
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,6/117,160/5299,0.0375,1.6983974358974359,1.3477940110448252,0.1414512223818029,0.9211325552932047,0.9211325552932047,55973/9871/51465/10277/7991/10525,6
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,2/117,31/5299,0.06451612903225806,2.9219740832644057,1.6125221705448007,0.14883542155573015,0.9211325552932047,0.9211325552932047,4023/1593,2
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,3/117,61/5299,0.04918032786885246,2.2274064733081125,1.4486743925713617,0.15113867093957595,0.9211325552932047,0.9211325552932047,27436/4233/5336,3
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,5/117,133/5299,0.03759398496240601,1.7026540710751235,1.233077547399158,0.1699331832637369,0.9211325552932047,0.9211325552932047,23327/51465/7328/10277/1161,5
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,3/117,65/5299,0.046153846153846156,2.0903353057199214,1.3289238561798637,0.1725994599221139,0.9211325552932047,0.9211325552932047,3717/2790/2534,3
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,3/117,65/5299,0.046153846153846156,2.0903353057199214,1.3289238561798637,0.1725994599221139,0.9211325552932047,0.9211325552932047,9844/2335/4233,3
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,2/117,35/5299,0.05714285714285714,2.588034188034188,1.4162376421650043,0.18023257623488914,0.9211325552932047,0.9211325552932047,2180/3162,2
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,3/117,67/5299,0.04477611940298507,2.0279372368924604,1.2722437786574818,0.18364190346694156,0.9211325552932047,0.9211325552932047,8743/2534/5336,3
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,3/117,69/5299,0.043478260869565216,1.969156447417317,1.217496702853795,0.19486868731931198,0.9211325552932047,0.9211325552932047,3717/4233/5336,3
Organismal Systems,Endocrine system,hsa04924,Renin secretion,2/117,37/5299,0.05405405405405406,2.4481404481404483,1.3281169754627038,0.19628813894798006,0.9211325552932047,0.9211325552932047,5732/3778,2
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,4/117,105/5299,0.0380952380952381,1.7253561253561254,1.1279638034023822,0.20135962579617578,0.9211325552932047,0.9211325552932047,2246/8325/1452/4233,4
Organismal Systems,Digestive system,hsa04970,Salivary secretion,2/117,39/5299,0.05128205128205128,2.3225947841332455,1.2455651274491064,0.21251515607176502,0.9211325552932047,0.9211325552932047,3778/490,2
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,4/117,109/5299,0.03669724770642202,1.6620403042421392,1.0493351072790198,0.21990637731531737,0.9211325552932047,0.9211325552932047,8743/9180/4803/4982,4
NA,NA,hsa04518,Integrin signaling,4/117,109/5299,0.03669724770642202,1.6620403042421392,1.0493351072790198,0.21990637731531737,0.9211325552932047,0.9211325552932047,3918/1311/2335/4233,4
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,3/117,74/5299,0.04054054054054054,1.836105336105336,1.088263118693823,0.22362838141882144,0.9211325552932047,0.9211325552932047,6385/9672/5010,3
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,2/117,41/5299,0.04878048780487805,2.2092974775901606,1.1679250892406046,0.22886851727415178,0.9211325552932047,0.9211325552932047,527/5336,2
Metabolism,Lipid metabolism,hsa00061,Fatty acid biosynthesis,1/117,12/5299,0.08333333333333333,3.774216524216524,1.4455280571019968,0.23524986817618965,0.9211325552932047,0.9211325552932047,2180,1
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,3/117,76/5299,0.039473684210526314,1.7877867746288798,1.0393352866565926,0.23536506661996356,0.9211325552932047,0.9211325552932047,5031/5732/623,3
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,3/117,76/5299,0.039473684210526314,1.7877867746288798,1.0393352866565926,0.23536506661996356,0.9211325552932047,0.9211325552932047,3778/10267/27345,3
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,2/117,42/5299,0.047619047619047616,2.1566951566951564,1.1307713004163866,0.23707945710383704,0.9211325552932047,0.9211325552932047,653689/51060,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,2/117,42/5299,0.047619047619047616,2.1566951566951564,1.1307713004163866,0.23707945710383704,0.9211325552932047,0.9211325552932047,653689/4831,2
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,2/117,42/5299,0.047619047619047616,2.1566951566951564,1.1307713004163866,0.23707945710383704,0.9211325552932047,0.9211325552932047,3778/490,2
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,4/117,113/5299,0.035398230088495575,1.6032070191362227,0.9738443648429205,0.2388960164917867,0.9211325552932047,0.9211325552932047,3717/9844/2790/5336,4
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,4/117,113/5299,0.035398230088495575,1.6032070191362227,0.9738443648429205,0.2388960164917867,0.9211325552932047,0.9211325552932047,5031/3717/5732/9844,4
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,2/117,43/5299,0.046511627906976744,2.1065394553766645,1.0946459057313875,0.24530666361305914,0.9211325552932047,0.9211325552932047,84803/4023,2
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,2/117,43/5299,0.046511627906976744,2.1065394553766645,1.0946459057313875,0.24530666361305914,0.9211325552932047,0.9211325552932047,5683/23198,2
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,2/117,43/5299,0.046511627906976744,2.1065394553766645,1.0946459057313875,0.24530666361305914,0.9211325552932047,0.9211325552932047,2534/5336,2
