category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,11/159,141/5123,0.07801418439716312,2.5136268343815513,3.261587064804467,0.004117488600513519,0.5973503189345206,0.5973503189345206,6385/22801/1824/7140/482/6645/1311/9172/7168/9672/6712,11
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,6/159,51/5123,0.11764705882352941,3.790603033666297,3.584230989418442,0.0046127437755561435,0.5973503189345206,0.5973503189345206,6385/22801/6696/1311/3918/3381,6
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,5/159,40/5123,0.125,4.02751572327044,3.4400029177770857,0.00739550834911194,0.6384788874733308,0.6384788874733308,2171/1593/2180/2170/5170,5
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,14/159,232/5123,0.0603448275862069,1.9443179353719369,2.634303823015751,0.012394027173919402,0.8025132595112813,0.8025132595112813,2246/22801/3717/6696/4804/2790/1311/3918/3381/2787/5170/9180/374/1977,14
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,4/159,39/5123,0.10256410256410256,3.3046282857603613,2.5854305919315554,0.031618809359285675,0.9988044984545578,0.9988044984545578,490/885/482/3778,4
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,3/159,24/5123,0.125,4.02751572327044,2.660430909932434,0.03682436857785054,0.9988044984545578,0.9988044984545578,482/23327/5170,3
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,5/159,60/5123,0.08333333333333333,2.685010482180293,2.349506934692119,0.03751012122744774,0.9988044984545578,0.9988044984545578,56479/3717/2790/2787/2534,5
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,4/159,43/5123,0.09302325581395349,2.9972210033640483,2.3535908068965887,0.04316302075789364,0.9988044984545578,0.9988044984545578,885/482/27445/3778,4
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,4/159,46/5123,0.08695652173913043,2.801750068362045,2.196708063276491,0.05318470022155053,0.9988044984545578,0.9988044984545578,2737/57154/2619/1452,4
NA,NA,hsa04081,Hormone signaling,6/159,88/5123,0.06818181818181818,2.1968267581475125,2.0266341282804703,0.054728820684864926,0.9988044984545578,0.9988044984545578,5744/3717/885/2790/2787/2099,6
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,3/159,29/5123,0.10344827586206896,3.333116460637606,2.2548019886270074,0.05946401637393505,0.9988044984545578,0.9988044984545578,3040/3043/1311,3
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,5/159,70/5123,0.07142857142857142,2.301437556154537,1.962005266990216,0.06518452695191809,0.9988044984545578,0.9988044984545578,6385/5010/4684/9672/4897,5
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,4/159,53/5123,0.07547169811320754,2.4317076065029073,1.8749545743167484,0.08102562962291156,0.9988044984545578,0.9988044984545578,5571/22801/6645/7168,4
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,3/159,33/5123,0.09090909090909091,2.929102344196684,1.9895543628176056,0.08126561751550905,0.9988044984545578,0.9988044984545578,490/482/2099,3
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,2/159,16/5123,0.125,4.02751572327044,2.170530698208499,0.08645396067175036,0.9988044984545578,0.9988044984545578,1595/6307,2
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,4/159,55/5123,0.07272727272727272,2.3432818753573468,1.7923906072475388,0.09008272094894437,0.9988044984545578,0.9988044984545578,623/5732/5336/162514,4
Organismal Systems,Digestive system,hsa04970,Salivary secretion,3/159,35/5123,0.08571428571428572,2.7617250673854445,1.871548420333272,0.09328609431993062,0.9988044984545578,0.9988044984545578,490/482/3778,3
