ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,29/341,58/8748,0.5,12.826979472140762,18.199697963216508,4.5379643450370223e-26,2.8712892680238813e-23,2.6438131653494133e-23,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/MACROH2A1/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/MACROH2A2/H2AC20/H2BC11/H2AC25/H2BC18/H4C16/H2AC8/H2BC12/H2AC11/H3C10/H2AC19/H4C5/H2AC12/H4C11/H3-5/RO60,29,KEGG
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,20/341,23/8748,0.8695652173913043,22.30779038633176,20.60657646862561,6.044819511629224e-26,2.8712892680238813e-23,2.6438131653494133e-23,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,20,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,21/341,28/8748,0.75,19.240469208211145,19.46897143652659,1.2890018155986915e-24,4.0104745680095248e-22,3.692747219962233e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/ORC3,21,Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,20/341,25/8748,0.8,20.52316715542522,19.68672930958655,1.6886208707408525e-24,4.0104745680095248e-22,3.692747219962233e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,20,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,21/341,31/8748,0.6774193548387096,17.378488317093936,18.397438856646815,4.3388015560440806e-23,8.243722956483753e-21,7.590619143310802e-21,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/TASOR,21,Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,20/341,28/8748,0.7142857142857143,18.32425638877252,18.49105135081957,8.876185021190106e-23,1.2046251100186573e-20,1.1091894364825532e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,20,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,20/341,28/8748,0.7142857142857143,18.32425638877252,18.49105135081957,8.876185021190106e-23,1.2046251100186573e-20,1.1091894364825532e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,20,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,21/341,32/8748,0.65625,16.83541055718475,18.07307018032288,1.2180038628122548e-22,1.4463795870895525e-20,1.331791065785505e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/SET,21,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,20/341,32/8748,0.625,16.033724340175954,17.15809982257464,5.590961462681679e-21,5.704156346205607e-19,5.252248114899568e-19,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11,20,Reactome
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,24/341,51/8748,0.47058823529411764,12.07245126789719,15.970935641779967,6.00437510126906e-21,5.704156346205607e-19,5.252248114899568e-19,H3-3B/H3-3A/POLR1H/H2AJ/POLR1F/H2AZ2/H4C3/H2AC6/H2AX/POLR1G/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/GTF2H4/H4C11,24,Reactome
