ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,26/623,29/9144,0.896551724137931,13.159019206287706,17.73218719812695,8.527085028731968e-28,5.924090510930214e-25,5.621079209778113e-25,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4,26,Reactome
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,39/623,70/9144,0.5571428571428572,8.177390506764503,16.298938048727283,9.816222884722807e-28,5.924090510930214e-25,5.621079209778113e-25,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/MACROH2A1/H4C3/H2AC6/RO60/H2AX/H2BC5/H2BC21/MACROH2A2/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC18/H2AC25/H2BC12/H3C10/H2AC19/H2AC11/H3C6/H4C1/H3C1/H2AC12/H4C5/IL10/H4C14/H4C11/H4C15/H2AC21/H3-5/H2AC15/TNF/H4C4,39,KEGG
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,27/623,33/9144,0.8181818181818182,12.008755289654166,17.1299172577621,1.3920452278815984e-26,5.600661966843631e-24,5.31419371205326e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4/KDM6B,27,Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,26/623,31/9144,0.8387096774193549,12.310050225236887,17.05523845760541,3.480838927342231e-26,1.0503431463255182e-23,9.966191455127231e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4,26,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,26/623,34/9144,0.7647058823529411,11.223869323010103,16.148740675850696,3.0593602845210507e-24,5.817758384105542e-22,5.520185864829574e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4,26,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,26/623,34/9144,0.7647058823529411,11.223869323010103,16.148740675850696,3.0593602845210507e-24,5.817758384105542e-22,5.520185864829574e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4,26,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,27/623,37/9144,0.7297297297297297,10.710511474556418,16.002889265765415,3.37401066186734e-24,5.817758384105542e-22,5.520185864829574e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4/TASOR,27,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,27/623,39/9144,0.6923076923076923,10.161254475861217,15.502094353347818,3.325478129425633e-23,5.0173151277709244e-21,4.760684480019855e-21,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/SET/H4C4,27,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,26/623,39/9144,0.6666666666666666,9.784911717495987,14.865270983278892,9.882290769382124e-22,1.3253249954049138e-19,1.257535948197398e-19,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4,26,Reactome
REACTOME_MEIOTIC_RECOMBINATION,REACTOME_MEIOTIC_RECOMBINATION,28/623,49/9144,0.5714285714285714,8.387067186425131,14.018832214388663,1.208299216987427e-20,1.3726616832339188e-18,1.3024514118157273e-18,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/BLM/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/RAD50/H4C4,28,Reactome
