ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,41/562,69/8976,0.5942028985507246,9.490329568311928,18.296478106216885,3.667786947810246e-32,4.1849449074514906e-29,3.953488246902834e-29,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/H4C3/H2AC6/MACROH2A1/H2AX/H2BC5/RO60/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/MACROH2A2/H2AC25/H2AC8/H4C16/H2BC18/H2BC12/H3C10/H2AC11/H4C5/H2AC19/H4C14/H3C6/IL10/H4C1/H3C1/H4C11/H2AC12/H2AC15/H2AC21/H4C15/H3-5/H4C2/H4C4/TNF/H2BC26,41,KEGG
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,28/562,31/8976,0.9032258064516129,14.425898289518999,19.351657092676003,4.008848924926027e-31,2.2870483116702986e-28,2.1605585784864487e-28,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/H2BC26,28,Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,29/562,36/8976,0.8055555555555556,12.865954922894424,18.436111147645647,3.504790130417846e-29,1.3329885129355873e-26,1.2592649451045174e-26,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/KDM6B/H4C4/H2BC26,29,Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,28/562,34/8976,0.8235294117647058,13.153024911032029,18.348080903797992,1.0038020461506878e-28,2.863345336644837e-26,2.7049823559429066e-26,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/H2BC26,28,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,29/562,40/8976,0.725,11.579359430604981,17.330133992448424,7.655546552596688e-27,1.2665904407754996e-24,1.1965391497339468e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/TASOR/H2BC26,29,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,28/562,37/8976,0.7567567567567568,12.086563431759162,17.46374865130156,7.770493501690181e-27,1.2665904407754996e-24,1.1965391497339468e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/H2BC26,28,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,28/562,37/8976,0.7567567567567568,12.086563431759162,17.46374865130156,7.770493501690181e-27,1.2665904407754996e-24,1.1965391497339468e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/H2BC26,28,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,29/562,42/8976,0.6904761904761905,11.027961362480935,16.834431532851294,7.504876017676228e-26,1.070382942021072e-23,1.0111832950132181e-23,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/SET/H4C2/H4C4/H2BC26,29,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,28/562,41/8976,0.6829268292682927,10.907386511587536,16.431903990368106,8.679399798040242e-25,1.100355018840435e-22,1.0394977068062233e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/H4C2/H4C4/H2BC26,28,Reactome
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,32/562,60/8976,0.5333333333333333,8.51814946619217,15.100303749256195,2.6424296537078407e-23,2.8841620424511718e-21,2.724647752636192e-21,H3-3B/H3-3A/POLR1H/POLR1F/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/POLR1G/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/GTF2H4/H4C2/H4C4/H2BC26,32,Reactome
