ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,32/349,52/7889,0.6153846153846154,13.910513555212697,20.09466442266406,6.453445356955423e-31,6.111412753036786e-28,5.604307809987604e-28,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/MACROH2A1/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H2AC25/H2BC18/H3C10/H4C16/MACROH2A2/H2AC11/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/H2AC12/C2/RO60/H3-5,32,KEGG
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,22/349,24/7889,0.9166666666666666,20.720869149952243,20.815785328686175,2.1504351084334957e-28,1.0182310238432602e-25,9.3374156024086e-26,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,22/349,27/7889,0.8148148148148148,18.418550355513105,19.504636557088862,5.569115923460166e-26,1.757984259838926e-23,1.6121125041595214e-23,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,22/349,29/7889,0.7586206896551724,17.148305503408753,18.742398798314365,9.927622068202547e-25,1.8802916197175625e-22,1.7242712013193895e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,22/349,29/7889,0.7586206896551724,17.148305503408753,18.742398798314365,9.927622068202547e-25,1.8802916197175625e-22,1.7242712013193895e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,22/349,30/7889,0.7333333333333333,16.576695319961797,18.389198453767424,3.5747979531684844e-24,5.642222769417591e-22,5.174049669059648e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,22/349,32/7889,0.6875,15.540651862464184,17.731316446837656,3.6330254335863814e-23,4.914964408009004e-21,4.507136816103406e-21,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,22/349,33/7889,0.6666666666666666,15.069723018147085,17.424176910452395,1.0465560219889396e-22,1.2388606910294072e-20,1.136064102816941e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,22/349,34/7889,0.6470588235294118,14.626495870554526,17.130145204022533,2.847293351631361e-22,2.99598533777211e-20,2.747388321749559e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,22/349,38/7889,0.5789473684210527,13.086864726285627,16.067690688405552,9.817175216389981e-21,9.296864929921312e-19,8.525441635286036e-19,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
