source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score
NP_chondrocyte_HAPLN1,Endothelial,FN1,ITGA6,3.854730997674302,8.154283417318295,4.299552419643993
NP_chondrocyte_HAPLN1,Macrophage,FN1,C5AR1,0.0,4.088301377006454,4.088301377006454
AF_fibroblast,Endothelial,COL1A2,CD93,0.0,3.934139563966138,3.934139563966138
NP_chondrocyte_HAPLN1,Macrophage,FN1,CD44,2.830054594264464,6.756375709501466,3.926321115237002
NP_chondrocyte_HAPLN1,T_NK_cell,FN1,CD44,1.841154678818733,5.510006485578386,3.668851806759653
NP_chondrocyte_HAPLN1,NP_chondrocyte_HAPLN1,IL16,CD4,0.0,3.600028534381891,3.600028534381891
NP_degenerative_UPR,Macrophage,FN1,C5AR1,0.0,3.319795006389736,3.319795006389736
NP_chondrocyte,Macrophage,FN1,C5AR1,0.0,3.306666781657474,3.306666781657474
NP_metallothionein,Macrophage,FN1,C5AR1,0.0,3.20535576322942,3.20535576322942
NP_stress_response,Macrophage,FN1,C5AR1,0.0,3.1796698019441476,3.1796698019441476
NP_chondrocyte_HAPLN1,NP_chondrocyte_HAPLN1,FN1,NT5E,1.57506667288796,4.706152077771135,3.1310854048831747
NP_chondrocyte,NP_chondrocyte_HAPLN1,IRAK4,TLR6,0.0,3.1229315402529645,3.1229315402529645
AF_fibroblast,NP_chondrocyte_HAPLN1,PTDSS1,SCARB1,0.0,2.99800490580587,2.99800490580587
NP_chondrocyte,NP_chondrocyte_HAPLN1,SEMA4A,PLXNB1,0.0,2.901107002619956,2.901107002619956
NP_chondrocyte_HAPLN1,NP_chondrocyte_HAPLN1,SEMA4A,PLXNB1,0.0,2.8219379080158893,2.8219379080158893
