source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score,interaction,pair
AF_fibroblast,AF_fibroblast,A2M,LRP1,0.7147132441435622,0.1340553338053379,-0.5806579103382243,A2M → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ACTR2,ADRB2,0.0,0.1038752929551602,0.1038752929551602,ACTR2 → ADRB2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ACTR2,LDLR,0.05071969035988408,0.03836161742148113,-0.01235807293840295,ACTR2 → LDLR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,AXL,0.005251869334380601,-0.0,-0.005251869334380601,ADAM10 → AXL,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,CADM1,0.8500090424253163,-0.0,-0.8500090424253163,ADAM10 → CADM1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,CD44,0.0019091144301401459,0.23391069675930068,0.23200158232916054,ADAM10 → CD44,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,EPHA3,0.6230219344827075,0.49649128195406356,-0.12653065252864393,ADAM10 → EPHA3,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,GPNMB,-0.0,0.12494536859641976,0.12494536859641976,ADAM10 → GPNMB,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,IL6R,1.0138287196877187,0.7776592656846428,-0.23616945400307587,ADAM10 → IL6R,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,NOTCH2,-0.0,-0.0,0.0,ADAM10 → NOTCH2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM10,TSPAN5,1.2051202743208758,0.0,-1.2051202743208758,ADAM10 → TSPAN5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM12,ITGB1,0.0,0.2787276978213556,0.2787276978213556,ADAM12 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM12,SDC4,0.0,0.05314878355190215,0.05314878355190215,ADAM12 → SDC4,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM15,ITGA5,0.3833164229414864,0.014705815961118857,-0.3686106069803675,ADAM15 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM15,ITGAV,0.06001061669761619,-0.0,-0.06001061669761619,ADAM15 → ITGAV,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM15,ITGB1,0.23173857033406675,0.24001239099513408,0.008273820661067327,ADAM15 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM17,IL6R,0.48349627103110465,0.40977352678041057,-0.07372274425069408,ADAM17 → IL6R,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM17,ITGA5,-0.0,-0.0,0.0,ADAM17 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM17,ITGB1,0.16628527304965113,0.20252754385701524,0.03624227080736411,ADAM17 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM17,MUC1,0.0,0.4517724191622012,0.4517724191622012,ADAM17 → MUC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM9,ITGAV,-0.0,0.21850141210307117,0.21850141210307117,ADAM9 → ITGAV,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM9,ITGB1,0.40850102974586683,0.3029232178663924,-0.1055778118794744,ADAM9 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADAM9,ITGB5,-0.0,0.3121486359686248,0.3121486359686248,ADAM9 → ITGB5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADM,ACKR3,0.22597124642446606,0.2388148946096767,0.012843648185210638,ADM → ACKR3,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADM,ADRB2,0.0,-0.0,-0.0,ADM → ADRB2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADM,PTH1R,-0.0,-0.0,0.0,ADM → PTH1R,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ADM,RAMP2,-0.0,-0.0,0.0,ADM → RAMP2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,AFDN,EPHB3,0.0,0.7130762584146464,0.7130762584146464,AFDN → EPHB3,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,AGTRAP,RACK1,0.6202912291728713,0.7414187002585323,0.12112747108566102,AGTRAP → RACK1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANG,EGFR,-0.0,-0.0,0.0,ANG → EGFR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANG,PLXNB2,-0.0,-0.0,0.0,ANG → PLXNB2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPT1,ITGA5,0.0,0.058463970572276744,0.058463970572276744,ANGPT1 → ITGA5,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPT1,ITGB1,0.0,0.2982287649205758,0.2982287649205758,ANGPT1 → ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL1,ITGA1_ITGB1,0.22513579528569527,0.00846172000735734,-0.21667407527833793,ANGPTL1 → ITGA1_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL2,ITGA5_ITGB1,-0.0,0.07866991943483956,0.07866991943483956,ANGPTL2 → ITGA5_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,CDH11,0.005822636298920953,0.2071396582209526,0.20131702192203163,ANGPTL4 → CDH11,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,ITGA5_ITGB1,-0.0,-0.0,0.0,ANGPTL4 → ITGA5_ITGB1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC1,0.0,-0.0,-0.0,ANGPTL4 → SDC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC2,0.20224158108296156,0.09065255657316927,-0.11158902450979229,ANGPTL4 → SDC2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC4,0.10092431999748203,-0.0,-0.10092431999748203,ANGPTL4 → SDC4,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANXA1,EGFR,0.3128560260611379,0.35391311897356903,0.04105709291243115,ANXA1 → EGFR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,ABCA1,-0.0,0.0,0.0,APOE → ABCA1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LDLR,-0.0,0.0,0.0,APOE → LDLR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LRP1,0.5737847725177924,0.0,-0.5737847725177924,APOE → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LRP6,-0.0,0.0,0.0,APOE → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,SDC2,0.17393357632004897,0.0,-0.17393357632004897,APOE → SDC2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,CD74,0.0,0.34378392647979483,0.34378392647979483,APP → CD74,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,GPC1,0.23987491304513067,0.3792197844812485,0.13934487143611782,APP → GPC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP1,0.9459086914617092,0.9680586374501517,0.022149945988442554,APP → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP10,0.13223540634570466,0.0840886819746456,-0.04814672437105906,APP → LRP10,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP6,0.3333008379053223,0.11494043142840502,-0.21836040647691726,APP → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,NCSTN,0.015658181006112496,0.20339478636750674,0.18773660536139425,APP → NCSTN,AF_fibroblast → AF_fibroblast
