source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score
NP_chondrocyte_HAPLN1,NP_chondrocyte_HAPLN1,TIMP1,CD63,7.80904637362127,2.744972334375718,-5.064074039245552
AF_fibroblast,NP_chondrocyte_HAPLN1,TIMP1,CD63,7.206998406949267,3.1465688214246224,-4.060429585524645
NP_chondrocyte,NP_chondrocyte_HAPLN1,TIMP1,CD63,6.604962465932078,2.929925522696227,-3.675036943235851
Macrophage,NP_chondrocyte_HAPLN1,TIMP1,CD63,5.581303975153914,1.9383431146450134,-3.642960860508901
Macrophage,T_NK_cell,TIMP1,CD63,4.014731155852387,0.4934427856390047,-3.521288370213383
NP_chondrocyte_HAPLN1,T_NK_cell,TIMP1,CD63,4.97940038230313,1.4692383314093589,-3.5101620508937708
NP_chondrocyte_HAPLN1,Macrophage,TIMP1,CD63,5.5169466705023344,2.052796485010898,-3.4641501854914365
T_NK_cell,T_NK_cell,TIMP1,CD63,3.4702941784170807,0.012575373352456858,-3.4577188050646237
NP_chondrocyte_HAPLN1,NP_chondrocyte,TIMP1,CD63,6.4111544960036815,2.9555656684939597,-3.4555888275097217
T_NK_cell,NP_chondrocyte_HAPLN1,TIMP1,CD63,4.673076051764245,1.3743494675752144,-3.2987265841890308
AF_fibroblast,T_NK_cell,TIMP1,CD63,4.8266838950714535,1.6613742391499313,-3.165309655921522
NP_degenerative_UPR,NP_degenerative_UPR,HSPG2,DAG1,3.1264019972345634,-0.0,-3.1264019972345634
AF_fibroblast,Macrophage,TIMP1,CD63,5.298705878571393,2.2111156370938545,-3.087590241477539
NP_chondrocyte_HAPLN1,NP_degenerative_UPR,TIMP1,CD63,5.726381278681142,2.6426210953815246,-3.0837601832996175
T_NK_cell,Macrophage,TIMP1,CD63,3.7679202001272576,0.7091988164760368,-3.058721383651221
