names	scores	logfoldchanges	pvals	pvals_adj	cluster
STMN1	36.827644	7.5031905	6.667570238551233e-297	1.0850803806218277e-292	0
TUBB	35.647827	3.7808867	2.5463012125712846e-278	2.0719252966692544e-274	0
NUSAP1	35.29725	7.1455207	6.471516154003569e-273	3.510581796341802e-269	0
PTTG1	35.129417	4.8145666	2.3974755544571302e-270	9.754129293308835e-267	0
HMGB1	34.887962	2.2986891	1.1318861138040749e-266	3.684062923209503e-263	0
LGALS1	34.759937	4.049276	9.809575417325924e-265	2.6606838390260347e-261	0
TOP2A	34.74509	8.679631	1.6439948577653103e-264	3.822053187896094e-261	0
ANLN	34.718746	8.168381	4.107927553679341e-264	8.3565516260722e-261	0
TPX2	34.56031	8.336806	9.979086642366173e-262	1.8044406224207456e-258	0
CKAP2	34.3687	6.491368	7.404514175949381e-259	1.2050106369940025e-255	0
CENPF	34.216003	7.630539	1.3980112185353036e-256	2.068294051858503e-253	0
SMC4	34.096672	4.8113832	8.263813980304293e-255	1.1207109059622672e-251	0
BIRC5	33.56858	7.983957	4.8233755454384794e-247	6.038124125112755e-244	0
CDKN3	32.96709	5.5018196	2.407162795036334e-238	2.7981548090300927e-235	0
PBK	32.89226	8.811568	2.8355502010473246e-237	3.0763829314562774e-234	0
H2AFZ	32.43879	2.169849	7.795475511806502e-231	7.928973029946189e-228	0
PFN1	32.09926	2.6845584	4.515267330757744e-226	4.322438855338325e-223	0
TPM4	31.89406	2.9784002	3.2276405671152056e-223	2.9181456994018253e-220	0
CENPW	31.795815	6.9046865	7.395600403405195e-222	6.334526366579796e-219	0
CDK1	31.391521	7.998861	2.641223656561378e-216	2.1491636893439936e-213	0
MKI67	31.06269	8.586671	7.689477097250594e-212	5.958978584793151e-209	0
UBE2C	31.022726	8.13768	2.6621630832275323e-211	1.96927463711113e-208	0
TMSB10	30.741447	2.586547	1.5909990726456972e-207	1.1257356047059164e-204	0
CLIC1	30.72512	2.5705934	2.629133450046269e-207	1.7827715735855407e-204	0
UBE2T	30.545704	6.657855	6.4485539115227795e-205	4.197750654244869e-202	0
NUCKS1	30.526058	2.2112553	1.1756295274357081e-204	7.358536511341813e-202	0
PTN	30.138664	5.3839097	1.5100963928736516e-199	9.101966184305854e-197	0
CFL1	29.836285	2.0933185	1.3224974327437704e-195	7.686544007311471e-193	0
VIM	29.782707	1.781518	6.543105241410069e-195	3.671810162024395e-192	0
TAGLN2	29.668741	2.619961	1.9441224037099255e-193	1.054621599932511e-190	0
TYMS	29.503796	6.4665546	2.5736738885929205e-191	1.3510957697729416e-188	0
MAD2L1	29.387856	5.8546042	7.850862931352466e-190	3.8716649498433344e-187	0
TMSB4X	29.36486	2.996055	1.5438881918695658e-189	7.389775421907445e-187	0
H2AFV	29.334475	2.6357305	3.770316755064173e-189	1.7530895677689816e-186	0
CKAP2L	29.330965	8.213093	4.179714789942596e-189	1.8894632914312722e-186	0
RACGAP1	29.31348	5.599129	6.983172757041309e-189	3.071463606705142e-186	0
TMEM106C	29.161118	3.7790098	6.039019452426497e-187	2.586289541283916e-184	0
HMGN2	29.051998	2.5626218	1.45190913095607e-185	6.0585562044048925e-183	0
TK1	28.821629	6.329776	1.149387663906328e-182	4.676283710602896e-180	0
KIF11	28.69871	7.17863	3.959457869972551e-181	1.5716150579495926e-178	0
PCLAF	28.589853	6.5990667	8.983425637023393e-180	3.480863543259969e-177	0
