names	scores	logfoldchanges	pvals	pvals_adj	cluster
MGP	95.30797	4.398397	0.0	0.0	0
C2orf40	86.0005	3.1337593	0.0	0.0	0
MSMP	75.52863	3.719081	0.0	0.0	0
MT-RNR2	71.489586	1.7860938	0.0	0.0	0
SOD3	65.711624	2.0641968	0.0	0.0	0
EGR1	56.44502	1.7335719	0.0	0.0	0
BTG2	55.623737	1.8513447	0.0	0.0	0
FOSB	54.709866	1.7434367	0.0	0.0	0
MT1X	54.210327	1.6874949	0.0	0.0	0
CLU	53.378754	1.9247298	0.0	0.0	0
GPX3	53.167934	1.3557246	0.0	0.0	0
CYTL1	52.23995	2.880691	0.0	0.0	0
NR4A2	51.872692	2.050885	0.0	0.0	0
MT2A	49.568382	1.4203765	0.0	0.0	0
DCN	46.214832	1.2315519	0.0	0.0	0
MT-RNR1	46.05058	1.1771642	0.0	0.0	0
RPS27	41.351643	0.49526992	0.0	0.0	0
RPL34	40.94436	0.49487722	0.0	0.0	0
CHI3L1	40.714302	1.8906666	0.0	0.0	0
F13A1	39.928074	1.3290751	0.0	0.0	0
FN1	39.23845	0.86950135	0.0	0.0	0
IER3	38.331207	1.2352952	0.0	0.0	0
NR4A1	37.962345	1.3222772	0.0	0.0	0
RPS27A	37.527637	0.3767131	3.2635128366291785e-308	1.0023352890201397e-306	0
RPL37A	37.331684	0.39829126	5.026956296931985e-305	1.494523302729642e-303	0
FOS	36.21235	1.2822036	3.8914981168793727e-287	1.0065767609217295e-285	0
TPT1	35.29979	0.3500441	5.915862237825622e-273	1.3817612122672226e-271	0
CYR61	35.062393	0.95885485	2.5241617623607124e-269	5.767431492732415e-268	0
KLF4	35.034187	0.98659587	6.789569607592902e-269	1.5469272903841632e-267	0
JUNB	34.942364	0.987181	1.6913466588083587e-267	3.8400854350104094e-266	0
MT-ND3	34.670616	0.6979129	2.1849166441079716e-263	4.7718285901498065e-262	0
ACAN	34.128662	0.76199824	2.7722302989024127e-255	5.703249738343223e-254	0
CHAD	33.67821	1.0942569	1.2051406151726907e-248	2.3433556747470574e-247	0
RPL37	33.190487	0.31974584	1.4767533230247048e-241	2.7534531605115507e-240	0
RPL30	32.947678	0.28986427	4.56700321534031e-238	8.332110730475404e-237	0
BTG1	31.215515	0.64646316	6.561951185659652e-214	1.0173110808737695e-212	0
SOX9	30.456915	0.8516137	9.702102760211399e-204	1.4195057024186266e-202	0
RPLP1	30.452797	0.26837164	1.1000084186439325e-203	1.6057982177254951e-202	0
PRELP	30.4202	1.178329	2.96987193737171e-203	4.3192701263654335e-202	0
PLA2G2A	30.31647	1.6810993	6.955021584992333e-202	1.0003229053990079e-200	0
RPL9	29.700548	0.21879382	7.554557317836604e-194	1.04124757151779e-192	0
FGFBP2	28.950348	1.1088808	2.778076711631898e-184	3.571577462554839e-183	0
RPLP2	27.488491	0.17700946	2.4101393956805895e-166	2.7896111948936817e-165	0
SNORC	27.262445	0.98187435	1.1832453478352116e-163	1.3518942014546064e-162	0
RPL24	27.126905	0.23415956	4.742618933310649e-162	5.362046206165658e-161	0
SERPING1	27.111675	0.6557596	7.172075253586049e-162	8.094732851313004e-161	0
BHLHE40	26.547335	0.9647912	2.756808556256217e-155	2.983686863077969e-154	0
RPL23A	26.472734	0.21372792	1.9975571101889515e-154	2.1500196644599957e-153	0
RPS23	26.35394	0.18647799	4.6256893274917405e-153	4.929771527544886e-152	0
COMP	25.940248	1.0972142	2.3425976503681837e-148	2.4147823454085985e-147	0
MGP	93.208435	4.341622	0.0	0.0	1
SOD3	92.10745	2.8843732	0.0	0.0	1
MT-RNR2	87.08273	2.1333363	0.0	0.0	1
C2orf40	78.437386	2.9590068	0.0	0.0	1
GPX3	78.37161	2.1134565	0.0	0.0	1
NR4A2	77.90502	2.6983373	0.0	0.0	1
MSMP	77.34163	3.5138166	0.0	0.0	1
BTG2	76.39934	2.4560194	0.0	0.0	1
CD55	69.024086	2.1319935	0.0	0.0	1
BHLHE40	68.26533	2.038035	0.0	0.0	1
BTG1	68.066666	1.6541418	0.0	0.0	1
NR4A1	66.74694	2.2302969	0.0	0.0	1
EIF4A3	66.72702	1.9081261	0.0	0.0	1
JUNB	65.608086	1.690967	0.0	0.0	1
CHAD	63.268356	1.995651	0.0	0.0	1
F13A1	62.40138	1.9881221	0.0	0.0	1
KLF4	61.905865	1.7767025	0.0	0.0	1
MT1X	59.92259	1.9250846	0.0	0.0	1
CHI3L1	59.72066	2.3513083	0.0	0.0	1
CPE	59.257683	1.6069735	0.0	0.0	1
CDKN1A	58.96943	1.7106972	0.0	0.0	1
MT-ND3	58.860794	1.4707586	0.0	0.0	1
SERPING1	58.35937	1.4815211	0.0	0.0	1
CYTL1	58.265316	2.6187916	0.0	0.0	1
TIPARP	57.65841	1.9974537	0.0	0.0	1
DDX5	56.85871	1.1654509	0.0	0.0	1
RASD1	56.53044	1.7836193	0.0	0.0	1
KLF10	55.904625	1.6191491	0.0	0.0	1
RSRP1	55.69833	1.6680961	0.0	0.0	1
DCN	55.632355	1.3576947	0.0	0.0	1
CP	55.38577	1.7928019	0.0	0.0	1
TSC22D1	54.86456	1.4938762	0.0	0.0	1
CEBPD	54.22104	1.6218934	0.0	0.0	1
PLAC9	53.97898	1.4462688	0.0	0.0	1
SOX9	53.45591	1.5003558	0.0	0.0	1
MIA	52.975937	1.5768918	0.0	0.0	1
GEM	52.646362	1.7113961	0.0	0.0	1
CYR61	52.62644	1.5034046	0.0	0.0	1
CLU	52.611103	1.9497399	0.0	0.0	1
SLC14A1	50.29141	1.7219074	0.0	0.0	1
NR4A3	50.089417	2.1505516	0.0	0.0	1
CSRNP1	50.007435	1.7785066	0.0	0.0	1
DDX3X	49.836178	1.3413538	0.0	0.0	1
IER3	49.40213	1.6004936	0.0	0.0	1
PTP4A1	49.37981	1.6275771	0.0	0.0	1
SRSF5	49.03632	1.2454627	0.0	0.0	1
BAMBI	48.528885	1.4920436	0.0	0.0	1
PLA2G2A	48.497475	2.1417615	0.0	0.0	1
TOB1	48.384663	1.3645205	0.0	0.0	1
IVNS1ABP	48.28194	1.2581837	0.0	0.0	1
CNMD	57.336636	2.9529674	0.0	0.0	2
COL2A1	57.235413	3.7366288	0.0	0.0	2
