accession	n_cells	n_chondrocyte_like	pct_chondrocyte_like	n_fibroblast_like	pct_fibroblast_like	n_immune	pct_immune	n_endothelial	pct_endothelial	n_pericyte_smc	pct_pericyte_smc	n_unknown	pct_unknown	dominant_compartment
GSE160756	89283	2438	2.7	28227	31.6	12	0.0	608	0.7	83	0.1	57915	64.9	NP
GSE165722	37978	768	2.0	10443	27.5	1443	3.8	230	0.6	7	0.0	25087	66.1	NP
GSE189916	12310	169	1.4	11241	91.3	20	0.2	6	0.0	0	0.0	874	7.1	IVD_mixed
GSE199866	13896	13	0.1	12640	91.0	16	0.1	0	0.0	0	0.0	1227	8.8	NP
GSE205535	10121	2528	25.0	2255	22.3	47	0.5	20	0.2	4	0.0	5267	52.0	NP
CNP0002664	29609	665	2.2	18795	63.5	2	0.0	0	0.0	0	0.0	10147	34.3	NP
GSE244889	51519	14682	28.5	11919	23.1	459	0.9	336	0.7	1	0.0	24122	46.8	NP
GSE251686	36415	664	1.8	15280	42.0	242	0.7	0	0.0	0	0.0	20229	55.6	NP
GSE255768	8886	646	7.3	3051	34.3	8	0.1	3	0.0	3	0.0	5175	58.2	CEP
GSE230809	105804	2209	2.1	98737	93.3	21	0.0	5	0.0	0	0.0	4832	4.6	NP
GSE242443	14938	7	0.0	14767	98.9	0	0.0	4	0.0	0	0.0	160	1.1	CEP
