source_healthy	target_healthy	ligand_complex_healthy	receptor_complex_healthy	lr_means_healthy	cellphone_pvals_healthy	expr_prod_healthy	scaled_weight_healthy	lr_logfc_healthy	spec_weight_healthy	lrscore_healthy	specificity_rank_healthy	magnitude_rank_healthy	condition_healthy	is_pain_relevant_healthy	pain_categories_healthy	interaction_key	source_degen	target_degen	ligand_complex_degen	receptor_complex_degen	lr_means_degen	cellphone_pvals_degen	expr_prod_degen	scaled_weight_degen	lr_logfc_degen	spec_weight_degen	lrscore_degen	specificity_rank_degen	magnitude_rank_degen	condition_degen	is_pain_relevant_degen	pain_categories_degen	rank_diff
Pericyte_SMC	NP_fibrocartilaginous	TIMP1	CD63	2.5061693	0.17	6.2126107	0.18326468098733906	0.18125997725982756	0.00887017	0.9013892	0.6508151511447727	9.878889588166931e-07	healthy	False		Pericyte_SMC|NP_fibrocartilaginous|TIMP1|CD63																	-0.9999990121110411
Pericyte_SMC	AF_outer	TIMP1	CD63	2.436181	0.28	5.8983808	0.10109502972885812	0.0066072507749350695	0.008421523	0.8990583	0.8292889084766177	7.57280156796105e-06	healthy	False		Pericyte_SMC|AF_outer|TIMP1|CD63																	-0.9999924271984321
Pericyte_SMC	AF_outer	LGALS1	ITGB1	2.3985467	0.0	5.642497	0.6980209434691558	0.6026206474503581	0.012890221	0.8970279	0.0584394235772838	1.4026448620498898e-05	healthy	False		Pericyte_SMC|AF_outer|LGALS1|ITGB1																	-0.9999859735513795
Pericyte_SMC	NP_fibrocartilaginous	LGALS1	ITGB1	2.389157	0.0	5.591211	0.6893457324259941	0.7277349430872082	0.012773057	0.89660543	0.06092873278712991	1.7033590338066382e-05	healthy	False		Pericyte_SMC|NP_fibrocartilaginous|LGALS1|ITGB1																	-0.9999829664096619
NP_fibrocartilaginous	Pericyte_SMC	TIMP1	CD63	2.3860977	0.43	5.6584816	0.025081325695084977	0.017056874694229007	0.008079003	0.8971585	1.0	1.7033590338066382e-05	healthy	False		NP_fibrocartilaginous|Pericyte_SMC|TIMP1|CD63																	-0.9999829664096619
EP_hyaline	Pericyte_SMC	LUM	ITGB1	2.4263575	0.0	5.5668864	0.5060882340948073	0.6196161936742062	0.012772263	0.8964032	0.060964102488128946	1.8977815097247362e-05	healthy	False		EP_hyaline|Pericyte_SMC|LUM|ITGB1																	-0.9999810221849027
Pericyte_SMC	NP_stressed	TIMP1	CD63	2.37218	0.44	5.6110315	0.025956619674930615	-0.15514485970456904	0.0080112545	0.89676934	1.0	2.173334624134365e-05	healthy	False		Pericyte_SMC|NP_stressed|TIMP1|CD63																	-0.9999782666537587
Pericyte_SMC	AF_inner	TIMP1	CD63	2.3616588	0.41	5.563794	0.013606102557753307	-0.05064842061782704	0.00794381	0.8963774	1.0	2.4675396126442293e-05	healthy	False		Pericyte_SMC|AF_inner|TIMP1|CD63																	-0.9999753246038735
AF_inner	Pericyte_SMC	LUM	ITGB1	2.3976555	0.01	5.460093	0.4754057839892557	0.5701450935227672	0.012527243	0.89550036	0.24336404242401946	2.78039198837261e-05	healthy	False		AF_inner|Pericyte_SMC|LUM|ITGB1																	-0.9999721960801162
Pericyte_SMC	Fibroblast_like	TIMP1	CD63	2.348374	0.45	5.504148	-0.0019930658348962724	-0.09648634443643367	0.00785865	0.89587575	1.0	3.11188826161512e-05	healthy	False		Pericyte_SMC|Fibroblast_like|TIMP1|CD63																	-0.9999688811173838
Pericyte_SMC	Fibroblast_like	LGALS1	ITGB1	2.3572247	0.0	5.4167957	0.659841182248089	0.566256975821434	0.012374608	0.89512724	0.07127083993054469	3.284626667617625e-05	healthy	False		Pericyte_SMC|Fibroblast_like|LGALS1|ITGB1																	-0.9999671537333238
Fibrochondrocyte_chondroid	Pericyte_SMC	LUM	ITGB1	2.3809757	0.01	5.3980308	0.457576722502653	0.6076192879039775	0.012384852	0.8949642	0.24336404242401946	3.3727436344588944e-05	healthy	False		Fibrochondrocyte_chondroid|Pericyte_SMC|LUM|ITGB1																	-0.9999662725636554
EP_hyaline	Pericyte_SMC	TIMP1	CD63	2.3413403	0.51	5.4616327	-0.022769787774850378	-0.050419362152483105	0.0077979476	0.89551353	1.0	3.6440820550989836e-05	healthy	False		EP_hyaline|Pericyte_SMC|TIMP1|CD63																	-0.999963559179449
