source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition
NP_fibrocartilaginous	NP_fibrocartilaginous	TIMP1	CD63	2.7248273	0.0	7.4179096	0.4216411495549104	0.5127584530153135	0.014399646	0.90913	0.11537862627986607	1.0791908055469023e-08	healthy
NP_fibrocartilaginous	AF_outer	TIMP1	CD63	2.636661	0.0	6.9519467	0.3194598173762948	0.30526004025545994	0.013495118	0.9064144	0.15233011333080812	4.316663564714399e-08	healthy
AF_inner	NP_fibrocartilaginous	TIMP1	CD63	2.6235127	0.0	6.8491035	0.3131098892071341	0.33664176092277054	0.013295479	0.9057803	0.16241032192796429	9.712268791292673e-08	healthy
AF_outer	NP_fibrocartilaginous	TIMP1	CD63	2.5898	0.0	6.659829	0.27699865333466017	0.22851511166022087	0.012928059	0.90457773	0.18329364133931297	2.697727870184228e-07	healthy
EP_hyaline	NP_fibrocartilaginous	TIMP1	CD63	2.5891528	0.0	6.656197	0.2763055593677674	0.39098255418645844	0.012921009	0.9045542	0.18389800368936027	3.8846384413393983e-07	healthy
NP_fibrocartilaginous	EP_ossification	TIMP1	CD63	2.5878654	0.0	6.6940603	0.26290504076057447	0.17324421956384417	0.012994509	0.90479875	0.1796446304897683	3.8846384413393983e-07	healthy
EP_ossification	NP_fibrocartilaginous	TIMP1	CD63	2.5815768	0.0	6.613664	0.26818968686055966	0.14427235154290474	0.012838445	0.9042771	0.22934175347112762	5.28730246475172e-07	healthy
AF_inner	EP_ossification	LUM	ITGB1	2.5735564	0.0	6.4896307	0.6414437071886578	0.5498845971840738	0.018892063	0.90345454	0.042329237591318555	6.90570499180021e-07	healthy
EP_hyaline	EP_ossification	LUM	ITGB1	2.5659075	0.0	6.4558506	0.6333884848476375	0.6039496415327485	0.018793726	0.90322673	0.042329237591318555	1.0789665762321773e-06	healthy
NP_fibrocartilaginous	AF_inner	TIMP1	CD63	2.5491126	0.0	6.4892497	0.21799234264256964	0.23894187749347373	0.01259693	0.903452	0.2040990369916284	1.0789665762321773e-06	healthy
AF_inner	AF_outer	TIMP1	CD63	2.5353465	0.0	6.4188704	0.21092855702851854	0.12914334816291695	0.012460311	0.9029754	0.25813112976224356	1.553640116393623e-06	healthy
NP_fibrocartilaginous	EP_ossification	LGALS1	ITGB1	2.5456724	0.0	6.3664894	0.8303881032056855	0.8992319823709725	0.019167569	0.90261585	0.042329237591318555	1.553640116393623e-06	healthy
NP_mature_chondrocyte	EP_ossification	LUM	ITGB1	2.515851	0.0	6.234792	0.5806614806229102	0.4511290864670492	0.0181502	0.9016933	0.042329237591318555	2.4273945098789925e-06	healthy
AF_outer	AF_outer	TIMP1	CD63	2.5016334	0.0	6.2414856	0.1748173211560446	0.02101669890036728	0.012115971	0.9017408	0.5607092763551247	2.4273945098789925e-06	healthy
EP_hyaline	AF_outer	TIMP1	CD63	2.5009866	0.0	6.238082	0.17412422718915183	0.18348414142660485	0.012109363	0.90171665	0.23689904125954445	2.761771750457243e-06	healthy
NP_fibrocartilaginous	NP_mature_chondrocyte	TIMP1	CD63	2.4979827	0.0	6.219026	0.15873199611732072	0.13073216856570746	0.012072372	0.901581	0.25495362592191495	3.4952059265658457e-06	healthy
NP_fibrocartilaginous	Pericyte_SMC	TIMP1	CD63	2.4946332	0.0	6.2013245	0.15484980510764831	0.07568942614676977	0.01203801	0.90145445	0.38702794332579055	3.894259872372002e-06	healthy
EP_ossification	AF_outer	TIMP1	CD63	2.4934106	0.0	6.1982207	0.16600835468194408	-0.06322606121694885	0.012031985	0.9014322	0.8879355218654204	4.314869730196597e-06	healthy
NP_mature_chondrocyte	NP_fibrocartilaginous	TIMP1	CD63	2.4993753	0.0	6.1521626	0.1801329763138772	0.15285451174011655	0.011942577	0.90110034	0.25027714263259	4.314869730196597e-06	healthy
AF_inner	EP_ossification	TIMP1	CD63	2.486551	0.0	6.180759	0.15437378041279826	-0.0028724725286988217	0.011998089	0.9013068	0.6502864175201359	5.706019827160034e-06	healthy
AF_inner	NP_fibrocartilaginous	LUM	ITGB1	2.4907532	0.0	6.00291	0.5651307087965101	0.7075243967050766	0.017475164	0.90000063	0.04798194925734797	6.212838384437403e-06	healthy
AF_inner	AF_outer	LUM	ITGB1	2.4874372	0.0	5.9834175	0.5620756110245066	0.5510891890134109	0.017418418	0.8998542	0.04872932545330848	7.291119317253887e-06	healthy
