source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
unassigned	AF_inner	CXCL8	SDC2	2.3279512	0.0	4.7196193	1.486794625680902	2.478942653528001	0.09860429	0.88571274	3.6881486374867005e-05	0.00012801674994588187	degenerated	True	pain_ligand:CXCL8
unassigned	Pericyte_SMC	PTGS2	CAV1	2.1840787	0.0	4.7467184	1.0436719268050387	1.7682437204347612	0.06249985	0.8860022	0.0006756150755370841	0.00015157087232109336	degenerated	True	pain_ligand:PTGS2
unassigned	NP_mature_chondrocyte	CXCL8	SDC2	2.2680156	0.0	4.340293	1.4244508338030206	2.681906230587906	0.090679236	0.8814031	5.3327542733771986e-05	0.0002078031648813861	degenerated	True	pain_ligand:CXCL8
AF_inner	Pericyte_SMC	VEGFA	ITGB1	1.9632134	0.0	3.8074484	0.80626169151074	0.8277847490986561	0.036463898	0.87438434	0.017254243231760363	0.0008801334166238513	degenerated	True	pain_ligand:VEGFA
AF_outer	AF_outer	TNFSF9	HLA-DPA1	0.11241919	1.0	0.012297918	-0.05525247276557489	-0.18527814152197827	0.0033500937	0.28346288	1.0	0.0009994817519705934	degenerated	True	pain_ligand:TNF
AF_inner	EP_ossification	VEGFA	ITGB1	1.9370952	0.0	3.716192	0.7813160971686812	0.8151196887520156	0.035589937	0.873046	0.019573354760102413	0.0010946787831046683	degenerated	True	pain_ligand:VEGFA
AF_inner	NP_fibrocartilaginous	VEGFA	ITGB1	1.9018548	0.0	3.593064	0.7476589480058395	0.8915162524086497	0.03441074	0.87116694	0.022358887538781447	0.0014306452419121378	degenerated	True	pain_ligand:VEGFA
unassigned	Pericyte_SMC	CXCL8	SDC2	2.096665	0.0	3.2558303	1.2462116470005415	2.213244032232912	0.068022184	0.8655342	0.0003827257156595672	0.0014980604242713323	degenerated	True	pain_ligand:CXCL8
unassigned	NP_fibrocartilaginous	PTGS2	CAV1	1.8942722	0.0	3.5696154	0.7691774575964275	1.560078847400004	0.047000986	0.8707991	0.004022316220488194	0.0015583104135677996	degenerated	True	pain_ligand:PTGS2
unassigned	AF_outer	PTGS2	CAV1	1.855837	0.0	3.4135034	0.7327723546220329	1.5310290785335776	0.044945464	0.8682625	0.005193646957205672	0.002122952875413281	degenerated	True	pain_ligand:PTGS2
AF_inner	AF_outer	VEGFA	ITGB1	1.8012168	0.0	3.2414398	0.6515400391313031	0.776239309180996	0.031043237	0.8652763	0.022358887538781447	0.0030337535525116793	degenerated	True	pain_ligand:VEGFA
unassigned	AF_outer	CXCL8	SDC2	2.0207431	0.0	2.7753277	1.167238509345637	2.081583660060848	0.057983324	0.85596806	0.0011377020406636454	0.004231501741578906	degenerated	True	pain_ligand:CXCL8
AF_outer	EP_hyaline	TNFSF9	PVR	0.12144895	0.97	0.014661231	-0.02056707315984157	-0.11490402816136563	0.011693566	0.3016484	1.0	0.004662349062444069	degenerated	True	pain_ligand:TNF
NP_mature_chondrocyte	Pericyte_SMC	PTGS2	CAV1	1.7436857	0.0	2.688046	0.6558642188293822	0.5997892877960918	0.035393395	0.85398704	0.022358887538781447	0.005143852153068086	degenerated	True	pain_ligand:PTGS2
AF_inner	EP_hyaline	VEGFA	ITGB1	1.73212	0.0	3.0000188	0.5855484463985942	0.620074350611058	0.028731152	0.86070085	0.022358887538781447	0.00552678404009099	degenerated	True	pain_ligand:VEGFA
