comparison	cell_type	mean_prop_ref	mean_prop_test	log2FC_proportion	n_samples_ref	n_samples_test	pvalue	padj
healthy_vs_degenerated_all	NP_fibrocartilaginous	0.4284048950801549	0.31743336557202484	-0.43252000905947013	10	28	0.8553290735160164	1.0
healthy_vs_degenerated_all	NP_mature_chondrocyte	0.45289778469599684	0.4990029577415623	0.1398625899504501	10	28	0.8553290735160164	1.0
healthy_vs_degenerated_all	Macrophage	0.036205037514388895	0.017181221525330193	-1.0753137154557753	6	20	0.49419276375798116	1.0
healthy_vs_degenerated_all	T_cell	0.09862997824165572	0.06450996014165057	-0.6124965535141664	3	18	0.962406015037594	1.0
healthy_vs_degenerated_all	unassigned	0.14512435789504027	0.2382779971458844	0.7153521673406278	2	14	0.6	1.0
healthy_vs_degenerated_all	AF_inner	0.4927630161911328	0.3465333683781407	-0.5078984657003031	6	9	0.9546453546453546	1.0
healthy_vs_degenerated_all	AF_outer	0.5020241191893923	0.7880239991698461	0.6504818459472244	6	10	0.3024572743808477	1.0
healthy_vs_degenerated_all	Pericyte_SMC	0.03266247586314114	0.005160524256886488	-2.6618092445950303	8	12	0.910105580693816	1.0
healthy_vs_degenerated_all	Endothelial	0.005776219160320763	0.0026579468650137	-1.119520277300263	3	2	0.8	1.0
healthy_vs_degenerated_all	B_cell	0.025508871849170115	0.015502926880666372	-0.7184219795976167	6	16	0.0832294640344176	1.0
healthy_vs_degenerated_all	EP_hyaline	0.6706585174643876	0.978924356903392	0.5456183381465448	3	3	1.0	1.0
healthy_vs_degenerated_all	EP_ossification	0.48517991320054615	0.01902936362573555	-4.672147763083483	2	2	1.0	1.0
healthy_vs_degenerated_mild	NP_fibrocartilaginous	0.4284048950801549	0.2917555370702695	-0.5542133512448615	10	14	0.4292480471436786	1.0
healthy_vs_degenerated_mild	NP_mature_chondrocyte	0.45289778469599684	0.4882305452880048	0.1083768444915559	10	14	0.9766436686336611	1.0
healthy_vs_degenerated_mild	Macrophage	0.036205037514388895	0.011288049992985685	-1.6813062088928898	6	9	1.0	1.0
healthy_vs_degenerated_mild	T_cell	0.09862997824165572	0.07304507001189847	-0.43323418675227415	3	10	0.9370629370629371	1.0
healthy_vs_degenerated_mild	AF_inner	0.4927630161911328	0.037389596850619246	-3.7201495022674305	6	3	0.7142857142857142	1.0
healthy_vs_degenerated_mild	AF_outer	0.5020241191893923	0.9719578023620356	0.9531356124994308	6	4	0.35238095238095235	1.0
healthy_vs_degenerated_mild	Pericyte_SMC	0.03266247586314114	0.0010157929935912147	-5.005580423116574	8	4	0.9333333333333333	1.0
healthy_vs_degenerated_mild	B_cell	0.025508871849170115	0.024069388563813854	-0.08379622030899148	6	7	0.13752913752913754	1.0
healthy_vs_degenerated_mild	unassigned	0.14512435789504027	0.29651468642960593	1.0308088040666104	2	7	0.5	1.0
healthy_vs_degenerated_severe	NP_fibrocartilaginous	0.4284048950801549	0.36859466921499984	-0.2169392121931609	10	13	0.5557506005798083	1.0
healthy_vs_degenerated_severe	NP_mature_chondrocyte	0.45289778469599684	0.47471777150729044	0.067884430402414	10	13	0.733031673648372	1.0
healthy_vs_degenerated_severe	Macrophage	0.036205037514388895	0.02588965594088822	-0.4837987766061796	6	9	0.22377622377622375	1.0
healthy_vs_degenerated_severe	T_cell	0.09862997824165572	0.06084542844964317	-0.6968682602863155	3	7	0.9999999999999999	1.0
healthy_vs_degenerated_severe	unassigned	0.14512435789504027	0.20841125791642665	0.5221405083160883	2	6	0.8571428571428571	1.0
healthy_vs_degenerated_severe	AF_inner	0.4927630161911328	0.5011052541419014	0.024219635777210754	6	6	0.6991341991341992	1.0
healthy_vs_degenerated_severe	AF_outer	0.5020241191893923	0.6654014637083865	0.40646765565964965	6	6	0.48484848484848486	1.0
healthy_vs_degenerated_severe	Pericyte_SMC	0.03266247586314114	0.009518236752509733	-1.778760513810636	8	6	0.9497169497169498	1.0
healthy_vs_degenerated_severe	B_cell	0.025508871849170115	0.01189934881323062	-1.1000517902248876	6	6	0.24025974025974026	1.0
mild_vs_severe	Macrophage	0.011288049992985685	0.02588965594088822	1.19750743228671	9	9	0.11196135426374831	1.0
mild_vs_severe	NP_fibrocartilaginous	0.2917555370702695	0.36859466921499984	0.33727413905170034	14	13	0.08494665681641869	1.0
mild_vs_severe	NP_mature_chondrocyte	0.4882305452880048	0.47471777150729044	-0.04049241408914209	14	13	0.4519575760931084	1.0
mild_vs_severe	T_cell	0.07304507001189847	0.06084542844964317	-0.26363407353404134	10	7	0.7396133278486219	1.0
mild_vs_severe	unassigned	0.29651468642960593	0.20841125791642665	-0.508668295750522	7	6	0.8356643356643356	1.0
mild_vs_severe	B_cell	0.024069388563813854	0.01189934881323062	-1.016255569915896	7	6	0.4452214452214452	1.0
mild_vs_severe	Pericyte_SMC	0.0010157929935912147	0.009518236752509733	3.226819909305938	4	6	0.6095238095238095	1.0
mild_vs_severe	AF_inner	0.037389596850619246	0.5011052541419014	3.7443691380446413	3	6	0.5476190476190476	1.0
mild_vs_severe	AF_outer	0.9719578023620356	0.6654014637083865	-0.5466679568397811	4	6	0.6688699420790933	1.0
