baseMean	log2FC	lfcSE	stat	pvalue	padj	gene	cell_type	comparison	n_ref	n_test	n_genes_tested	design
32.01062394470782	1.9703166774175782	1.658134970805915	1.1882727957060886	0.23472595194279477		A2M	NP_notochordal	mild_vs_severe	4	5	11029	group+study
3.403794966558653	0.916825653203156	2.019029576443866	0.4540922351508931	0.6497624418019616		A4GALT	NP_notochordal	mild_vs_severe	4	5	11029	group+study
8.418800988268337	-2.10791929653561	1.375310262676475	-1.5326863717525188	0.12535314864436073		AAAS	NP_notochordal	mild_vs_severe	4	5	11029	group+study
11.626790244030412	-1.1024973139642484	0.8095151174704416	-1.3619230699598452	0.17322216469207696		AACS	NP_notochordal	mild_vs_severe	4	5	11029	group+study
2.2656578308892077	0.9067206498780686	3.2312054645478945	0.2806137399266052	0.7790066763792164		AADAT	NP_notochordal	mild_vs_severe	4	5	11029	group+study
26.748395822768234	0.12209057279413092	0.48534932806835523	0.25155195594900676	0.8013873981464061		AAGAB	NP_notochordal	mild_vs_severe	4	5	11029	group+study
70.75702675970356	-0.04064416050376186	0.41831882903916673	-0.09716072450555743	0.9225987577307325	0.9924491171254692	AAK1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
42.78575889185429	-0.12311513133263315	0.6255307715881067	-0.1968170662812745	0.8439706953728778		AAMDC	NP_notochordal	mild_vs_severe	4	5	11029	group+study
68.65491472709463	0.2722737499609204	0.33784008569793367	0.8059249375290628	0.4202861313063756	0.8892917865986877	AAMP	NP_notochordal	mild_vs_severe	4	5	11029	group+study
15.092845142072413	0.45566095433067677	0.7209783193662372	0.6320036845646304	0.5273844695817685		AAR2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
3.155402771192962	-1.5295468602620153	1.6364183686818876	-0.934691818140641	0.3499471446467952		AARS2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
10.630427487789213	-2.115738092109502	2.573185490707513	-0.8222252533872974	0.4109487086412503		AARSD1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
26.62463377119088	1.2504325256660445	0.4550291224904521	2.7480274643130835	0.005995498676852676		AASDH	NP_notochordal	mild_vs_severe	4	5	11029	group+study
38.352797431159395	0.5786551882025566	0.4193111149993061	1.3800139502705864	0.1675823496308596		AASDHPPT	NP_notochordal	mild_vs_severe	4	5	11029	group+study
7.617714474256991	-0.01973906286773178	2.2789225896036434	-0.008661576728310397	0.9930891480684185		AASS	NP_notochordal	mild_vs_severe	4	5	11029	group+study
44.40236230276096	-0.4834513136746962	0.5073078290774831	-0.9529742810274209	0.34060310188790976		AATF	NP_notochordal	mild_vs_severe	4	5	11029	group+study
7.523266927456989	0.136629006422998	0.877647253031639	0.15567644740075606	0.8762880630490392		ABAT	NP_notochordal	mild_vs_severe	4	5	11029	group+study
28.347817197288165	1.671679423957285	0.5332393749082392	3.1349512106921034	0.0017188269575035351		ABCA1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
4.398479245631778	-2.025990748319435	2.4761592649878454	-0.8181988844442847	0.4132436320512698		ABCA2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
19.064422089154444	0.022242606609221175	0.5848106278382306	0.03803386181855418	0.9696606837244973		ABCA5	NP_notochordal	mild_vs_severe	4	5	11029	group+study
29.343333263008503	-0.7069652889564718	0.6869171093536007	-1.0291857333728909	0.30339240503994047		ABCA7	NP_notochordal	mild_vs_severe	4	5	11029	group+study
19.209736156986366	0.26321350225987755	0.5235222307511009	0.5027742601918611	0.6151229925258129		ABCB10	NP_notochordal	mild_vs_severe	4	5	11029	group+study
34.84541532999619	0.7024017274146052	0.42685804129675137	1.6455159782881916	0.09986345034840406		ABCB7	NP_notochordal	mild_vs_severe	4	5	11029	group+study
5.666816267365771	0.724592042748824	1.3097703292877443	0.5532206880444899	0.5801123024026329		ABCB8	NP_notochordal	mild_vs_severe	4	5	11029	group+study
1.9447732153936554	-0.8765226027860431	2.697550126197374	-0.32493283230352465	0.7452319074250742		ABCB9	NP_notochordal	mild_vs_severe	4	5	11029	group+study
33.5525131058046	0.20968410910302074	0.5210313524332527	0.40244048294556817	0.6873598816438466		ABCC1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
3.3594608359286346	-0.1898914895415863	1.4454699849805461	-0.13137006753145547	0.8954825660733731		ABCC10	NP_notochordal	mild_vs_severe	4	5	11029	group+study
0.7759796099079191	1.3842832838848618	2.443508899599668	0.5665145251206802	0.5710440617264358		ABCC2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
12.339409913038821	1.1245421634362978	2.524333596972707	0.4454808052251487	0.6559723282329892		ABCC3	NP_notochordal	mild_vs_severe	4	5	11029	group+study
5.96123456073432	0.2665845180837857	1.0954456969805126	0.2433571274400908	0.8077287529125403		ABCC4	NP_notochordal	mild_vs_severe	4	5	11029	group+study
12.689673788698292	-0.604323818709889	0.5923477318262153	-1.0202180007455273	0.3076250823557062		ABCC5	NP_notochordal	mild_vs_severe	4	5	11029	group+study
3.3349381524164676	-0.34631999798965746	1.665228799242784	-0.2079714199917373	0.8352512829779488		ABCC6	NP_notochordal	mild_vs_severe	4	5	11029	group+study
4.10859568333249	-2.4139800796368927	2.1041846576957104	-1.1472282486273988	0.2512872994609643		ABCD1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
26.954670821355556	-0.2101544117938435	0.45954604178223485	-0.4573087192282453	0.6474491634812434		ABCD3	NP_notochordal	mild_vs_severe	4	5	11029	group+study
30.63638555153968	0.5038481661818675	0.3852883583774256	1.3077170779406253	0.19096928864127527		ABCD4	NP_notochordal	mild_vs_severe	4	5	11029	group+study
61.64844691094973	0.1875120052663729	0.47657179541571837	0.3934601398364423	0.693979658645244	0.9625176071014683	ABCE1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
86.43098575015155	0.07676974747787958	0.3638991957166471	0.2109643230364734	0.8329151108895216	0.9820360192617554	ABCF1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
19.250316062958166	-0.6616066658817125	0.9195014557229818	-0.7195275893951762	0.4718159094202722		ABCF3	NP_notochordal	mild_vs_severe	4	5	11029	group+study
0.15335186065181367	0.28998504828616406	4.532741555873668	0.06397564138868504	0.9489896224215115		ABHD1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
16.65094207653845	0.3216144715526505	0.5326957346438438	0.6037489145049741	0.5460105880976975		ABHD10	NP_notochordal	mild_vs_severe	4	5	11029	group+study
4.92564071169232	-1.9990625595656386	2.1753860936862868	-0.9189460966803091	0.3581237672103572		ABHD11	NP_notochordal	mild_vs_severe	4	5	11029	group+study
36.784620587797995	-1.5378098016988189	0.7493706181717772	-2.052135171046043	0.040156527697217496		ABHD12	NP_notochordal	mild_vs_severe	4	5	11029	group+study
36.36325177394475	-0.23878690150913934	0.4678468656042533	-0.5103954286425136	0.6097744588505274		ABHD13	NP_notochordal	mild_vs_severe	4	5	11029	group+study
29.40100374901168	-3.9201976498090194	1.4354167054784723	-2.7310519898835137	0.006313251150090065		ABHD14A	NP_notochordal	mild_vs_severe	4	5	11029	group+study
40.66236699224257	-0.7798897134084395	0.6476658408159458	-1.2041544640148303	0.22852988231866755		ABHD14B	NP_notochordal	mild_vs_severe	4	5	11029	group+study
3.226732163786648	-0.08774113563329256	1.8409321172310904	-0.047661255302157625	0.9619862127802715		ABHD15	NP_notochordal	mild_vs_severe	4	5	11029	group+study
9.067759292886926	-0.019741384462132402	2.3113385043868844	-0.008541104829372056	0.993185267180875		ABHD16A	NP_notochordal	mild_vs_severe	4	5	11029	group+study
32.83395352781111	-0.9571608320808541	1.378840114127337	-0.6941782606075672	0.48757042414741847		ABHD17A	NP_notochordal	mild_vs_severe	4	5	11029	group+study
21.345178678112838	-0.43781785742274143	0.49230043130340334	-0.8893306395519193	0.3738254094343715		ABHD17B	NP_notochordal	mild_vs_severe	4	5	11029	group+study
22.31911870781224	0.4000061226028434	0.7139772747613217	0.560250496399291	0.5753085881992421		ABHD17C	NP_notochordal	mild_vs_severe	4	5	11029	group+study
36.279536772674255	0.07382557778719903	0.36885776687080907	0.20014646407881154	0.8413660353839971		ABHD18	NP_notochordal	mild_vs_severe	4	5	11029	group+study
128.5060051931377	0.2765842964429303	0.2168350735520126	1.2755514682756597	0.20211411923690736	0.7716425416604978	ABHD2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
30.048567670568875	-0.6459020217371424	0.614402875702775	-1.0512679013722677	0.293135565002571		ABHD3	NP_notochordal	mild_vs_severe	4	5	11029	group+study
13.710626962017537	0.6013150410547048	0.6863527475052242	0.876102038260039	0.38097456480597414		ABHD4	NP_notochordal	mild_vs_severe	4	5	11029	group+study
139.9841675346039	-0.9356405230702218	0.37900008836843607	-2.4687079285339393	0.013560184636707441	0.32682812359084673	ABHD5	NP_notochordal	mild_vs_severe	4	5	11029	group+study
2.6284620212511367	0.6288119391362623	2.1199544084189914	0.2966157841126472	0.7667598589440753		ABHD6	NP_notochordal	mild_vs_severe	4	5	11029	group+study
8.13876645723763	-3.7138249544555935	2.0402079842646743	-1.8203168417626396	0.0687107680637536		ABHD8	NP_notochordal	mild_vs_severe	4	5	11029	group+study
173.93077095467822	-0.3216001106218282	0.3276728882192876	-0.9814669512926095	0.3263625241613526	0.8552532715263848	ABI1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
39.138771514676854	0.789046366185664	0.7113212016706054	1.1092687302621005	0.2673142704503131		ABI2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
0.00628898450678535	0.7764019053578068	4.633239086545903	0.16757216514302897	0.8669198705112443		ABI3	NP_notochordal	mild_vs_severe	4	5	11029	group+study
102.70950275563538	0.6070039134706182	1.269329065977474	0.47820847228703606	0.6325018329943612	0.9516245113427023	ABI3BP	NP_notochordal	mild_vs_severe	4	5	11029	group+study
21.610183917379075	-0.6356685529791569	0.6466286340031699	-0.9830504242347559	0.3255826220938648		ABL1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
38.064595375966434	-0.03713654577086311	0.584256359034499	-0.06356207373118258	0.9493189314246594		ABL2	NP_notochordal	mild_vs_severe	4	5	11029	group+study
7.250957588493167	-0.4605026555964529	1.3677209988287213	-0.33669341626750976	0.7363480269541844		ABLIM1	NP_notochordal	mild_vs_severe	4	5	11029	group+study
