comparison	reason
Fibrochondrocyte_fibroid | healthy_vs_degenerated_all	Underpowered: 1 ref, 2 test (need >= 3)
NP_stressed | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
Fibrochondrocyte_stressed | healthy_vs_degenerated_all	Underpowered: 1 ref, 11 test (need >= 3)
unassigned | healthy_vs_degenerated_all	Underpowered: 2 ref, 11 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_all	No valid samples with >= 50 cells
Macrophage_M2 | healthy_vs_degenerated_all	No valid samples with >= 50 cells
Fibrochondrocyte_fibroid | healthy_vs_degenerated_mild	Underpowered: 1 ref, 1 test (need >= 3)
NP_stressed | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
Fibrochondrocyte_stressed | healthy_vs_degenerated_mild	Underpowered: 1 ref, 5 test (need >= 3)
unassigned | healthy_vs_degenerated_mild	Underpowered: 2 ref, 5 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
Macrophage_M2 | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
Fibrochondrocyte_fibroid | healthy_vs_degenerated_severe	Underpowered: 1 ref, 1 test (need >= 3)
NP_stressed | healthy_vs_degenerated_severe	Underpowered: 1 ref, 1 test (need >= 3)
Fibrochondrocyte_stressed | healthy_vs_degenerated_severe	Underpowered: 1 ref, 6 test (need >= 3)
unassigned | healthy_vs_degenerated_severe	Underpowered: 2 ref, 5 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Macrophage_M2 | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Fibrochondrocyte_fibroid | mild_vs_severe	Underpowered: 1 ref, 1 test (need >= 3)
NP_stressed | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
Pericyte_SMC | mild_vs_severe	No valid samples with >= 50 cells
Macrophage_M2 | mild_vs_severe	No valid samples with >= 50 cells
AF_inner | healthy_vs_degenerated_mild	Underpowered: 3 ref, 1 test (need >= 3)
AF_inner | mild_vs_severe	Underpowered: 1 ref, 3 test (need >= 3)
Fibrochondrocyte_chondroid | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
EP_hyaline | healthy_vs_degenerated_all	Underpowered: 2 ref, 2 test (need >= 3)
Fibroblast_like | healthy_vs_degenerated_all	Underpowered: 3 ref, 2 test (need >= 3)
Fibrochondrocyte_chondroid | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline | healthy_vs_degenerated_mild	Underpowered: 2 ref, 0 test (need >= 3)
Fibroblast_like | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
Fibrochondrocyte_chondroid | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
EP_hyaline | healthy_vs_degenerated_severe	Underpowered: 2 ref, 0 test (need >= 3)
Fibroblast_like | healthy_vs_degenerated_severe	Underpowered: 3 ref, 1 test (need >= 3)
Fibrochondrocyte_chondroid | mild_vs_severe	No valid samples with >= 50 cells
EP_hyaline | mild_vs_severe	No valid samples with >= 50 cells
Fibroblast_like | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
