group	names	scores	logfoldchanges	pvals	pvals_adj
0	OGN	134.45235	4.2535014	0.0	0.0
0	COL2A1	131.64087	4.102711	0.0	0.0
0	FN1	117.69906	2.8048546	0.0	0.0
0	LUM	106.22488	1.730539	0.0	0.0
0	CHI3L2	106.15002	3.9416409	0.0	0.0
0	COL11A1	103.39078	2.6159036	0.0	0.0
0	NNMT	100.9226	2.371587	0.0	0.0
0	MT1E	98.56609	2.4001477	0.0	0.0
0	BGN	94.65122	1.7789712	0.0	0.0
0	ACAN	92.26594	1.6434125	0.0	0.0
0	COL1A2	91.83046	4.0362315	0.0	0.0
0	NDUFA4L2	90.06713	1.981222	0.0	0.0
0	VCAN	89.336624	3.6617365	0.0	0.0
0	CHI3L1	86.097755	3.0436976	0.0	0.0
0	COL5A2	83.61886	3.981191	0.0	0.0
0	IGFBP7	81.84523	2.292753	0.0	0.0
0	RPL13A	81.6118	1.1749859	0.0	0.0
0	CCDC80	81.10441	2.0758855	0.0	0.0
0	RPS2	80.10961	1.0208595	0.0	0.0
0	COL3A1	78.39227	4.7363706	0.0	0.0
0	FMOD	77.62137	1.3786553	0.0	0.0
0	MT2A	76.620224	1.5275341	0.0	0.0
0	MT1M	76.3339	2.133639	0.0	0.0
0	RPL7	75.86258	1.1292292	0.0	0.0
0	AEBP1	73.33865	1.9328983	0.0	0.0
0	SERPINA5	71.76901	2.1697335	0.0	0.0
0	PCOLCE2	70.01494	1.3470987	0.0	0.0
0	MT1X	69.50541	1.4121889	0.0	0.0
0	PLAC9	69.39891	1.4031868	0.0	0.0
0	EGR1	69.16905	1.9358783	0.0	0.0
0	SPARC	68.895515	1.5461588	0.0	0.0
0	ABI3BP	68.81728	2.1287856	0.0	0.0
0	RPLP0	68.46232	0.70184875	0.0	0.0
0	C1S	66.22001	1.9834055	0.0	0.0
0	SLPI	63.965492	1.5418042	0.0	0.0
0	ISLR	61.421528	1.8036726	0.0	0.0
0	DCN	60.643635	0.75800055	0.0	0.0
0	SCRG1	60.196865	1.0679036	0.0	0.0
0	NEAT1	59.9938	0.9466325	0.0	0.0
0	MT1G	59.594433	1.4339384	0.0	0.0
0	LRP1	58.656067	1.7209268	0.0	0.0
0	PLA2G2A	58.511017	2.52666	0.0	0.0
0	PCOLCE	58.310005	2.3570387	0.0	0.0
0	SERPINE2	58.01763	1.4023775	0.0	0.0
0	GAPDH	56.947575	0.9131011	0.0	0.0
0	MATN4	56.22424	2.755375	0.0	0.0
0	COL6A2	55.829296	1.3105468	0.0	0.0
0	RPL3	55.35176	0.5939319	0.0	0.0
0	ID1	54.844505	1.7614329	0.0	0.0
0	P4HB	54.438343	1.2543801	0.0	0.0
2	APOD	132.44965	4.6313148	0.0	0.0
2	RBP4	129.74132	3.2450697	0.0	0.0
2	CRYAB	129.15396	3.8219862	0.0	0.0
2	HSPA1A	127.51801	4.5188513	0.0	0.0
2	HSP90AB1	122.73858	2.0537448	0.0	0.0
2	HSPA1B	121.69397	4.04865	0.0	0.0
2	CALM1	115.482025	2.479952	0.0	0.0
2	CYTL1	113.98542	3.8447495	0.0	0.0
2	MAP1LC3B	112.59356	2.7003298	0.0	0.0
2	HSP90AA1	112.131035	2.2557478	0.0	0.0
2	DNAJA1	107.79916	2.8542013	0.0	0.0
2	CHAD	104.83289	2.9271057	0.0	0.0
2	SERPINA1	104.67951	1.9560351	0.0	0.0
2	RGCC	103.95736	2.211702	0.0	0.0
2	FGFBP2	103.95499	1.8662888	0.0	0.0
2	PPP1R15A	102.79942	2.6071308	0.0	0.0
2	H2AFZ	102.66508	2.1450102	0.0	0.0
2	S100A10	102.396454	1.8585544	0.0	0.0
2	IL17B	99.44585	5.996755	0.0	0.0
2	PDPN	98.27978	2.7078214	0.0	0.0
2	SOD3	96.24624	1.9563959	0.0	0.0
2	DNAJB1	95.59568	2.6571558	0.0	0.0
2	CDKN1A	95.227974	2.582138	0.0	0.0
2	HSPH1	94.49203	2.839047	0.0	0.0
2	UBC	93.58799	1.4655108	0.0	0.0
2	SPINT2	92.989	2.6391344	0.0	0.0
2	HSPB1	92.97706	2.2458742	0.0	0.0
2	STMN1	91.58628	3.93487	0.0	0.0
2	DYNLL1	90.62004	1.8460685	0.0	0.0
2	EIF1	90.343636	0.8940258	0.0	0.0
2	GEM	88.505165	2.6913276	0.0	0.0
2	ODC1	88.296555	2.4709058	0.0	0.0
2	JUND	87.770256	2.0910156	0.0	0.0
2	LMNA	87.76362	2.1446633	0.0	0.0
2	UBB	86.830925	1.6032457	0.0	0.0
2	ATF3	86.54114	2.5784867	0.0	0.0
2	PHLDA2	85.45799	2.822508	0.0	0.0
2	TUBB2A	85.14535	2.2332187	0.0	0.0
2	HSPE1	84.53423	1.9041862	0.0	0.0
2	SLC3A2	84.4642	2.295985	0.0	0.0
2	IBSP	84.41778	3.653382	0.0	0.0
2	TNFRSF12A	84.157616	2.4161623	0.0	0.0
2	CD9	82.892876	1.822142	0.0	0.0
2	CYCS	81.613365	1.9252661	0.0	0.0
2	S100A11	81.51983	1.602533	0.0	0.0
2	UBE2S	81.31561	2.5061097	0.0	0.0
2	HSPA6	80.2103	3.7193027	0.0	0.0
2	ADIRF	79.99865	1.9233036	0.0	0.0
2	DDIT3	79.947464	2.1510584	0.0	0.0
2	BTG3	79.75796	2.2465482	0.0	0.0
8	RPL17	73.26229	3.6365702	0.0	0.0
8	EEF1G	68.31643	6.584372	0.0	0.0
8	LINC00632	66.10342	5.269283	0.0	0.0
8	NME2	64.09295	5.0275807	0.0	0.0
8	RPL36A	63.30066	2.4134982	0.0	0.0
8	RNASEK	61.8904	5.1114187	0.0	0.0
8	ATP6V0C	61.363922	7.167518	0.0	0.0
8	RPS21	60.738388	1.5815152	0.0	0.0
8	GABARAP	59.867855	3.4880722	0.0	0.0
8	EIF4A1	58.75736	4.1819367	0.0	0.0
8	TSC22D3	54.329845	3.8737109	0.0	0.0
8	SERPINA3	53.924305	5.3026857	0.0	0.0
8	BHLHE41	52.403385	2.8825943	0.0	0.0
8	DDIT4	49.513844	3.2333827	0.0	0.0
8	BNIP3	47.72686	2.523884	0.0	0.0
8	LDHA	45.642273	1.738931	0.0	0.0
8	MRPS24	45.226704	5.6181893	0.0	0.0
8	VEGFA	45.029316	2.6307502	0.0	0.0
8	FOS	44.795517	2.1236901	0.0	0.0
8	HSPA5	44.79151	1.9742043	0.0	0.0
8	MT1X	43.407043	1.7027963	0.0	0.0
8	MIF	43.401657	2.0284827	0.0	0.0
8	WWP2	42.613895	2.0151381	0.0	0.0
8	ABI3BP	42.245735	2.6212769	0.0	0.0
8	PLCG2	42.226593	5.0607142	0.0	0.0
8	RPL36AL	41.46871	1.1646144	0.0	0.0
8	TOB1	40.552418	2.2083545	0.0	0.0
8	XBP1	40.5519	1.7394117	0.0	0.0
8	RPL22	40.33528	0.9723229	0.0	0.0
8	DDX39B	40.264248	3.417459	0.0	0.0
8	TXNIP	39.794006	2.5205522	0.0	0.0
8	HERPUD1	39.64462	1.8681589	0.0	0.0
8	ERRFI1	39.418415	2.5900676	0.0	0.0
8	FKBP5	39.027187	3.449035	0.0	0.0
8	ANKRD37	38.480976	2.4615145	0.0	0.0
8	BNIP3L	38.347015	1.7239488	0.0	0.0
8	PMEPA1	38.338146	1.8564645	0.0	0.0
8	PPP1R3C	38.278664	2.899134	0.0	0.0
8	RHOB	38.231926	1.9455107	0.0	0.0
8	ADM	38.11213	2.0140674	0.0	0.0
8	RPL37	38.030834	0.70559293	0.0	0.0
8	HIST1H1E	37.112267	4.3466945	1.7814953042561439e-301	5.535818508445542e-299
8	TUBB4B	37.036926	1.5477234	2.915826504935161e-300	8.882979687681881e-298
8	PDE4DIP	36.81366	1.7596916	1.116287443772879e-296	3.3353380795960036e-294
8	IER2	36.1582	1.8673875	2.7652470933498636e-286	7.81157165261397e-284
8	MT-ND4L	35.928677	1.8333409	1.0898095352548363e-282	3.023637633795427e-280
8	ZFAND5	35.323856	1.802108	2.5273792810769297e-273	6.770326187946941e-271
8	FOSB	34.800884	1.738898	2.3583702328738653e-265	6.106999718026874e-263
8	HILPDA	34.594574	2.9044137	3.048681675131859e-262	7.765142161725196e-260
8	RBM4	34.162277	2.5723088	8.78805616042162e-256	2.2022585252333987e-253
10	MALAT1	66.44021	2.233689	0.0	0.0
10	HSPA1A	47.308487	3.2169669	0.0	0.0
10	NEAT1	46.96698	2.0518506	0.0	0.0
10	HSP90AA1	41.23019	1.8103733	0.0	0.0
10	CRYAB	39.52163	2.253713	0.0	0.0
10	HSPA1B	36.38882	2.3735685	6.396031384395797e-290	5.148970964733549e-288
10	HSPH1	34.59528	2.9580991	2.975218197309764e-262	1.9839470013563006e-260
10	DNAJB1	34.30013	2.0992062	7.81228989486023e-258	5.036495771636655e-256
10	HSPB1	31.725185	1.8759022	6.984740589829004e-221	3.370245793297305e-219
10	CYTL1	31.352411	1.9532746	9.019754969289233e-216	4.233834832563348e-214
10	MT-ATP6	28.993797	0.93257856	7.877544216763078e-185	2.942149146534806e-183
10	HSPA6	24.68413	2.5475154	1.583610611961239e-134	3.9241719422714144e-133
10	MEG3	24.305567	1.7849712	1.7118826761726946e-130	4.073127280198339e-129
10	IBSP	23.0968	2.0237782	4.985924465440782e-118	1.0910747664725835e-116
10	MT-ND4	22.566446	0.47835785	9.259733354465114e-113	1.923375362678135e-111
10	MT-CO1	21.571064	0.6582445	3.358745616045119e-103	6.458518643130324e-102
10	MT-CYB	21.536547	0.62220323	7.07903896745367e-103	1.3528539783189138e-101
10	MT-ND5	21.517782	0.9295302	1.061191667464352e-102	2.0255202625790706e-101
10	APOD	21.070227	1.5345734	1.4921685844153866e-98	2.733941426422389e-97
10	IER5	18.09353	1.4453706	3.5837811927944314e-73	5.089689981028069e-72
10	MT-ND2	15.8473015	0.49133703	1.4674807445938963e-56	1.6557914545210872e-55
10	HSP90AB1	15.12161	0.31486866	1.1665533424695567e-51	1.2254725680831308e-50
10	HNRNPU	15.035114	1.4423075	4.32299776925107e-51	4.507813177238514e-50
10	UBC	14.07363	0.20954171	5.5163284274152897e-45	5.200679294705786e-44
10	MT-CO3	14.073574	0.25907618	5.520755748977068e-45	5.201696911574088e-44
