group	names	scores	logfoldchanges	pvals	pvals_adj
1	MALAT1	87.064095	2.3557727	0.0	0.0
1	MT-ATP6	85.055305	1.954044	0.0	0.0
1	MT-CO3	81.56301	1.7352407	0.0	0.0
1	NEAT1	79.991844	1.97742	0.0	0.0
1	MT-CO1	78.71449	1.5650909	0.0	0.0
1	MT-CYB	77.429085	1.5264615	0.0	0.0
1	CALD1	76.54159	0.92636746	0.0	0.0
1	MT-ND4	74.67871	1.4659449	0.0	0.0
1	MT-ND1	72.27906	1.8268394	0.0	0.0
1	MT-ND3	69.27703	1.5462056	0.0	0.0
1	MT-ND5	61.91524	1.832977	0.0	0.0
1	MT-CO2	55.629852	0.8027619	0.0	0.0
1	MT-ND2	45.22806	1.107127	0.0	0.0
1	TAGLN	37.51666	1.3976964	4.928761692363367e-308	1.6193311569940715e-307
1	XIST	28.624651	2.8606253	3.3158522665967647e-180	8.873302904945562e-180
1	MEG3	21.762615	1.8150364	5.2469590814385594e-105	1.1948117140306448e-104
1	DST	20.588303	0.32692784	3.494029037822822e-94	7.73645848092535e-94
1	MT-ND6	18.702538	2.6349638	4.720412459855688e-78	1.0001506666954567e-77
1	TPM1	17.703594	-0.089054175	3.933775125402116e-70	8.117819647147387e-70
1	FTX	15.487682	2.1835697	4.2016618201006853e-54	8.199098178711925e-54
1	WSB1	8.9656	1.7021546	3.085966473039838e-19	5.053400199369727e-19
1	CCDC80	8.037449	-0.18609805	9.172783251807045e-16	1.465626628787804e-15
1	VMP1	6.583933	1.3026661	4.5816454091657704e-11	6.998822605664003e-11
1	GOLGA8A	5.6991444	2.4552195	1.2041017459401571e-08	1.7917947348599005e-08
1	KCNQ1OT1	5.6855774	1.7856077	1.3037131075191168e-08	1.938909787644732e-08
1	FGF7	5.6074	1.1696222	2.0538850300104152e-08	3.0507850584389884e-08
1	THBS1	5.543256	1.0319571	2.9689840583378033e-08	4.398694127433437e-08
1	POLR2J3	5.477737	1.8692245	4.3080040742154736e-08	6.36915589505051e-08
1	MEG8	4.980742	1.8480631	6.334096266495956e-07	9.225916723778725e-07
1	LINC00342	4.4865665	2.0812502	7.2380135039799845e-06	1.0372349733567332e-05
1	SYNPO2	4.267975	2.023834	1.9725575410270994e-05	2.8050179859910342e-05
1	GOLGA8B	3.545329	2.3706696	0.00039212332980968735	0.0005422232267046201
1	MFAP5	3.477605	1.303305	0.0005059147428163157	0.000698205485800062
1	COL1A1	3.3322148	0.13512446	0.0008615770780310677	0.0011825373729124292
1	FLG	3.316328	3.9064271	0.0009120869710799989	0.0012509794553027846
1	ZMAT1	3.2416546	2.5148911	0.0011883793634002709	0.0016249098098345515
1	NPIPB5	3.0696425	2.371276	0.0021431509219104407	0.0029132227361087066
1	FAM13A-AS1	2.5885158	2.6235833	0.009639054572616677	0.012820990573987272
1	RGPD5	2.5437095	2.2389634	0.010968226618737082	0.0145565334394224
1	CCDC144A	2.4489887	2.1164267	0.01432579747686133	0.01895103579378412
1	MIR34AHG	2.33342	2.2986557	0.019626108581395678	0.02586351560891812
1	GPR135	2.2102098	2.4042783	0.027090595878874562	0.03554353894359687
1	LINC00894	2.142393	2.8627706	0.03216185317775994	0.04203741169536942
1	GLS	2.0945222	0.70902705	0.036213478466061745	0.04722585319180807
1	CARMN	2.0663145	2.3035913	0.038798786283161656	0.05054219355089148
1	TMEM9B-AS1	2.0297604	2.608902	0.042380909443632514	0.05512995562840911
1	POU5F2	1.8670503	2.4199405	0.06189456199973469	0.07973928771060347
1	LINC01355	1.8359262	2.3805978	0.06636857972331801	0.08535457521407103
1	ANKRD36	1.7837087	2.1151302	0.07447101750361645	0.0955218524687269
1	AL354822.1	1.7661674	2.319756	0.07736776943042827	0.09913921926932485
3	B2M	95.03848	1.2054852	0.0	0.0
3	NPC2	81.73658	1.3656676	0.0	0.0
3	CLU	80.74445	2.1277516	0.0	0.0
3	CD59	78.95954	1.112068	0.0	0.0
3	GEM	77.09783	2.1825173	0.0	0.0
3	C4orf3	74.02272	1.1452773	0.0	0.0
3	IER5L	72.631065	1.5166968	0.0	0.0
3	GPNMB	71.98313	1.2976881	0.0	0.0
3	HMOX1	70.53404	1.6572301	0.0	0.0
3	IGFBP7	70.14217	1.372687	0.0	0.0
3	OST4	70.00448	1.0201085	0.0	0.0
3	CTNNB1	69.06282	1.331618	0.0	0.0
3	PCOLCE2	68.97319	1.3165126	0.0	0.0
3	ID3	68.27093	1.5117797	0.0	0.0
3	FTL	67.97221	0.7277254	0.0	0.0
3	MT1X	67.34574	1.4970529	0.0	0.0
3	S100A1	66.91883	1.7215463	0.0	0.0
3	RPS27	66.631516	0.73762625	0.0	0.0
3	CD55	66.5885	1.4840947	0.0	0.0
3	NDUFB3	66.384735	1.1019369	0.0	0.0
3	BRI3	66.12338	0.9778904	0.0	0.0
3	ANXA4	65.18036	1.0788212	0.0	0.0
3	ATP6V1G1	65.03102	1.0090421	0.0	0.0
3	SCPEP1	64.966	1.1950257	0.0	0.0
3	PLAC9	64.7146	1.2476312	0.0	0.0
3	RPS26	64.43538	0.942619	0.0	0.0
3	NDUFC1	62.143074	0.95761466	0.0	0.0
3	FBXO32	62.13144	1.572215	0.0	0.0
