group	names	scores	logfoldchanges	pvals	pvals_adj
0	COL2A1	183.45032	6.3128366	0.0	0.0
0	OGN	181.08853	5.222976	0.0	0.0
0	ACAN	171.03937	4.170504	0.0	0.0
0	MT1E	166.08127	4.2274284	0.0	0.0
0	MT1X	162.7287	4.139074	0.0	0.0
0	MT1G	160.60419	4.91985	0.0	0.0
0	BGN	153.2682	3.0156302	0.0	0.0
0	COMP	151.56236	4.354038	0.0	0.0
0	FMOD	150.93982	3.1792333	0.0	0.0
0	PRELP	150.0735	3.589145	0.0	0.0
0	SCRG1	147.81693	3.2791083	0.0	0.0
0	LUM	142.16249	1.9509958	0.0	0.0
0	MT2A	138.13568	2.7290416	0.0	0.0
0	MT1M	134.33344	3.7064922	0.0	0.0
0	COL9A3	133.2683	3.5437016	0.0	0.0
0	MGP	133.01817	3.5006194	0.0	0.0
0	CHI3L2	131.89494	4.0759215	0.0	0.0
0	COL11A1	131.03828	2.8054645	0.0	0.0
0	FOS	125.32788	2.9437988	0.0	0.0
0	FN1	124.500656	2.0460124	0.0	0.0
0	NDUFA4L2	124.05295	2.4144797	0.0	0.0
0	JUNB	122.990265	2.6252532	0.0	0.0
0	PCOLCE2	119.8461	2.0672266	0.0	0.0
0	SERPINA5	119.63892	4.122937	0.0	0.0
0	SLPI	119.602684	2.6538126	0.0	0.0
0	RPL13A	118.31307	1.3495984	0.0	0.0
0	COL11A2	114.10445	3.4050648	0.0	0.0
0	CLU	113.94125	2.1909328	0.0	0.0
0	EGR1	113.82051	3.1859426	0.0	0.0
0	FGFBP2	111.81659	2.9959557	0.0	0.0
0	DCN	110.98088	1.2862815	0.0	0.0
0	S100B	110.528	2.6173878	0.0	0.0
0	RPS3A	104.38781	0.842454	0.0	0.0
0	RPL21	102.65618	1.027553	0.0	0.0
0	H3F3B	98.69079	1.2785404	0.0	0.0
0	RPL8	97.183975	0.8386109	0.0	0.0
0	COL9A2	96.90235	2.791385	0.0	0.0
0	RPL7	96.516785	1.0836835	0.0	0.0
0	FOSB	94.800316	2.8817577	0.0	0.0
0	EIF3H	93.39298	1.5080477	0.0	0.0
0	PLA2G2A	91.82743	4.5071716	0.0	0.0
0	MIA	91.59758	2.0287118	0.0	0.0
0	HAPLN1	91.27313	1.9988561	0.0	0.0
0	SERPINA1	90.93708	2.2578905	0.0	0.0
0	PLAC9	90.231	1.4271644	0.0	0.0
0	FXYD6	89.394615	2.364161	0.0	0.0
0	CLEC3A	88.048965	2.3250916	0.0	0.0
0	RPS27A	87.23619	0.7114497	0.0	0.0
0	FBXO2	86.29673	1.8906735	0.0	0.0
0	EEF1D	85.87475	0.84960985	0.0	0.0
1	CALD1	112.34887	2.2769146	0.0	0.0
1	MT-ATP6	94.15147	2.0876234	0.0	0.0
1	MT-CO1	94.143456	2.1079142	0.0	0.0
1	MT-CO3	93.850975	2.0769105	0.0	0.0
1	MT-CYB	91.05843	1.9562913	0.0	0.0
1	NEAT1	82.526886	1.8262715	0.0	0.0
1	MT-CO2	82.252075	1.665127	0.0	0.0
1	MT-ND4	77.549576	1.3195646	0.0	0.0
1	MT-ND3	76.85299	1.6911228	0.0	0.0
1	MT-ND1	74.03761	1.6709218	0.0	0.0
1	TAGLN	69.773575	2.5306	0.0	0.0
1	TPM1	69.333145	1.4343729	0.0	0.0
1	MALAT1	62.357143	1.1365249	0.0	0.0
1	MT-ND5	55.596336	1.3250833	0.0	0.0
1	COL1A1	50.73208	1.6550249	0.0	0.0
1	COL1A2	46.359955	1.1029694	0.0	0.0
1	TMSB4X	46.144775	1.3280984	0.0	0.0
1	CCDC80	44.263134	0.7944458	0.0	0.0
1	XIST	41.491108	3.875531	0.0	0.0
1	LMO7	40.407726	1.5924449	0.0	0.0
1	ACTB	39.404125	0.44025284	0.0	0.0
1	EEF1G	39.181976	0.7876485	0.0	0.0
1	LIMA1	38.886433	1.1421876	0.0	0.0
1	DST	36.179592	0.8296403	1.2747842642360687e-286	6.382959430691523e-286
1	MT-ND2	34.78842	0.6389144	3.6401058043790545e-265	1.7493450010095074e-264
1	IGFBP4	33.338356	1.2164149	1.0744415087997475e-243	4.858439383650081e-243
1	ITGA11	30.736023	1.8086866	1.8799699438074602e-207	7.776648833050189e-207
1	MAP1B	30.707418	1.1560243	4.531102491759153e-207	1.8733299471650334e-206
1	FTX	30.627747	2.5576038	5.229485226723802e-206	2.1574750920766787e-205
1	MT-ND6	30.19573	3.1038058	2.694895208124376e-200	1.0940837953652583e-199
1	ANXA2	29.312162	0.37595618	7.258759805246392e-189	2.8624200785307917e-188
1	VMP1	29.251099	1.7902411	4.3481694003816335e-188	1.7116166195523037e-187
1	THBS1	27.638893	1.6930041	3.7953790383601966e-168	1.4063630841641396e-167
1	GAS6	26.811646	0.9550707	2.3638089152178684e-158	8.554973006228749e-158
1	POLR2J3	24.06464	2.5764766	5.866170241597111e-128	1.9416848539346893e-127
1	DAB2	23.355803	0.6363561	1.2032231223382901e-120	3.872897794027349e-120
1	MEG3	23.022774	1.3896619	2.7572386392385015e-117	8.771338398412898e-117
1	RND3	21.686653	0.70268315	2.7422316494961012e-104	8.332887373014067e-104
1	TPM2	21.374521	0.31428578	2.3068007637104752e-101	6.935132249568431e-101
1	NABP1	20.991451	2.3377895	7.85115054289148e-98	2.3226071208093094e-97
1	MFAP5	20.235441	2.3259625	4.7733329152019006e-91	1.3726313807790474e-90
1	FGF7	20.05518	1.7742127	1.8188492877072798e-89	5.189030735054721e-89
1	MEG8	19.87144	2.259141	7.19092335947284e-88	2.0354413597400167e-87
1	FTH1	18.719484	0.50357187	3.4345607586390326e-78	9.340586470676465e-78
1	MYL9	18.453472	0.9032179	4.8900267002359193e-76	1.3158355531964924e-75
1	TPM4	18.330753	0.53318226	4.703413935588069e-75	1.259730086489085e-74
1	NEK10	17.255707	2.8150074	1.0137451988835635e-66	2.608140280684538e-66
1	PTX3	16.847101	1.2992715	1.101854387827184e-63	2.7895570512743945e-63
1	ACTG1	16.686369	0.09809937	1.646851518838711e-62	4.140982691082223e-62
1	GLS	16.49134	0.95293725	4.234480368115043e-61	1.0577350720161321e-60
2	APOD	167.211	6.822462	0.0	0.0
2	HSPA1A	164.42735	6.0271997	0.0	0.0
2	CYTL1	160.2758	6.529096	0.0	0.0
2	RBP4	159.24632	4.073982	0.0	0.0
2	HSPA1B	157.614	5.7524867	0.0	0.0
2	FGFBP2	157.20982	5.046316	0.0	0.0
2	HSP90AB1	156.7773	2.368067	0.0	0.0
2	SERPINA1	156.67097	4.6656938	0.0	0.0
2	RGCC	153.8313	4.210958	0.0	0.0
2	CHAD	151.77138	5.1418934	0.0	0.0
2	JUND	148.20792	3.4130254	0.0	0.0
2	CRYAB	147.33955	3.4569468	0.0	0.0
2	PPP1R15A	141.67899	3.546713	0.0	0.0
2	EIF1	139.73927	1.3213906	0.0	0.0
2	DNAJB1	137.5163	3.9732924	0.0	0.0
2	UBC	137.49637	1.8614335	0.0	0.0
2	SOD3	137.06854	2.726837	0.0	0.0
2	MIA	136.7806	3.3260388	0.0	0.0
2	MAP1LC3B	135.73642	2.445562	0.0	0.0
2	H3F3B	134.801	2.006688	0.0	0.0
2	HSP90AA1	132.52568	1.9345833	0.0	0.0
2	MGP	129.50298	3.8461664	0.0	0.0
2	PNRC1	129.37866	2.3288467	0.0	0.0
2	S100B	128.3999	3.2794478	0.0	0.0
2	DNAJA1	128.39603	2.513005	0.0	0.0
2	C11orf96	126.72395	4.0004573	0.0	0.0
2	GADD45B	126.26263	3.3369493	0.0	0.0
2	ATF3	126.181366	4.3178477	0.0	0.0
2	PTMA	126.144104	1.6126909	0.0	0.0
2	CLEC3A	124.95656	3.781871	0.0	0.0
2	SPINT2	122.81284	3.7146564	0.0	0.0
2	RPS27A	122.25095	1.0525621	0.0	0.0
2	RPL24	121.52347	1.1417849	0.0	0.0
2	SNHG8	121.30761	2.2488072	0.0	0.0
2	CST3	120.45116	1.7907915	0.0	0.0
2	CALM1	120.31959	1.8174213	0.0	0.0
2	TSC22D1	118.45431	2.6869886	0.0	0.0
2	RPL30	116.70007	1.0354859	0.0	0.0
2	IL17B	116.274826	7.609821	0.0	0.0
2	H2AFZ	115.37473	2.0474048	0.0	0.0
2	IER5	115.107315	3.4458182	0.0	0.0
2	CDKN1A	114.196785	2.5668159	0.0	0.0
2	PDPN	113.70099	2.5565705	0.0	0.0
2	IBSP	113.178314	5.4472446	0.0	0.0
2	RPS10	112.77346	1.5707886	0.0	0.0
2	HSPB1	112.31705	2.1427715	0.0	0.0
2	HSPH1	111.306	2.7917838	0.0	0.0
2	TUBB4B	110.068886	2.1699843	0.0	0.0
2	JUN	109.91844	2.4129584	0.0	0.0
2	RPL34	109.086395	1.0136145	0.0	0.0
3	B2M	127.13819	1.5659397	0.0	0.0
3	CD59	120.32783	2.0390813	0.0	0.0
3	GPNMB	114.17838	2.513405	0.0	0.0
3	CD63	112.59547	1.6639607	0.0	0.0
3	FTL	112.528336	1.2974055	0.0	0.0
