group	names	scores	logfoldchanges	pvals	pvals_adj
0	EGR1	112.4157	3.4516249	0.0	0.0
0	CLU	104.16979	1.5543942	0.0	0.0
0	FOSB	92.843956	2.3715098	0.0	0.0
0	FN1	87.08589	2.632432	0.0	0.0
0	FOS	80.138336	1.950022	0.0	0.0
0	OGN	78.64627	3.539992	0.0	0.0
0	MT1X	69.60575	1.4087363	0.0	0.0
0	ACAN	66.935486	0.988129	0.0	0.0
0	COMP	66.54059	1.127379	0.0	0.0
0	RPS27	66.0681	0.4126955	0.0	0.0
0	RPL39	64.97613	0.3852314	0.0	0.0
0	RPS29	63.086407	0.40101564	0.0	0.0
0	HNRNPH1	61.972466	1.2542021	0.0	0.0
0	LUM	60.50341	0.8332763	0.0	0.0
0	CCDC80	59.078644	2.058168	0.0	0.0
0	MT1E	57.756645	1.2551749	0.0	0.0
0	BGN	56.441277	1.1550386	0.0	0.0
0	MT2A	56.02383	1.1637363	0.0	0.0
0	ABI3BP	54.68215	3.2875872	0.0	0.0
0	AEBP1	49.585125	1.6039389	0.0	0.0
0	CHI3L2	48.938595	3.7390528	0.0	0.0
0	LRP1	48.6311	1.9950464	0.0	0.0
0	JUNB	47.92266	1.0649552	0.0	0.0
0	CTNNB1	45.36898	1.2011758	0.0	0.0
0	RPS28	45.084606	0.2237776	0.0	0.0
0	COL1A2	44.769302	3.7787733	0.0	0.0
0	PRELP	44.164196	0.52590483	0.0	0.0
0	FMOD	43.365917	0.81661034	0.0	0.0
0	PLOD2	42.673847	1.2130482	0.0	0.0
0	NNMT	41.896225	1.2391429	0.0	0.0
0	COL11A1	41.351254	1.4594516	0.0	0.0
0	ATP5F1E	40.376797	0.45434275	0.0	0.0
0	CHI3L1	39.865227	2.7110076	0.0	0.0
0	PLAC9	39.26837	0.79787046	0.0	0.0
0	GPX3	38.154533	0.7853794	0.0	0.0
0	RPL41	37.679775	0.0665292	0.0	0.0
0	TCF4	36.998787	2.1842656	1.1976620315470637e-299	4.52275670348703e-298
0	ID1	36.609215	1.5424168	2.0406404090188127e-293	7.5622238559946125e-292
0	COL3A1	36.14398	4.636987	4.626113463291233e-286	1.669326033965818e-284
0	MALAT1	35.737347	0.25858158	1.0402347316171636e-279	3.6432691717932895e-278
0	CRTAC1	35.442482	2.993912	3.787179951972013e-275	1.3034028574590383e-273
