group	names	scores	logfoldchanges	pvals	pvals_adj
5	MALAT1	8.091755	2.680083	5.881135588214393e-16	2.4691148948509345e-12
5	NEAT1	6.816445	3.072987	9.332104685288971e-12	2.415797882443936e-09
5	MT-ATP6	5.72311	4.05801	1.0459148225755506e-08	1.8137990835771344e-06
5	CRYAB	5.208938	1.3576933	1.8992441730947474e-07	2.7139439535854702e-05
5	MT-CO1	5.0004096	3.0086563	5.720859383244799e-07	7.569332615075452e-05
5	MT-ND4	4.7579	2.9571676	1.956169744684703e-06	0.00022987568407604054
5	MT-CYB	4.5603275	3.3159595	5.107386240491845e-06	0.0005430246013551508
5	HSP90AA1	4.5452867	1.4590735	5.48604799909207e-06	0.0005730513997648102
5	MT2A	4.3731537	1.1133403	1.224645495238175e-05	0.0011760547223625957
5	MT-ND2	4.329888	3.7098432	1.4918516603291763e-05	0.0013951546783664789
5	MT-ND3	4.275481	4.4158263	1.9072483459929716e-05	0.0017205691897033567
5	UBC	4.2127185	1.1554272	2.5231543233362332e-05	0.002188881004587462
5	C11orf96	4.163697	2.8360174	3.131360151804235e-05	0.0026015048851873138
5	MT-CO2	4.0110607	2.677914	6.044658411552522e-05	0.004574986802845388
5	HSPH1	3.96501	2.9557567	7.339291910186001e-05	0.005417125293377783
5	MT-CO3	3.9230442	2.4538167	8.743710058992941e-05	0.006297586656198867
5	MEG3	3.9002044	3.128847	9.611147008174733e-05	0.006844861729930561
5	MT-ND1	3.876622	3.5634398	0.00010591669478158856	0.007419152949759745
5	DDX5	3.510444	2.8474429	0.000447359001014721	0.0259439171302758
5	HSPA1A	3.329212	1.1205374	0.0008709211943923757	0.04616140763868431
5	MT-ND5	3.283347	2.1015983	0.0010258238778559825	0.05280480145897279
5	MT1G	3.2376673	0.9452646	0.0012051122316849097	0.060635816006636215
5	DNAJB1	3.0896735	1.9420935	0.0020037661941019053	0.09296434223129411
5	IBSP	2.7747455	2.4979112	0.005524490946988114	0.21977384698240912
5	JUND	2.7205245	0.98339975	0.006517844605518612	0.24823398793981546
5	HNRNPH1	2.6139393	2.374196	0.008950496522501598	0.3134779782057324
5	GLS	2.510325	2.803614	0.012062011849000168	0.3928567810887328
5	SLC5A3	2.4185948	3.3039074	0.015580588295991139	0.47817949852748065
5	HSPB1	2.3836854	0.9959553	0.017140254807831424	0.5180359244965903
5	SPAG9	2.3484044	2.543902	0.01885403775891825	0.5576699970769559
5	DST	2.322408	2.0700052	0.0202109768539848	0.5813340878677561
5	THUMPD3-AS1	2.188341	2.3028796	0.02864478746411468	0.7480309849181526
5	HSPA1B	2.181099	1.1477948	0.029176099487913627	0.7574760015306877
5	MT-ND4L	2.1801705	3.3818293	0.029244825941570112	0.7581583178059874
5	TRA2B	2.1103516	2.6797392	0.034828085608601865	0.8688537222637521
5	PPP1R15A	2.1049666	1.8349184	0.03529421656729443	0.8768084788943159
5	SAT1	1.9968958	0.9241009	0.04583650449655184	1.0
5	BAG3	1.9929963	2.885	0.04626184900644919	1.0
5	IER5	1.9911394	1.4582825	0.04646555918821441	1.0
5	JMJD1C	1.9606864	2.6403544	0.04991560442025433	1.0
5	GADD45B	1.956787	0.7889853	0.05037251119717461	1.0
5	JUN	1.9437889	1.435729	0.05192092057388528	1.0
5	KCNQ1OT1	1.874527	2.4207647	0.060857828626925806	1.0
5	FGF2	1.8240197	1.9176766	0.06814910100611199	1.0
