group	names	scores	logfoldchanges	pvals	pvals_adj
0	CLU	154.9557	2.823683	0.0	0.0
0	EGR1	144.6006	3.975884	0.0	0.0
0	MT1X	134.0491	3.3039103	0.0	0.0
0	COMP	132.7845	3.623062	0.0	0.0
0	FOSB	124.137245	3.0595615	0.0	0.0
0	ACAN	120.79915	2.483938	0.0	0.0
0	MT1E	116.48211	2.6553068	0.0	0.0
0	PRELP	116.10576	2.8655915	0.0	0.0
0	FOS	116.05844	2.4897966	0.0	0.0
0	FN1	110.82506	2.6182206	0.0	0.0
0	RPS27	110.688545	0.9015563	0.0	0.0
0	MT2A	109.80457	2.0761144	0.0	0.0
0	OGN	104.57978	4.1706038	0.0	0.0
0	RPL39	102.84575	0.83275217	0.0	0.0
0	LUM	102.340645	1.3551459	0.0	0.0
0	RPS29	100.97978	0.80808735	0.0	0.0
0	SCRG1	99.32751	2.7221062	0.0	0.0
0	HNRNPH1	93.900116	2.1912916	0.0	0.0
0	FMOD	93.872246	2.4532356	0.0	0.0
0	MT1G	93.439316	2.9319594	0.0	0.0
0	BGN	92.94987	2.0575652	0.0	0.0
0	RPL41	90.5679	0.5725699	0.0	0.0
0	DCN	90.53813	1.0002493	0.0	0.0
0	JUNB	89.24371	2.049702	0.0	0.0
0	MGP	85.877144	3.1566365	0.0	0.0
0	MIA	81.01171	1.9339151	0.0	0.0
0	SNORC	79.49192	2.2902098	0.0	0.0
0	DDX5	78.96802	1.0517864	0.0	0.0
0	GPX3	76.44024	1.8833057	0.0	0.0
0	RPL38	74.80864	0.6249007	0.0	0.0
0	JUND	72.81	1.4634951	0.0	0.0
0	KLF4	72.09792	1.9992499	0.0	0.0
0	RPL34	71.72675	0.5072471	0.0	0.0
0	AEBP1	69.10617	2.0443318	0.0	0.0
0	PLAC9	68.11538	1.3788507	0.0	0.0
0	CTNNB1	67.674255	1.8197113	0.0	0.0
0	RPL37	63.4	0.3600183	0.0	0.0
0	ABI3BP	62.00882	3.1316063	0.0	0.0
0	COL11A1	61.465286	2.0346856	0.0	0.0
0	MALAT1	61.01625	0.6554925	0.0	0.0
0	S100A1	59.72941	1.0540212	0.0	0.0
0	RPS28	58.97752	0.35279968	0.0	0.0
0	RPL37A	58.04988	0.31025717	0.0	0.0
0	RPS10	55.00765	0.8817963	0.0	0.0
0	RHOB	54.589664	1.804903	0.0	0.0
0	RPL36	52.741802	0.28706452	0.0	0.0
0	CRTAC1	51.968742	3.8237934	0.0	0.0
0	SERPING1	51.068607	1.4057021	0.0	0.0
0	MT1M	51.007683	1.8679315	0.0	0.0
0	DSTN	49.80796	0.32580814	0.0	0.0
1	CYTL1	135.45113	5.49421	0.0	0.0
1	RBP4	131.39891	3.780221	0.0	0.0
1	APOD	129.24626	4.810084	0.0	0.0
1	EIF1	128.70175	1.3329915	0.0	0.0
1	CRYAB	128.70047	3.183662	0.0	0.0
1	FGFBP2	128.37941	3.799489	0.0	0.0
1	SERPINA1	122.76878	3.4561388	0.0	0.0
1	UBC	121.99917	1.6781346	0.0	0.0
1	HSP90AB1	120.605286	1.813623	0.0	0.0
1	HSPA1A	119.66635	3.5808647	0.0	0.0
1	RPS3A	117.998405	1.234867	0.0	0.0
1	H3F3B	115.325386	1.8129977	0.0	0.0
1	CST3	114.07561	1.8793004	0.0	0.0
1	RPS27A	112.95397	1.1326828	0.0	0.0
1	RPL8	112.76046	1.2554867	0.0	0.0
1	SOD3	111.21404	2.3917313	0.0	0.0
1	RGCC	110.05266	2.836336	0.0	0.0
1	CHAD	109.77126	3.2472973	0.0	0.0
1	PNRC1	109.53372	2.2118075	0.0	0.0
1	MAP1LC3B	107.977745	2.1370716	0.0	0.0
1	RPS4Y1	107.10253	2.8449948	0.0	0.0
1	H2AFZ	106.29982	2.2629464	0.0	0.0
1	S100B	106.1025	2.7857778	0.0	0.0
1	CLEC3A	102.63846	3.0684037	0.0	0.0
1	RPL24	101.24319	1.1083919	0.0	0.0
1	PDPN	100.91288	2.628829	0.0	0.0
1	TSC22D1	100.87579	2.2970548	0.0	0.0
1	SPINT2	100.29706	2.7914155	0.0	0.0
1	DDIT3	99.22565	2.7691717	0.0	0.0
1	HSPA1B	99.17398	2.8497813	0.0	0.0
1	PPP1R15A	98.99437	2.139261	0.0	0.0
1	IL17B	98.59566	4.192797	0.0	0.0
1	CIRBP	98.49306	1.8325907	0.0	0.0
1	HNRNPA1	97.35422	1.7052888	0.0	0.0
1	AL118516.1	96.89115	2.848122	0.0	0.0
1	FBXO2	96.207405	2.4017665	0.0	0.0
1	PTMA	95.76013	1.2719038	0.0	0.0
1	RPL30	94.62784	1.0135914	0.0	0.0
1	CNMD	94.43985	2.6478765	0.0	0.0
1	HSPB1	94.241714	1.9883196	0.0	0.0
1	EIF3H	94.189804	1.7748867	0.0	0.0
1	RPL9	93.29391	1.0719913	0.0	0.0
1	SBDS	92.42667	1.8651291	0.0	0.0
1	RPL18	91.53317	1.0112457	0.0	0.0
1	SELENOK	91.46118	2.029048	0.0	0.0
1	ROCR	90.46513	2.9706569	0.0	0.0
1	MGP	90.228714	3.5453749	0.0	0.0
1	RPS13	89.95248	1.0277643	0.0	0.0
1	SNHG8	89.84647	1.7779967	0.0	0.0
1	GADD45B	89.62767	2.3833866	0.0	0.0
2	RPS2	132.14697	2.2170231	0.0	0.0
2	FTH1	129.26514	3.7105474	0.0	0.0
2	FTL	129.18517	2.7081678	0.0	0.0
2	NME2	128.82465	4.7302647	0.0	0.0
2	EEF1G	127.502525	4.489943	0.0	0.0
2	RPL17	125.87091	3.1740158	0.0	0.0
2	C12orf75	123.45338	3.778591	0.0	0.0
2	COL1A1	121.965256	4.258581	0.0	0.0
2	VIM	119.63093	2.0619247	0.0	0.0
2	GAPDH	118.23847	2.8359616	0.0	0.0
2	RNASEK	117.80677	3.9352987	0.0	0.0
2	RACK1	117.330124	2.1052914	0.0	0.0
2	LGALS1	115.08652	3.3078768	0.0	0.0
2	TRAPPC5	115.053696	3.5292122	0.0	0.0
2	RPSA	114.949196	1.9010891	0.0	0.0
2	ARPC1B	114.299416	3.2200933	0.0	0.0
2	GABARAP	113.85089	3.0755675	0.0	0.0
2	RPL3	113.43662	1.5996405	0.0	0.0
2	BRI3	113.42754	2.5368507	0.0	0.0
2	MGST1	113.11795	3.581578	0.0	0.0
2	MT-CO2	112.88847	2.4197888	0.0	0.0
2	NQO1	112.69157	3.7230375	0.0	0.0
2	MT-CO3	112.53696	2.3703818	0.0	0.0
2	GPNMB	112.40065	3.8541582	0.0	0.0
2	RNH1	111.9038	3.0133023	0.0	0.0
2	S100A6	111.72859	1.589386	0.0	0.0
2	THY1	111.70049	3.8460858	0.0	0.0
2	GPX4	111.55122	2.438229	0.0	0.0
2	ATP6V0C	110.999985	3.386357	0.0	0.0
2	MRPS24	110.492935	3.4250085	0.0	0.0
2	TMSB4X	110.18291	3.332897	0.0	0.0
2	MAP1B	109.58368	3.2585402	0.0	0.0
2	TPM2	108.77587	2.9360023	0.0	0.0
2	CCDC85B	108.207245	2.7762966	0.0	0.0
2	PPP1R14B	108.100006	2.9371364	0.0	0.0
2	IGFBP4	107.90538	3.4184363	0.0	0.0
2	SQSTM1	107.63011	2.3787496	0.0	0.0
2	MT-CO1	107.40377	2.2649856	0.0	0.0
2	COL1A2	106.38944	3.4260802	0.0	0.0
2	ANXA2	106.00519	2.3132453	0.0	0.0
2	GREM1	105.776665	3.4387162	0.0	0.0
2	COL14A1	105.70133	3.5720508	0.0	0.0
2	CTSA	105.6979	2.9723308	0.0	0.0
2	TKT	105.69106	2.865953	0.0	0.0
2	PDLIM2	105.03906	2.765977	0.0	0.0
2	PERP	104.77342	2.8687096	0.0	0.0
2	AP2M1	104.450905	2.6931298	0.0	0.0
2	MYOF	104.31738	3.1099951	0.0	0.0
2	CD63	103.97326	1.9090455	0.0	0.0
2	PFN1	103.90693	2.5402849	0.0	0.0
3	PRSS23	110.81222	4.179805	0.0	0.0
3	CCDC102B	110.53942	4.251913	0.0	0.0
3	AHNAK2	110.37666	3.8687818	0.0	0.0
3	CD63	110.183	2.195808	0.0	0.0
3	THY1	108.329544	3.9901836	0.0	0.0
3	MIF	106.972534	2.901941	0.0	0.0
3	LGALS1	106.145256	3.319035	0.0	0.0
3	CD59	105.33068	2.764179	0.0	0.0
3	NEK10	104.980194	4.1075144	0.0	0.0
3	CTSD	104.76515	3.253807	0.0	0.0
3	ITGB1	104.21519	2.858409	0.0	0.0
3	TPM4	103.69587	3.184255	0.0	0.0
3	TPM2	103.67508	3.0329213	0.0	0.0
3	RNASEK	103.5634	3.7051973	0.0	0.0
3	CTSK	103.53586	3.3597043	0.0	0.0
3	S100A4	103.382805	3.0997694	0.0	0.0
3	MYLK	103.09052	3.4421883	0.0	0.0
3	GAPDH	102.62972	2.7242594	0.0	0.0
3	ARHGAP29	102.107216	3.3442938	0.0	0.0
3	GBE1	101.99797	3.4886966	0.0	0.0
3	PKM	101.56795	2.7373378	0.0	0.0
3	COL6A3	101.108116	3.163975	0.0	0.0
3	TRIO	101.036285	3.5150592	0.0	0.0
3	FAP	100.81751	3.2732742	0.0	0.0
3	LAMA4	100.78665	3.4098735	0.0	0.0
3	SLC4A7	100.58794	3.2668579	0.0	0.0
3	CSTB	99.52575	2.5783494	0.0	0.0
3	MIR99AHG	99.3833	3.4001782	0.0	0.0
3	FGF13	99.020355	3.4634726	0.0	0.0
3	COL6A2	98.77903	2.6224232	0.0	0.0
3	CTSA	98.76179	2.9888022	0.0	0.0
3	MYOF	98.73837	3.1946924	0.0	0.0
3	GYPC	98.3034	2.8670614	0.0	0.0
3	CA12	98.1985	3.3099282	0.0	0.0
3	TRAPPC5	98.14267	3.0640604	0.0	0.0
3	TSPAN5	98.10507	3.0654242	0.0	0.0
3	KHDRBS3	97.97675	3.3830729	0.0	0.0
3	ARMC9	97.92226	3.233495	0.0	0.0
3	TLN1	97.89261	2.8433383	0.0	0.0
3	BNC2	97.74069	3.2893894	0.0	0.0
3	MT-CYB	97.6979	2.0089333	0.0	0.0
3	FBN1	97.538055	3.0302472	0.0	0.0
3	PERP	97.39972	2.8604856	0.0	0.0
3	PAM	97.1248	2.8462024	0.0	0.0
3	MT-CO1	96.453224	2.295063	0.0	0.0
3	ATP6V0C	96.31209	2.9894376	0.0	0.0
3	EEF1G	96.25625	3.763722	0.0	0.0
3	VIM	96.14656	1.8260385	0.0	0.0
3	FTH1	95.95187	3.100825	0.0	0.0
3	CD44	95.90965	2.7376335	0.0	0.0
4	ZFP36L1	45.82143	3.1674845	0.0	0.0
4	PTMA	45.71332	1.302719	0.0	0.0
4	RPS24	41.83956	0.9119694	0.0	0.0
4	B2M	41.831005	1.1897093	0.0	0.0
4	MT-ND3	40.674915	1.5304136	0.0	0.0
4	RPL39	39.773113	1.017886	0.0	0.0
4	TMSB4X	39.24611	2.3493721	0.0	0.0
4	APOE	32.762566	7.0287824	2.0109269678468928e-235	9.977549305467e-233
4	MARCKS	31.284414	2.6933131	7.603377109032708e-215	2.952424389598744e-212
4	ZFP36	30.573639	2.390348	2.74361333384198e-205	8.751146673050973e-203
4	RPS27	28.692793	0.646983	4.693090189465603e-181	1.0349132958547483e-178
4	MT-ND2	28.147049	1.0264238	2.6041955149914405e-174	5.168460032086345e-172
4	IFITM3	27.21903	1.1442224	3.867049096381521e-163	6.578402948530165e-161
4	CALD1	26.213652	1.6105851	1.857206312440434e-151	2.6970259473830106e-149
4	FOS	25.746086	1.4130899	3.5657358807623503e-146	4.825088962286144e-144
4	H3F3B	24.93728	0.778692	2.93414814347441e-137	3.25526423221987e-135
4	MALAT1	24.80682	0.6228975	7.567512463253227e-136	8.242128513331046e-134
4	TMSB10	23.946209	1.0357782	1.0119792306454795e-126	9.175620821212973e-125
4	RPS15A	22.74913	0.3914029	1.4637692703929186e-114	1.0759607698665973e-112
4	HES4	22.088543	5.8044596	4.073163473278681e-108	2.4746546244797213e-106
4	HMGB1	21.724352	0.6315524	1.2077827117287382e-104	6.597374555626521e-103
4	JUN	20.780987	1.035588	6.432382525873501e-96	2.8868144893756905e-94
4	RPL38	20.714602	0.40955055	2.5581495520840566e-95	1.1254597856976703e-93
4	ZEB2	20.65038	3.3969665	9.685561515012803e-95	4.1991140723582205e-93
4	RPS29	20.636852	0.39499345	1.2814260089525686e-94	5.542089920559511e-93
4	JUNB	20.20731	1.1820791	8.442458468980444e-91	3.336265335684263e-89
4	RPL37	20.018763	0.37625387	3.7799508470565675e-89	1.4426812399599234e-87
4	SPARCL1	19.349194	7.1862636	2.070591268307012e-83	6.861762752226317e-82
4	SOCS3	19.109402	1.9841093	2.1087356595523175e-81	6.738146037732289e-80
4	C11orf96	19.075548	1.2654178	4.031767897910095e-81	1.281413490969219e-79
4	RPL35A	18.779135	0.31361744	1.1188843052904864e-78	3.36456421904018e-77
4	RPL34	18.659286	0.40946543	1.061388755067004e-77	3.128469627558882e-76
4	FAU	18.495632	0.27495977	2.238987690327234e-76	6.409102263561708e-75
