group	names	scores	logfoldchanges	pvals	pvals_adj
2	S100A6	155.18747	2.1311393	0.0	0.0
2	LGALS1	145.6368	2.0868652	0.0	0.0
2	TMSB10	140.11465	2.063169	0.0	0.0
2	S100A4	135.65656	2.1496327	0.0	0.0
2	CD63	125.7218	1.6181912	0.0	0.0
2	TIMP1	122.52779	1.9149046	0.0	0.0
2	SH3BGRL3	118.79824	1.9317732	0.0	0.0
2	GAPDH	116.61819	1.5030389	0.0	0.0
2	VIM	114.38084	1.1265395	0.0	0.0
2	GPX4	112.95144	1.7068479	0.0	0.0
2	S100A10	112.61039	1.5160598	0.0	0.0
2	POLR2L	107.48691	1.6737564	0.0	0.0
2	RPS2	106.56481	1.049099	0.0	0.0
2	RPL28	104.48972	1.228397	0.0	0.0
2	RPL12	104.31607	1.1265085	0.0	0.0
2	BAG1	104.13728	2.4948857	0.0	0.0
2	ANXA2	102.63758	1.3401835	0.0	0.0
2	HMGA1	102.58847	2.9069748	0.0	0.0
2	RPL17	102.50945	2.162415	0.0	0.0
2	CD59	102.15602	1.4660852	0.0	0.0
2	S100A13	99.30346	1.3945231	0.0	0.0
2	TPM2	96.581985	1.5526559	0.0	0.0
2	RPS18	96.43903	0.920912	0.0	0.0
2	RPS14	94.8889	0.8756174	0.0	0.0
2	TMSB4X	92.97562	1.3372085	0.0	0.0
2	CSTB	92.437744	1.3966894	0.0	0.0
2	PPIA	87.78357	0.930861	0.0	0.0
2	S100A11	86.01562	1.0185711	0.0	0.0
2	IGFBP6	85.0915	1.7379751	0.0	0.0
2	CLDN11	84.42179	2.861733	0.0	0.0
2	FTH1	82.015274	2.2583084	0.0	0.0
2	RPSA	81.43391	0.98234165	0.0	0.0
2	RPL10A	81.26571	0.84369385	0.0	0.0
2	RPL35	80.85632	0.876676	0.0	0.0
2	B2M	80.78845	0.7396619	0.0	0.0
2	RPL29	80.77149	0.82027423	0.0	0.0
2	SERF2	79.37776	0.81298846	0.0	0.0
2	RPS19	79.296394	0.7816758	0.0	0.0
2	HINT1	78.86403	1.0152528	0.0	0.0
2	SFRP1	78.00447	2.7288308	0.0	0.0
2	RPS15	77.192154	0.81198245	0.0	0.0
