group	names	scores	logfoldchanges	pvals	pvals_adj
5	ACAN	113.02594	3.9959028	0.0	0.0
5	MT1E	102.4464	4.24034	0.0	0.0
5	MT2A	100.56107	3.594139	0.0	0.0
5	MT1X	94.84965	3.2785988	0.0	0.0
5	MT1G	89.603355	3.9761894	0.0	0.0
5	JUND	75.551544	2.464557	0.0	0.0
5	CHRDL2	72.290955	4.682268	0.0	0.0
5	DST	64.56156	2.3388667	0.0	0.0
5	MGP	62.95587	2.3056564	0.0	0.0
5	PLXDC2	60.468468	2.0268753	0.0	0.0
5	VCAN	59.66262	2.3066664	0.0	0.0
5	SCRG1	59.167316	2.0967731	0.0	0.0
5	COL9A3	54.03873	2.0224783	0.0	0.0
5	OGN	53.835426	1.9784093	0.0	0.0
5	COMP	53.70108	1.9903622	0.0	0.0
5	MT1M	53.69222	3.3663015	0.0	0.0
5	C11orf96	53.409527	2.2648327	0.0	0.0
5	KLF2	52.132534	2.0238225	0.0	0.0
5	SLC30A1	50.15573	3.546749	0.0	0.0
5	COL9A2	48.857716	2.1029582	0.0	0.0
5	CP	48.71175	2.2536755	0.0	0.0
5	COL11A2	48.475872	1.9429239	0.0	0.0
5	COL2A1	45.1889	1.6440312	0.0	0.0
5	SLPI	42.15606	1.6581014	0.0	0.0
5	GADD45B	42.154392	1.3837674	0.0	0.0
5	LUM	41.94914	1.7003423	0.0	0.0
5	CCNL1	41.693054	1.703559	0.0	0.0
5	EGR1	41.687305	1.5443408	0.0	0.0
5	FOSB	41.3333	1.4408467	0.0	0.0
5	PRELP	40.59858	1.3785585	0.0	0.0
5	RGCC	39.54095	1.1324635	0.0	0.0
5	AHI1	36.78092	2.523191	3.7273971749880283e-296	6.128818633627856e-295
5	S100B	36.31827	1.3031889	8.32981412381669e-289	1.3319252062039064e-287
5	DCN	36.3133	1.6247643	9.978833805450464e-289	1.5932919446531834e-287
5	CLU	35.689453	1.2053915	5.761615554088365e-279	8.696019754891508e-278
5	GOLGB1	34.490757	1.7147337	1.1037050616790394e-260	1.5183513647761647e-259
5	RRBP1	33.88468	1.2023103	1.1200684016931467e-251	1.467662075520248e-250
5	CAPS	33.870144	1.2113472	1.8336719457362198e-251	2.3885363137317253e-250
5	FRZB	33.48833	1.7933961	7.127166029329468e-246	9.038393425470347e-245
5	SRSF5	32.531384	0.9807061	3.839452224544363e-232	4.60943159884635e-231
5	ABI3BP	32.473854	1.4015675	2.4952942201398448e-231	2.9698577271632045e-230
5	FMOD	30.769053	1.0820692	6.800981247933154e-208	7.166688262506828e-207
5	ENPP1	28.98318	2.043739	1.0721057745624435e-184	9.775655380783008e-184
5	UBC	28.85848	0.361	3.965915619707793e-183	3.574832273875497e-182
5	FUS	28.61016	1.1698356	5.0223012113207405e-180	4.457847889340445e-179
5	COL27A1	27.81127	2.6145313	3.169483753373998e-170	2.6431530046088676e-169
5	TNFRSF12A	27.757757	1.6065621	1.4045734702472652e-169	1.1634128451379937e-168
5	AEBP1	27.263147	1.0825758	1.1607991993124725e-163	9.247001852718058e-163
5	XYLT1	26.397486	2.2341285	1.4643526668122326e-153	1.0990614267305687e-152
5	KCNMA1	26.160654	1.388106	7.455319465432228e-151	5.524146384292397e-150
23	RPS27	94.81185	2.719966	0.0	0.0
23	RPL7	93.92177	2.8484704	0.0	0.0
23	RPL15	92.49304	1.9555205	0.0	0.0
23	RPL13A	92.3378	2.25578	0.0	0.0
23	RPLP2	91.79209	2.2841818	0.0	0.0
23	EEF1A1	91.6913	1.9475408	0.0	0.0
23	RPL34	91.68113	2.1709638	0.0	0.0
23	RPL41	91.567314	3.1191447	0.0	0.0
23	PPDPF	90.72478	3.4964206	0.0	0.0
23	RPL21	90.202286	2.2954805	0.0	0.0
23	RPS25	89.81585	2.4790332	0.0	0.0
23	RPS2	89.74613	2.1673074	0.0	0.0
23	RPL37A	89.490944	2.1320825	0.0	0.0
23	RPS17	89.413124	4.6673803	0.0	0.0
23	RPL12	89.28529	2.6061854	0.0	0.0
23	RPL10	88.970795	2.3132765	0.0	0.0
23	RPS15A	87.83735	2.8839765	0.0	0.0
23	RPS19	87.47736	2.0048316	0.0	0.0
23	RPL36	87.30261	2.3386884	0.0	0.0
23	RPL39	86.74756	2.8876789	0.0	0.0
23	RPS6	86.61361	1.8766283	0.0	0.0
23	TOMM7	86.299194	2.661284	0.0	0.0
23	RPS28	86.01405	2.5812678	0.0	0.0
23	RPL3	85.36549	2.0825326	0.0	0.0
23	RPL23A	85.173256	2.1002836	0.0	0.0
23	RPS14	84.75317	1.9851781	0.0	0.0
23	RPL32	83.729706	1.9561213	0.0	0.0
23	RPS18	83.71743	1.8986409	0.0	0.0
23	RPL35	82.93297	2.3910959	0.0	0.0
23	RPL27A	82.89948	1.9796916	0.0	0.0
23	NBEAL1	82.62578	4.342089	0.0	0.0
23	RPS26	82.59777	2.5105515	0.0	0.0
23	RPLP1	82.47238	1.6561004	0.0	0.0
23	RPL17	82.01326	3.7362108	0.0	0.0
