group	names	scores	logfoldchanges	pvals	pvals_adj
0	SPARCL1	41.706177	8.110578	0.0	0.0
0	IFI27	39.708996	9.235594	0.0	0.0
0	GNG11	39.000458	7.6917825	0.0	0.0
0	IGFBP7	37.650166	5.7998924	3.2511243403747e-310	7.173930969470779e-307
0	CAV1	37.02019	6.4639473	5.4210639785588105e-300	9.96843314590656e-297
0	TCF4	36.332684	6.032038	4.932483674691235e-289	7.7742989118383425e-286
0	AQP1	36.255535	8.304051	8.129387650853322e-288	1.1211441743983088e-284
0	GSN	36.235813	4.5753794	1.6622663392763288e-287	2.0377538356928597e-284
0	A2M	36.066345	5.0644045	7.645699152797835e-285	8.43549987528185e-282
0	RPS28	36.043312	4.416223	1.7554547838193363e-284	1.7607211481707945e-281
0	TMSB10	35.85746	4.2487717	1.4071596130161325e-281	1.293766000867249e-278
0	IGFBP4	34.88957	5.932267	1.0702270702484645e-266	9.082934820039468e-264
0	HSPB1	34.70207	4.4894376	7.332309133317562e-264	5.393157777859511e-261
0	SPTBN1	34.700027	5.7080345	7.8708037900744615e-264	5.427411138493221e-261
0	EEF1A1	34.576904	3.492415	5.61995408014882e-262	3.647350198016584e-259
0	RPL26	34.51402	4.0039196	4.943016128836172e-261	3.0297942749694156e-258
0	RPS23	34.407593	3.8361971	1.9413554894493112e-259	1.1273144797418027e-256
0	IFITM3	34.332855	3.8052952	2.53882154354033e-258	1.4005409044940232e-255
0	RPL10	34.300797	4.1713243	7.635922770984673e-258	4.0117683777273287e-255
0	NPDC1	34.033123	8.335079	7.212961265160716e-254	3.6173000744780996e-251
0	MGP	33.97206	4.353217	5.762212659330223e-253	2.764108359582189e-250
0	RPS18	33.953953	4.1878905	1.0664657676930915e-252	4.902632006232449e-250
0	RPL13	33.834145	4.0576315	6.2091994322932636e-251	2.740243893459663e-248
0	CRIP2	33.523403	6.0617523	2.1982723097737811e-246	8.982791997679307e-244
0	RPL41	33.425457	4.5417886	5.852034588574321e-245	2.3059106291335886e-242
0	RPL36	33.15241	3.7403245	5.228459004819828e-241	1.9891582137992124e-238
0	S100A10	33.117268	3.9099703	1.6769859869521442e-240	6.167395464681002e-238
0	EPAS1	33.110123	5.2039943	2.124878993626614e-240	7.562512882800785e-238
0	RPS15	32.92276	3.8970895	1.0383853610862504e-237	3.580158027770188e-235
0	RPL18	32.89851	3.910485	2.30837377661754e-237	7.717662993157975e-235
0	RPL24	32.8689	3.6105556	6.11701243833267e-237	1.9849705362389516e-234
0	RPLP1	32.617477	3.8174284	2.3183909803776536e-233	7.308230767573329e-231
0	RPL8	32.55163	3.648217	1.985663814865272e-232	6.085508019280151e-230
0	IL6ST	32.302242	4.6489887	6.505609825394868e-229	1.9399025190157186e-226
0	RPL35	32.27034	3.9025526	1.824175707410224e-228	5.2963501525939474e-226
0	RPS24	32.229076	3.4123623	6.911141346234768e-228	1.955144165974569e-225
0	TM4SF1	32.225563	6.78051	7.740234473028901e-228	2.1349501735231966e-225
0	RPL9	32.20828	3.6501956	1.3516039281373277e-227	3.637133204668082e-225
0	SRP14	32.18524	3.4963107	2.8396088613200416e-227	7.459382039748576e-225
0	RPL7A	32.134716	3.451637	1.4441428523438131e-226	3.7054018813742533e-224
0	RPL29	32.057194	3.5474524	1.7428526948033708e-225	4.370203132219453e-223
0	RPL12	31.948866	3.6022155	5.602174772135067e-224	1.3735287613548045e-221
0	RPL18A	31.735662	3.938783	5.007646542223376e-221	1.2010731369641414e-218
0	RPS3A	31.616621	3.7156053	2.1821812109234485e-219	5.122554319174129e-217
0	RPL28	31.526402	3.743137	3.776938427854769e-218	8.68145034885868e-216
0	RPL32	31.520496	3.4513674	4.550682708605552e-218	1.0246465780417358e-215
