resolution	n_clusters	silhouette	modularity
0.1	8	0.09828019142150879	0.8301143967813361
0.2	14	0.02056417055428028	0.8552319162671794
0.3	18	0.034097570925951004	0.8783791370988481
0.4	22	0.06296903640031815	0.8963128526265829
0.5	23	0.04708370938897133	0.8963947382587294
0.6	26	0.028400501236319542	0.8965434280769065
0.7	28	0.03191789984703064	0.8976494020011212
0.8	29	0.05976929888129234	0.9003314454874168
0.9	31	0.04670390486717224	0.9015165615524575
1.0	33	0.048932213336229324	0.9027503633826679
1.1	36	0.05052566155791283	0.9027913752922576
1.2	37	0.045957352966070175	0.9028807890189627
1.3	39	0.02414383552968502	0.9021935178566781
1.4	40	0.051683202385902405	0.9020136459521116
1.5	41	0.04001842066645622	0.9019429462770503
1.6	44	0.041468434035778046	0.9015404233534439
1.7	49	0.04199305549263954	0.9000948049061338
1.8	49	0.04588450491428375	0.8992825033672301
1.9	53	0.04152938723564148	0.8989037273271967
2.0	54	0.04338172450661659	0.8984154892783007
