resolution	n_clusters	silhouette	modularity
0.1	5	0.08193714916706085	0.6784072423234572
0.2	8	0.09772690385580063	0.7367945958303678
0.3	10	0.09449439495801926	0.7394453572364231
0.4	12	0.07780349999666214	0.7753338695142814
0.5	13	0.0692109763622284	0.801203589022905
0.6	14	0.06518866866827011	0.8157014495426641
0.7	15	0.06528813391923904	0.8198438796004246
0.8	16	0.06153314188122749	0.8249423922864406
0.9	17	0.06463935226202011	0.8251286931667247
1.0	20	0.06788165122270584	0.8270341901291758
1.1	21	0.06317782402038574	0.8265934712212747
1.2	21	0.06400085240602493	0.826832502145297
1.3	24	0.0638628900051117	0.8269728816381572
1.4	25	0.06266358494758606	0.8231015259926232
1.5	26	0.06639236211776733	0.8236718348201649
1.6	26	0.06873732805252075	0.8249096212052843
1.7	27	0.0759846568107605	0.8263098909362749
1.8	28	0.0725039392709732	0.8237105103712236
1.9	29	0.07240790128707886	0.8237714581279817
2.0	33	0.07155732810497284	0.8218391603970171
