resolution	n_clusters	silhouette	modularity
0.1	14	0.006555821280926466	0.786276002729689
0.2	22	0.02403808943927288	0.8594870881174702
0.3	29	0.04444555565714836	0.8891363825480186
0.4	35	0.05103059113025665	0.8972719433934668
0.5	41	0.06807597726583481	0.9029330457310621
0.6	45	0.07206312566995621	0.9058265879114662
0.7	48	0.07856432348489761	0.9064630034471582
0.8	50	0.07449199259281158	0.9065782720132874
0.9	51	0.0800146833062172	0.906623540838982
1.0	52	0.08093373477458954	0.9066367301823781
1.1	56	0.07005748897790909	0.9061647836319432
1.2	60	0.0659225806593895	0.9062719394777373
1.3	61	0.06915245205163956	0.9061102413084737
1.4	63	0.06922440230846405	0.905731597151844
1.5	63	0.07298344373703003	0.905791539252505
1.6	65	0.06579133123159409	0.9057415038173426
1.7	68	0.06802744418382645	0.9055949142429711
1.8	68	0.06832289695739746	0.9051207402434691
1.9	70	0.06970036029815674	0.9055494132946202
2.0	69	0.07238636910915375	0.9052135448645995
