resolution	n_clusters	silhouette	modularity
0.1	8	0.12055617570877075	0.7759077392062668
0.2	12	0.11999350786209106	0.8601216040221833
0.3	14	0.12565717101097107	0.8610461033841755
0.4	14	0.12243755906820297	0.8617350755996982
0.5	16	0.11713789403438568	0.8658882911632086
0.6	17	0.10563833266496658	0.8739589671174027
0.7	19	0.10107091069221497	0.8791470152930723
0.8	23	0.1026311069726944	0.8815913945554318
0.9	25	0.11111683398485184	0.8834616331044749
1.0	28	0.09862644970417023	0.8836089680563094
1.1	28	0.09897425025701523	0.8842448173879807
1.2	30	0.09393411874771118	0.8837835964067455
1.3	33	0.08822175115346909	0.8833991346407629
1.4	36	0.08735638111829758	0.8827090642532154
1.5	37	0.08583026379346848	0.8824305014117175
1.6	37	0.0883178785443306	0.8827760068344987
1.7	37	0.08816005289554596	0.8826362324580507
1.8	38	0.08679451048374176	0.8817539114918556
1.9	39	0.08726710826158524	0.880920489769603
2.0	40	0.09108675271272659	0.8799212676379206
