resolution	n_clusters	silhouette	modularity
0.1	5	0.2750368860776186	0.7044956474442962
0.2	5	0.27279620311811914	0.7054713531319765
0.3	6	0.2128385760456239	0.7185886800989502
0.4	6	0.19621346162633369	0.7432070852215029
0.5	7	0.15784368103423588	0.7580746433232404
0.6	8	0.14381355019922076	0.7709403975324118
0.7	8	0.15839804926237397	0.7659556487597634
0.8	11	0.13166523082770243	0.7862684237439692
0.9	13	0.11338317474982387	0.7902687917521027
1.0	15	0.11734806955503141	0.791657479718623
1.1	14	0.11994400039087633	0.7951425383536715
1.2	14	0.11566156593901127	0.7939055163015176
1.3	16	0.11708377158520211	0.791166827156006
1.4	18	0.11424517429608301	0.7906687486478091
1.5	19	0.10966193369555663	0.791554173269143
1.6	20	0.11045098767390207	0.7897158334510317
1.7	20	0.1125137727751142	0.7881120890976099
1.8	20	0.10446663443499508	0.7834888046472142
1.9	23	0.08723032690684643	0.7733514258069639
2.0	23	0.09270756539847536	0.7765622369950244
