resolution	n_clusters	silhouette	modularity
0.1	5	0.10185994952917099	0.7352344302645624
0.2	8	0.0988101065158844	0.8232718335757943
0.3	9	0.08593300729990005	0.8234761565806805
0.4	10	0.0861431285738945	0.8241971853286729
0.5	12	0.0968203991651535	0.8332741804607136
0.6	13	0.08355028927326202	0.845039663883168
0.7	17	0.08370193839073181	0.846593020712215
0.8	19	0.09470728039741516	0.8534357732973437
0.9	21	0.10400114953517914	0.8541032408414675
1.0	20	0.10220178216695786	0.8544814970468614
1.1	23	0.10120028257369995	0.8548519776517115
1.2	23	0.09586114436388016	0.8551947607626951
1.3	24	0.0909343957901001	0.8542602826784391
1.4	27	0.06609436124563217	0.851708415617901
1.5	26	0.08667019754648209	0.8514324467146202
1.6	28	0.0817146822810173	0.8486806854853873
1.7	29	0.06492259353399277	0.8490220583313217
1.8	28	0.08628145605325699	0.846507129497298
1.9	31	0.06959936767816544	0.840009226939206
2.0	35	0.07308687269687653	0.8397371072169205
