gene	cell_type	comparison	log2FC	padj	baseMean	direction	pain_categories	significant
ANGPT1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.6814493220702694	0.9995069120196622	110.5156455268962	UP	Neovascularization	False
ANGPT2	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.4073472387124245	0.9995069120196622	30.161170440002525	UP	Neovascularization	False
BDKRB2	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.1867128224914269	0.9995069120196622	27.85011355247336	UP	Inflammatory_pain	False
CCL2	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.5389172566926888	0.9995069120196622	261.9802104523489	UP	Inflammatory_pain	False
CXCL8	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.84293921955821	0.9995069120196622	4902.898598327495	DOWN	Inflammatory_pain	False
FGF2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0041919074264918	0.9995069120196622	3738.2070040687727	DOWN	Neovascularization	False
FLT1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.3271316911890853	0.9995069120196622	839.7981575942799	UP	Neovascularization	False
GAL	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.4440861417940788	0.9995069120196622	18.478928595200163	DOWN	Neuropeptides	False
NGF	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.2695948345444206	0.9995069120196622	657.0968251555263	UP	Neuropeptides; Neurotrophin_signaling	False
NGFR	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.3731818495621317	0.9995069120196622	28.79092799318306	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
NRP2	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.6330727705881827	0.9995069120196622	1970.0912628670387	UP	Nerve_guidance	False
NTN1	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.4205047163011181	0.9995069120196622	77.65662129741128	DOWN	Nerve_guidance	False
NTN4	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.1886423999721606	0.9995069120196622	124.71367942907432	DOWN	Nerve_guidance	False
NTRK2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.6421926642432865	0.9995069120196622	619.5220425173138	DOWN	Neurotrophin_receptors; Neurotrophin_signaling	False
P2RX4	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0523644393398513	0.9995069120196622	85.2839305440482	DOWN	Nociception_ion_channels	False
P2RX7	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.1968851021384044	0.9995069120196622	12.547464982588068	DOWN	Nociception_ion_channels	False
PDGFA	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.1037433851136509	0.9995069120196622	367.5229782468268	UP	Neovascularization	False
PDGFB	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0967092028487136	0.9995069120196622	5.270969173800477	DOWN	Neovascularization	False
PLA2G2A	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.4543223467940006	0.9995069120196622	10753.7435627472	UP	Inflammatory_pain	False
PTGES	NP_mature_chondrocyte	healthy_vs_degenerated_all	2.6757820262546894	0.9995069120196622	491.6807668802008	UP	Inflammatory_pain	False
PTGS2	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.0651948987659454	0.9995069120196622	6489.1512281163305	UP	Inflammatory_pain	False
ROBO1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.7961917614686278	0.9995069120196622	141.45540768664424	UP	Nerve_guidance	False
ROBO2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.9500671960549908	0.9995069120196622	38.6055420652676	DOWN	Nerve_guidance	False
SEMA3A	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.238757890728813	0.9995069120196622	1211.240377416839	UP	Nerve_guidance	False
SEMA3E	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.8004952664000352	0.9995069120196622	752.2920877440424	DOWN	Nerve_guidance	False
SLIT3	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.014864302166539	0.9995069120196622	46.13806906646283	UP	Nerve_guidance	False
TNF	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0645829293237088	0.9995069120196622	34.43474154612025	DOWN	Inflammatory_pain	False
TRPV1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.4793074338784715	0.9995069120196622	28.32916157222725	UP	Nociception_ion_channels	False
TRPV4	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.4369904063497628	0.9995069120196622	691.405697501205	UP	Nociception_ion_channels	False
UNC5B	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.3457934131829478	0.9995069120196622	412.854322952452	UP	Nerve_guidance	False
VEGFA	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.8255253084226414	0.9995069120196622	5454.509708567227	UP	Neovascularization	False
VEGFB	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.4136415783836108	0.9995069120196622	726.7415126495956	DOWN	Neovascularization	False
ANGPT1	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.6723826274324305	0.8004006135611197	189.1977546761845	DOWN	Neovascularization	False
ANGPT2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.7284280215270388	0.8203409907332984	70.04563570650653	UP	Neovascularization	False
BDKRB2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.0210563369511006	0.9953172688025697	43.65092782469362	UP	Inflammatory_pain	False
CCL2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.044987737579343	0.9923460956166484	764.6791127728366	UP	Inflammatory_pain	False
CXCL8	NP_fibrocartilaginous	healthy_vs_degenerated_all	-1.4803180524525987	0.6279943641120854	858.281044857702	DOWN	Inflammatory_pain	False
FGF2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.4881988272365639	0.7173155502643391	549.8447136353494	UP	Neovascularization	False
FLT1	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.408445900483026	0.8902105340282832	97.2412191625329	DOWN	Neovascularization	False
GAL	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.2803936175244985	0.9570004020445738	6.838523209159052	UP	Neuropeptides	False
NGF	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.1838565270978246	0.9477121187970524	128.4365714044494	DOWN	Neuropeptides; Neurotrophin_signaling	False
NGFR	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.5159639808178664	0.945096725277749	24.54333929417629	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
NRP2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.4482144126514859	0.7719567319259203	1024.6783372465568	UP	Nerve_guidance	False
NTN1	NP_fibrocartilaginous	healthy_vs_degenerated_all	1.8747409918032607	0.3534379369355129	96.35353020477692	UP	Nerve_guidance	False
NTN4	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.7644100429482307	0.6076551530820591	266.12881966751854	UP	Nerve_guidance	False
NTRK2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.660304293045515	0.8016185265045377	203.87310085285077	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
P2RX4	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.4560082517666958	0.7261552288483232	93.37789332773684	DOWN	Nociception_ion_channels	False
P2RX7	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.3690827697813613	0.8619975711915102	14.430693335914071	DOWN	Nociception_ion_channels	False
PDGFA	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.6843864847215374	0.669535589346566	276.1574335413242	UP	Neovascularization	False
PDGFB	NP_fibrocartilaginous	healthy_vs_degenerated_all	-1.981369413107472	0.6460771103358631	7.994983124387741	DOWN	Neovascularization	False
PLA2G2A	NP_fibrocartilaginous	healthy_vs_degenerated_all	3.910542095821066	0.1238329396338393	2121.1150256089613	UP	Inflammatory_pain	False
PTGES	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.0021483397167468	0.9998150373160116	283.63100232487847	UP	Inflammatory_pain	False
PTGS2	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.0871983876829344	0.9797018651213452	1311.566068453833	UP	Inflammatory_pain	False
ROBO1	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.7575370500618986	0.5034010741960179	127.88203939577888	UP	Nerve_guidance	False
ROBO2	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.2800670179940945	0.9340634232820704	27.39168189186593	DOWN	Nerve_guidance	False
SEMA3A	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.4030931027083963	0.8790933660009387	316.31186894891084	DOWN	Nerve_guidance	False
SEMA3E	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.0527382713670098	0.9856447618339212	223.2164972615746	UP	Nerve_guidance	False
SLIT3	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.3170081937184808	0.9222718468659064	135.96011664585797	DOWN	Nerve_guidance	False
TNF	NP_fibrocartilaginous	healthy_vs_degenerated_all	0.5577400969196622	0.919951944194054	16.586540066152264	UP	Inflammatory_pain	False
TRPV1	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.1616732694441867	0.9243559931023234	9.49600104852057	DOWN	Nociception_ion_channels	False
TRPV4	NP_fibrocartilaginous	healthy_vs_degenerated_all	-0.4733541309023919	0.863081260619558	133.9033968477073	DOWN	Nociception_ion_channels	False
