cell_type	comparison	tf	activity	pvalue	n_targets	n_de_targets	concordant_up	concordant_down	padj
AF_inner	healthy_vs_degenerated_all	MYC	0.006385696040868455	0.03681079672549726	783	5	5	0	0.1736188192564281
AF_inner	healthy_vs_degenerated_all	SPI1	0.011857707509881422	0.022068707753527105	253	3	3	0	0.1276702101443717
AF_inner	healthy_vs_degenerated_all	SMAD3	0.0	0.04773830253622362	147	2	1	1	0.20225544275482815
AF_inner	healthy_vs_degenerated_all	SMAD4	-0.009174311926605505	0.22958487039350278	109	1	0	1	0.5952200343535258
AF_inner	healthy_vs_degenerated_all	STAT5A	0.017857142857142856	4.5905466434733267e-05	168	5	4	1	0.0020083641565195806
AF_inner	healthy_vs_degenerated_all	STAT5B	0.024096385542168676	0.016641394996826327	83	2	2	0	0.10734577244766286
AF_inner	healthy_vs_degenerated_all	RELA	0.020454545454545454	6.64601028048679e-07	440	9	9	0	7.753678660567922e-05
AF_inner	healthy_vs_degenerated_all	WT1	0.015625	0.037185207686153805	128	2	2	0	0.1736188192564281
AF_inner	healthy_vs_degenerated_all	NR0B2	0.01098901098901099	0.19557431298774416	91	1	1	0	0.51466924470459
AF_inner	healthy_vs_degenerated_all	SP1	0.005698005698005698	3.3494223373171004e-06	1053	12	9	3	0.00018035351047092078
AF_inner	healthy_vs_degenerated_all	TP53	0.0011806375442739079	2.742999644892132e-06	847	11	6	5	0.00017455452285677203
AF_inner	healthy_vs_degenerated_all	ZBTB16	0.046511627906976744	0.00468710815467587	43	2	2	0	0.052914899831791644
AF_inner	healthy_vs_degenerated_all	ETV6	0.045454545454545456	0.05114173338229226	22	1	1	0	0.20225544275482815
AF_inner	healthy_vs_degenerated_all	RUNX1	0.0	0.05067845682322815	152	2	1	1	0.20225544275482815
AF_inner	healthy_vs_degenerated_all	STAT1	0.016194331983805668	0.002728079977827076	247	4	4	0	0.03540645693514779
AF_inner	healthy_vs_degenerated_all	STAT3	0.005747126436781609	0.00015646412315845914	348	6	4	2	0.0052154707719486385
AF_inner	healthy_vs_degenerated_all	ETV4	0.03571428571428571	0.00783984033183819	56	2	2	0	0.07147913972779509
AF_inner	healthy_vs_degenerated_all	MTF1	-0.034482758620689655	0.06687367974589215	29	1	0	1	0.23523404935740957
AF_inner	healthy_vs_degenerated_all	CREB1	0.022535211267605635	6.885365048872476e-09	355	10	9	1	4.819755534210733e-06
AF_inner	healthy_vs_degenerated_all	FOXA2	0.0	1.0	78	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	NFATC2	0.04918032786885246	0.00040699169541696056	61	3	3	0	0.009496472893062413
AF_inner	healthy_vs_degenerated_all	CEBPB	0.008426966292134831	0.052271973747320746	356	3	3	0	0.20540327611689327
AF_inner	healthy_vs_degenerated_all	FOS	0.0196078431372549	0.0003250819072633256	255	5	5	0	0.00863489775413796
AF_inner	healthy_vs_degenerated_all	PLAG1	0.0	1.0	8	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	E2F1	0.006896551724137931	0.004837933698906664	290	4	3	1	0.052914899831791644
AF_inner	healthy_vs_degenerated_all	E2F3	0.014925373134328358	0.1479467423818033	67	1	1	0	0.4061283124206365
AF_inner	healthy_vs_degenerated_all	HBP1	0.05128205128205128	0.0038693026342842014	39	2	2	0	0.045906980406761715
AF_inner	healthy_vs_degenerated_all	YY1	0.005050505050505051	0.011525187101187861	198	3	2	1	0.09537316127331569
AF_inner	healthy_vs_degenerated_all	ESR1	0.009784735812133072	2.2972913089358145e-06	511	9	7	2	0.000160810391625507
AF_inner	healthy_vs_degenerated_all	JUN	0.010040160642570281	1.8579898906266288e-06	498	9	7	2	0.00014451032482651558
AF_inner	healthy_vs_degenerated_all	NR1I3	0.024390243902439025	0.09325423939712549	41	1	1	0	0.2967180344453993
AF_inner	healthy_vs_degenerated_all	CEBPG	0.013605442176870748	0.04773830253622362	147	2	2	0	0.20225544275482815
AF_inner	healthy_vs_degenerated_all	MAFK	0.0	1.0	21	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	NFE2L3	0.0	1.0	6	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	PHOX2A	0.0	1.0	8	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	STAT4	0.0	1.0	21	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	IRF1	0.03125	0.00023525883823086353	128	4	4	0	0.0072857201238524264
AF_inner	healthy_vs_degenerated_all	ATF2	0.020202020202020204	0.023165740998818667	99	2	2	0	0.13291818605879563
AF_inner	healthy_vs_degenerated_all	NR2C2	0.0	1.0	50	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	IRF3	0.016666666666666666	0.1335460183849872	60	1	1	0	0.3769444067318187
AF_inner	healthy_vs_degenerated_all	TFAP2A	0.02	0.0002967437962980104	250	5	5	0	0.008308826296344291
AF_inner	healthy_vs_degenerated_all	HNF1A	0.013513513513513514	0.16211448600985284	74	1	1	0	0.4364620777188346
AF_inner	healthy_vs_degenerated_all	ETS1	0.011627906976744186	0.06306332580987592	172	2	2	0	0.22638116957391358
AF_inner	healthy_vs_degenerated_all	ARNT	0.03389830508474576	0.008671479867999692	59	2	2	0	0.07675918288009992
AF_inner	healthy_vs_degenerated_all	AHR	-0.006944444444444444	0.004812506002815662	144	3	1	2	0.052914899831791644
AF_inner	healthy_vs_degenerated_all	PAX6	0.0	0.030570297410916797	115	2	1	1	0.15851265324179079
AF_inner	healthy_vs_degenerated_all	NFYA	0.012195121951219513	0.0009676476073524126	82	3	2	1	0.018306846625586185
AF_inner	healthy_vs_degenerated_all	ZNF148	0.0	1.0	23	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	NFIC	0.015384615384615385	0.14385618506239567	65	1	1	0	0.3996005140622102
AF_inner	healthy_vs_degenerated_all	RBPJ	0.02702702702702703	0.0023114997738988567	111	3	3	0	0.03302142534141224
AF_inner	healthy_vs_degenerated_all	HES1	0.0	1.0	71	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	GATA4	0.01098901098901099	0.0013080137301448573	91	3	2	1	0.021293246769800003
AF_inner	healthy_vs_degenerated_all	GATA6	0.01694915254237288	0.0003688329174448171	59	3	2	1	0.009220822936120428
AF_inner	healthy_vs_degenerated_all	HNF4A	0.005291005291005291	0.364557914467618	189	1	1	0	0.9279656004630276
AF_inner	healthy_vs_degenerated_all	RXRG	0.0	1.0	6	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	RARA	-0.020833333333333332	0.004812506002815662	144	3	0	3	0.052914899831791644
AF_inner	healthy_vs_degenerated_all	DBP	0.0	1.0	24	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	HLF	0.07142857142857142	0.032846275813973154	14	1	1	0	0.16526669624060364
AF_inner	healthy_vs_degenerated_all	PPARG	-0.0034129692832764505	0.032188182680887266	293	3	1	2	0.16526669624060364
AF_inner	healthy_vs_degenerated_all	MAX	0.0	1.0	44	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	USF2	0.023255813953488372	0.017794247011615374	86	2	2	0	0.11022984874452002
AF_inner	healthy_vs_degenerated_all	IRF2	-0.020833333333333332	0.1083062730287705	48	1	0	1	0.3253836528761345
AF_inner	healthy_vs_degenerated_all	SP3	0.0	0.008772478043439991	344	4	2	2	0.07675918288009992
AF_inner	healthy_vs_degenerated_all	AR	0.0	0.017614299485512804	423	4	2	2	0.11008937178445502
AF_inner	healthy_vs_degenerated_all	CUX1	0.010869565217391304	0.1975015177546086	92	1	1	0	0.5177942413042174
AF_inner	healthy_vs_degenerated_all	ATF1	0.02857142857142857	0.01204043772561774	70	2	2	0	0.0957762091810502
AF_inner	healthy_vs_degenerated_all	KAT7	0.03076923076923077	0.010447744287163283	65	2	2	0	0.09028914816067034
AF_inner	healthy_vs_degenerated_all	CREBZF	0.0	1.0	12	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	GLI3	0.0	1.0	35	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	NKX2-5	0.019230769230769232	0.11679798738216987	52	1	1	0	0.34643470833694456
AF_inner	healthy_vs_degenerated_all	TGFB1I1	0.0	1.0	12	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	RARB	-0.044444444444444446	0.005123353812199299	45	2	0	2	0.05517457951599245
AF_inner	healthy_vs_degenerated_all	RARG	0.0	1.0	33	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	TEAD1	0.0625	0.037452059582458064	16	1	1	0	0.1736188192564281
AF_inner	healthy_vs_degenerated_all	PPARA	0.0	0.001511024949439336	210	4	2	2	0.023504832546834116
AF_inner	healthy_vs_degenerated_all	ESR2	0.005847953216374269	0.007738133881597025	171	3	2	1	0.07147913972779509
AF_inner	healthy_vs_degenerated_all	NR3C1	0.004608294930875576	0.014731030607476768	217	3	2	1	0.10311721425233737
AF_inner	healthy_vs_degenerated_all	PGR	-0.017857142857142856	0.0001407364898495883	112	4	1	3	0.004925777144735591
AF_inner	healthy_vs_degenerated_all	NRG1	0.03225806451612903	0.07132171179128925	31	1	1	0	0.24353755245806086
AF_inner	healthy_vs_degenerated_all	TBP	0.008	0.25863882770694535	125	1	1	0	0.6656146301281682
AF_inner	healthy_vs_degenerated_all	REL	0.0	1.0	83	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	ISL1	0.0	1.0	23	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	ZBTB14	0.0	1.0	6	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	MYB	0.013986013986013986	0.04543370106280935	143	2	2	0	0.1975378307078667
AF_inner	healthy_vs_degenerated_all	PITX1	0.0	1.0	26	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	EGR1	0.013029315960912053	4.97968238764173e-07	307	8	6	2	6.971555342698422e-05
AF_inner	healthy_vs_degenerated_all	MYOD1	0.017857142857142856	0.029118235653363748	112	2	2	0	0.15441488604056533
AF_inner	healthy_vs_degenerated_all	ETS2	0.0	1.0	87	0	0	0	1.0
AF_inner	healthy_vs_degenerated_all	GTF2I	0.0	1.0	20	0	0	0	1.0
