accession	n_samples	cells_raw_total	cells_after_qc	retention_pct	genes_raw	genes_after_qc	n_hvgs	n_pcs	n_clusters_working
GSE160756	7	89283	89283	100.0	26416	26416	3000	50	18
GSE165722	8	37978	37978	100.0	13900	13900	3000	50	18
GSE189916	6	22009	19658	89.31800627016221	27516	27516	3000	50	12
GSE199866	4	14001	13896	99.25005356760231	21167	21167	3000	50	8
GSE205535	2	10173	10121	99.4888430158262	15902	15902	3000	50	12
CNP0002664	6	31103	29609	95.19660482911615	16274	16274	3000	50	11
GSE233666	4	18864	18451	97.81064461407973	26694	26694	3000	50	13
GSE244889	7	51519	51519	100.0	28183	28183	3000	50	20
GSE251686	5	36962	36415	98.52010172609708	19503	19503	3000	50	14
GSE255768	2	9051	8886	98.17699701690421	19181	19181	3000	50	11
GSE230809	24	110556	105804	95.70172582220775	28043	28043	3000	50	21
GSE242443	2	14938	14938	100.0	27080	27080	3000	50	8
