gene	cell_type	comparison	log2FC	padj	baseMean	direction	pain_categories	significant
ANGPT1	Endothelial cells	healthy_vs_degenerated_all	-1.2996368223510957	0.9999454704999576	9.02340714634463	DOWN	Neovascularization	False
ANGPT2	Endothelial cells	healthy_vs_degenerated_all	-1.8116617009001896	0.2617099674418552	32.708564672604744	DOWN	Neovascularization	False
ASIC3	Endothelial cells	healthy_vs_degenerated_all	0.5179601082224061		0.0701858663545572	UP	Nociception_ion_channels	False
BDKRB2	Endothelial cells	healthy_vs_degenerated_all	0.9502521567728988	0.9999454704999576	12.351099506463198	UP	Inflammatory_pain	False
BDNF	Endothelial cells	healthy_vs_degenerated_all	-1.274636347432538		0.4119666037122039	DOWN	Neuropeptides; Neurotrophin_signaling	False
CCL2	Endothelial cells	healthy_vs_degenerated_all	0.3134141879643648	0.9999454704999576	230.3435001893756	UP	Inflammatory_pain	False
CXCL8	Endothelial cells	healthy_vs_degenerated_all	0.065750293313355	0.9999454704999576	36.71953663715573	UP	Inflammatory_pain	False
FGF2	Endothelial cells	healthy_vs_degenerated_all	-0.6386200399910188	0.9999454704999576	20.405674004959383	DOWN	Neovascularization	False
FLT1	Endothelial cells	healthy_vs_degenerated_all	0.2647497321819119	0.9999454704999576	313.5479494236118	UP	Neovascularization	False
GAL	Endothelial cells	healthy_vs_degenerated_all	0.1257926997749676		0.1851202212349339	UP	Neuropeptides	False
NGF	Endothelial cells	healthy_vs_degenerated_all	-1.7373077834037918		6.806468127859877	DOWN	Neuropeptides; Neurotrophin_signaling	False
NGFR	Endothelial cells	healthy_vs_degenerated_all	0.8916790882961543		3.752734433865073	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
NRP1	Endothelial cells	healthy_vs_degenerated_all	-0.1962525185581151	0.9999454704999576	165.14267192540146	DOWN	Nerve_guidance	False
NRP2	Endothelial cells	healthy_vs_degenerated_all	-0.5560863466127449	0.9999454704999576	84.47272033190511	DOWN	Nerve_guidance	False
NTN1	Endothelial cells	healthy_vs_degenerated_all	0.3594379094545576		0.9051622031467146	UP	Nerve_guidance	False
NTN4	Endothelial cells	healthy_vs_degenerated_all	0.3623884353440167	0.9999454704999576	28.60323896135153	UP	Nerve_guidance	False
NTRK2	Endothelial cells	healthy_vs_degenerated_all	0.4161272824913031	0.9999454704999576	31.849697936866846	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
P2RX4	Endothelial cells	healthy_vs_degenerated_all	-1.551023719044326		6.311674943187667	DOWN	Nociception_ion_channels	False
P2RX7	Endothelial cells	healthy_vs_degenerated_all	0.2631394635221362		3.4511337781640656	UP	Nociception_ion_channels	False
PDGFA	Endothelial cells	healthy_vs_degenerated_all	-0.6445074155147691	0.9999454704999576	72.25924437855414	DOWN	Neovascularization	False
