gene	rho	pvalue	padj	program
PRELP	-0.7807242514500391	0.0	0.0	late_down
FTH1	0.7304518228666635	0.0	0.0	late_up
FGFBP2	-0.7011761077406626	0.0	0.0	late_down
FMOD	-0.6994534991686073	0.0	0.0	late_down
COMP	-0.6853559441217911	0.0	0.0	late_down
SERPINA1	-0.6731578687153255	0.0	0.0	late_down
FOSB	-0.6727097623394505	0.0	0.0	late_down
RNASEK	0.6725136677518403	0.0	0.0	late_up
ACAN	-0.6490661474055621	0.0	0.0	late_down
SCRG1	-0.6397784037146962	0.0	0.0	late_down
KLF4	-0.6388447229149421	0.0	0.0	late_down
GABARAP	0.6192659308407239	0.0	0.0	late_up
OGN	-0.6094708677811983	0.0	0.0	late_down
TMSB10	0.6083818072265496	0.0	0.0	late_up
RGCC	-0.6064398424692667	0.0	0.0	late_down
TRAPPC5	0.6058182420060367	0.0	0.0	late_up
S100A6	0.6018432146199538	0.0	0.0	late_up
RPL17	0.5980874202426107	0.0	0.0	late_up
HSPA1A	-0.5966708578838813	0.0	0.0	late_down
TMSB4X	0.5960003645290318	0.0	0.0	late_up
HSPA1B	-0.592939772387047	0.0	0.0	late_down
PRSS23	0.5924560287022104	0.0	0.0	late_up
DNAJB1	-0.5890685399673188	0.0	0.0	late_down
ATF3	-0.587784633085287	0.0	0.0	late_down
CLEC3A	-0.586972265786408	0.0	0.0	late_down
S100B	-0.5812576069582942	0.0	0.0	late_down
FTL	0.5799529243923668	0.0	0.0	late_up
MRPS24	0.5747350979857268	0.0	0.0	late_up
CD63	0.569787153961283	0.0	0.0	late_up
MT1X	-0.5686608500882957	0.0	0.0	late_down
CHAD	-0.5672696624025547	0.0	0.0	late_down
MGST1	0.5603571288438206	0.0	0.0	late_up
LGALS1	0.5596878534005192	0.0	0.0	late_up
FXYD6	-0.5582720078077826	0.0	0.0	late_down
SOX9	-0.5513641146711993	0.0	0.0	late_down
UBE2V1	0.5454456363615529	0.0	0.0	late_up
DCN	-0.5452060837379332	0.0	0.0	late_down
GPX4	0.543398302407689	0.0	0.0	late_up
AP2S1	0.5391701556893891	0.0	0.0	late_up
CAMK2N1	0.5389034663070598	0.0	0.0	late_up
FOS	-0.5376834955767705	0.0	0.0	late_down
BGN	-0.5368377737375515	0.0	0.0	late_down
PPP1R14B	0.5356594518887666	0.0	0.0	late_up
EIF4A1	0.5339607140727374	0.0	0.0	late_up
PSMA6	0.5332498428550141	0.0	0.0	late_up
RPS27L	0.5293479084939275	0.0	0.0	late_up
SERPINA5	-0.5278528404774345	0.0	0.0	late_down
TPM2	0.5273536329062603	0.0	0.0	late_up
MAP1B	0.5253756561303807	0.0	0.0	late_up
ARPC1B	0.5249039510440855	0.0	0.0	late_up
CLU	-0.5231839837579899	0.0	0.0	late_down
THY1	0.5229984823194667	0.0	0.0	late_up
EGR1	-0.522755011702658	0.0	0.0	late_down
MYL12A	0.5204656753545561	0.0	0.0	late_up
BRI3	0.5192044063243696	0.0	0.0	late_up
MT1G	-0.5165010912706756	0.0	0.0	late_down
CD59	0.5157767862974707	0.0	0.0	late_up
LIMA1	0.5149125390465116	0.0	0.0	late_up
PLIN2	0.5146231483652184	0.0	0.0	late_up
MGP	-0.509998910336482	0.0	0.0	late_down
RHOB	-0.508267917545731	0.0	0.0	late_down
BASP1	0.5074252893483486	0.0	0.0	late_up
CALD1	0.5058516976971366	0.0	0.0	late_up
BTG1	-0.5048977900528273	0.0	0.0	late_down
GADD45B	-0.502861712960442	0.0	0.0	late_down
NDUFA13	0.5025604976145276	0.0	0.0	late_up
C12orf75	0.49717896932654226	0.0	0.0	late_up
MGST3	0.49307129456815524	0.0	0.0	late_up
ITGB1	0.49249737830601653	0.0	0.0	late_up
COL9A3	-0.4901733095406454	0.0	0.0	late_down
MARCKS	0.4897324073559448	0.0	0.0	late_up
BAX	0.4891081638947357	0.0	0.0	late_up
COL11A2	-0.48861843106624236	0.0	0.0	late_down
PDLIM2	0.48742961890994035	0.0	0.0	late_up
CILP	-0.4847430486608272	0.0	0.0	late_down
CD151	0.48364829858998404	0.0	0.0	late_up
PFN1	0.48332377456065884	0.0	0.0	late_up
IGFBP4	0.4817600834444825	0.0	0.0	late_up
C11orf96	-0.48171090740498296	0.0	0.0	late_down
PMEPA1	-0.48101313389794964	0.0	0.0	late_down
HOMER3	0.48001383929877994	0.0	0.0	late_up
CSTB	0.47930612304343917	0.0	0.0	late_up
GYPC	0.479161332509783	0.0	0.0	late_up
TOMM5	0.4779029068269125	0.0	0.0	late_up
MGAT4B	0.4767958006428441	0.0	0.0	late_up
ATP6V0E1	0.47676028434891904	0.0	0.0	late_up
HINT1	0.4750589080583348	0.0	0.0	late_up
LOXL1	0.4745722148434286	0.0	0.0	late_up
TRAPPC1	0.47439570379661194	0.0	0.0	late_up
POLR2L	0.4735496101115297	0.0	0.0	late_up
LMO7	0.4716885812997094	0.0	0.0	late_up
MIA	-0.469428307382741	0.0	0.0	late_down
CTSA	0.46848382994999355	0.0	0.0	late_up
WWP2	-0.4672488687749641	0.0	0.0	late_down
HSP90AB1	-0.46308880283172466	0.0	0.0	late_down
NR4A1	-0.46176903236450784	0.0	0.0	late_down
GPNMB	0.4610753395706644	0.0	0.0	late_up
PTX3	0.46096287580743783	0.0	0.0	late_up
RGS2	-0.45857787953651186	0.0	0.0	late_down
PSMA2	0.45811890732848465	0.0	0.0	late_up
JUNB	-0.4580242682026566	0.0	0.0	late_down
NDUFS8	0.4576612586629531	0.0	0.0	late_up
TPM1	0.45728149149935204	0.0	0.0	late_up
FLNA	0.4567909143173535	0.0	0.0	late_up
BTG2	-0.4565587999191956	0.0	0.0	late_down
PNRC1	-0.45651909277453423	0.0	0.0	late_down
SLC4A7	0.45627255324277044	0.0	0.0	late_up
EMP1	-0.4557825008575043	0.0	0.0	late_down
DDX5	-0.4547492977128999	0.0	0.0	late_down
PCOLCE2	-0.45416583059593396	0.0	0.0	late_down
RAB13	0.45331597064012397	0.0	0.0	late_up
HAPLN1	-0.45276290243179323	0.0	0.0	late_down
VAMP5	0.4506258093503205	0.0	0.0	late_up
MYOF	0.44991878197293284	0.0	0.0	late_up
LUM	-0.44896182158424147	0.0	0.0	late_down
CLTA	0.4488272925076759	0.0	0.0	late_up
KLF2	-0.4484387400243041	0.0	0.0	late_down
TAF10	0.44748591134802596	0.0	0.0	late_up
NR4A2	-0.44716277950556665	0.0	0.0	late_down
COL9A2	-0.44643301329910234	0.0	0.0	late_down
GPRC5A	-0.44622720378451786	0.0	0.0	late_down
S100A11	0.44520883804255174	0.0	0.0	late_up
BLOC1S1	0.4442084166726877	0.0	0.0	late_up
SERF2	0.444048787065575	0.0	0.0	late_up
COL14A1	0.443444093339129	0.0	0.0	late_up
VIM	0.44342240237170527	0.0	0.0	late_up
RNH1	0.44330011652195545	0.0	0.0	late_up
CTSD	0.4397652278279958	0.0	0.0	late_up
DRAP1	0.43970618674837375	0.0	0.0	late_up
SH3BGRL3	0.4393501539905302	0.0	0.0	late_up
NDUFV2	0.43909721696620235	0.0	0.0	late_up
TSC22D1	-0.43729531171866826	0.0	0.0	late_down
COX16	0.4369334954836059	0.0	0.0	late_up
KRTCAP2	0.4358855655071714	0.0	0.0	late_up
SKIL	-0.4357115016533399	0.0	0.0	late_down
SQSTM1	0.43456436130980625	0.0	0.0	late_up
C17orf49	0.4342219672105957	0.0	0.0	late_up
F13A1	-0.43231490621055785	0.0	0.0	late_down
RAD50	0.4317646011973667	0.0	0.0	late_up
MRPL14	0.4314449701400503	0.0	0.0	late_up
NQO1	0.4311990356872352	0.0	0.0	late_up
ARHGAP29	0.43066564418979575	0.0	0.0	late_up
PERP	0.4302855566655745	0.0	0.0	late_up
COL11A1	-0.42861131922408424	0.0	0.0	late_down
RAB32	0.4264940425440496	0.0	0.0	late_up
AP1S1	0.4261467616839087	0.0	0.0	late_up
HIGD2A	0.4259613537544876	0.0	0.0	late_up
COTL1	0.425098479896783	0.0	0.0	late_up
GUK1	0.42481169719457024	0.0	0.0	late_up
DNAJA1	-0.4245268711710187	0.0	0.0	late_down
NDUFA4L2	-0.4223220020177488	0.0	0.0	late_down
ABI3BP	-0.4220482850555793	0.0	0.0	late_down
PDE5A	0.421608219494033	0.0	0.0	late_up
MYL6	0.4212842047890018	0.0	0.0	late_up
S100A16	0.4207789419523655	0.0	0.0	late_up
DAB2	0.4197087583274424	0.0	0.0	late_up
UROS	0.41956631352440404	0.0	0.0	late_up
PPP1R15A	-0.41921237141103235	0.0	0.0	late_down
PRDX5	0.4186132746115281	0.0	0.0	late_up
CYP51A1	0.41792638970542356	0.0	0.0	late_up
JUND	-0.41604172187165067	0.0	0.0	late_down
SRP14	0.4152376631416312	0.0	0.0	late_up
GAPDH	0.41478346587078735	0.0	0.0	late_up
TMEM158	0.41422879321597345	0.0	0.0	late_up
CTHRC1	0.41417946028024943	0.0	0.0	late_up
JUN	-0.41350745761703095	0.0	0.0	late_down
CDO1	-0.4127371279708954	0.0	0.0	late_down
TSC22D3	-0.41268692444281546	0.0	0.0	late_down
SMARCE1	0.41259870007835564	0.0	0.0	late_up
RPL31	-0.41257196473648555	0.0	0.0	late_down
ANXA11	0.41226033840223325	0.0	0.0	late_up
BLVRB	0.4121750397550372	0.0	0.0	late_up
APRT	0.4116775211987025	0.0	0.0	late_up
IER5	-0.41044357281919286	0.0	0.0	late_down
NDUFA7	0.4102397526615131	0.0	0.0	late_up
DHCR24	0.40926518459496725	0.0	0.0	late_up
AKR1C3	0.409051028954956	0.0	0.0	late_up
HNRNPA1	-0.40896732660327806	0.0	0.0	late_down
