source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
NP_stressed_degenerative	Memory B cells	CXCL8	CD79A	2.9652689	0.0	8.209085	9.346995036526117	4.286583366231142	0.060936987	0.9145187	1.228290753477566e-06	2.1622492582339166e-06	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	Small pre-B cells	CXCL8	CD79A	2.9261014	0.0	7.916952	9.06407142928282	4.083237896571464	0.058768444	0.9130917	1.4414994309965837e-06	3.917833603463111e-06	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	Naive B cells	CXCL8	CD79A	2.8198793	0.0	7.124685	8.296779397070676	4.0482021782216675	0.052887354	0.9088159	3.7607892602976174e-06	1.1129682649907025e-05	degenerated	True	pain_ligand:CXCL8
Classical monocytes	Memory B cells	CXCL8	CD79A	2.5538423	0.0	6.397785	8.987527674079852	3.0368740373635865	0.047491495	0.90425783	2.1834083964110957e-06	3.132063622516221e-05	degenerated	True	pain_ligand:CXCL8
Macrophages	Memory B cells	CXCL8	CD79A	2.541381	0.0	6.342923	8.976640081674107	2.947760473886914	0.04708425	0.9038844	5.329380663705662e-06	3.3246363520393895e-05	degenerated	True	pain_ligand:CXCL8
Classical monocytes	Small pre-B cells	CXCL8	CD79A	2.514675	0.0	6.1701097	8.704604066836552	2.833528567703908	0.04580143	0.9026778	9.8549916951706e-06	4.448568946441791e-05	degenerated	True	pain_ligand:CXCL8
Macrophages	Small pre-B cells	CXCL8	CD79A	2.5022135	0.0	6.1172	8.693716474430808	2.7444150042272355	0.045408677	0.9022988	1.8825743804265918e-05	5.152459017523318e-05	degenerated	True	pain_ligand:CXCL8
DC	Memory B cells	CXCL8	CD79A	2.4520545	0.0	5.949666	8.898595010990183	2.7114258018183373	0.044165056	0.9010679	2.6719859030243148e-05	7.378321577917458e-05	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	Fibroblasts	PTGS2	CAV1	2.426695	0.0	5.888668	1.2636452372398765	1.8756331905165637	0.035257235	0.90060765	0.004970174920119449	8.904741476812663e-05	degenerated	True	pain_ligand:PTGS2
DC	Small pre-B cells	CXCL8	CD79A	2.412887	0.0	5.7379375	8.615671403746886	2.5080803321586584	0.042593367	0.89944106	6.592859074119031e-05	0.00010115053448042665	degenerated	True	pain_ligand:CXCL8
Classical monocytes	Naive B cells	CXCL8	CD79A	2.4084527	0.0	5.552653	7.93731203462441	2.7984928493541124	0.04121798	0.8979469	1.432813559533981e-05	0.00010458487765911757	degenerated	True	pain_ligand:CXCL8
Macrophages	Naive B cells	CXCL8	CD79A	2.3959913	0.0	5.5050383	7.926424442218666	2.7093792858774397	0.04086453	0.8975516	2.768196370275805e-05	0.00011889421797649707	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	NK cells	PTGS2	CAV1	2.351584	0.0	5.5221047	1.1933853969212873	1.8942469857236042	0.033062506	0.8976939	0.005963467576966869	0.00017319644843204478	degenerated	True	pain_ligand:PTGS2
NP_stressed_degenerative	Fibroblasts	CXCL8	SDC2	2.559362	0.0	5.181594	1.648535233771064	2.522174954566119	0.0324093	0.894734	0.004264944911663773	0.00018069812762109912	degenerated	True	pain_ligand:CXCL8
Classical monocytes	Fibroblasts	PTGS2	CAV1	2.3411088	0.0	5.4755874	1.1888004946670134	1.327289870629904	0.032783996	0.8973047	0.005963467576966869	0.0001868136633734371	degenerated	True	pain_ligand:PTGS2
NP_stressed_degenerative	Endothelial cells	PTGS2	CAV1	2.3167496	0.0	5.352102	1.1608009752220034	1.9137196449821072	0.032044653	0.896249	0.005963467576966869	0.00023764755729898827	degenerated	True	pain_ligand:PTGS2
NP_stressed_degenerative	AF_inner	CXCL8	SDC2	2.5350502	0.0	5.0002623	1.6234096925813117	2.552497672028388	0.031275127	0.89304465	0.005099393866695529	0.0002393887318017153	degenerated	True	pain_ligand:CXCL8
DC	Naive B cells	CXCL8	CD79A	2.306665	0.0	5.163729	7.848379371534743	2.473044613808863	0.038330954	0.89457124	9.028569635874502e-05	0.00026443008993816885	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	NP_mature_chondrocyte	CXCL8	SDC2	2.5113611	0.0	4.823575	1.5989259360422787	2.470950979754719	0.03017	0.8913143	0.005963467576966869	0.0003533196353746402	degenerated	True	pain_ligand:CXCL8
Classical monocytes	NK cells	PTGS2	CAV1	2.265998	0.0	5.1347375	1.1185406543484242	1.3459036658369443	0.030743223	0.89430547	0.005963467576966869	0.0003813819944689334	degenerated	True	pain_ligand:PTGS2
Classical monocytes	Endothelial cells	PTGS2	CAV1	2.2311635	0.0	4.9766603	1.0859562326491405	1.3653763250954474	0.029796768	0.89281845	0.005963467576966869	0.000517017787852167	degenerated	True	pain_ligand:PTGS2
NP_stressed_degenerative	AF_mechanical_stress	CXCL8	SDC2	2.4754324	0.0	4.5555983	1.5617927860582033	2.3915573873064537	0.028493885	0.8885147	0.005963467576966869	0.000561436557103035	degenerated	True	pain_ligand:CXCL8
NP_stressed_degenerative	Plasma cells	CXCL8	CD79A	2.475377	0.0	4.555185	5.80828284303901	3.6683940288362775	0.03381366	0.88851017	0.0001266066334081488	0.0005667819703829714	degenerated	True	pain_ligand:CXCL8
Classical monocytes	Fibroblasts	CXCL8	SDC2	2.1479354	0.0	4.0382967	1.2890678713247978	1.2724656256985638	0.025258323	0.8824036	0.005963467576966869	0.0012242800740965394	degenerated	True	pain_ligand:CXCL8
Macrophages	Fibroblasts	CXCL8	SDC2	2.135474	0.0	4.003668	1.278180278919053	1.1833520622218912	0.025041731	0.88195604	0.005963467576966869	0.001291949072409105	degenerated	True	pain_ligand:CXCL8
Classical monocytes	AF_inner	CXCL8	SDC2	2.1236236	0.0	3.8969753	1.2639423301350456	1.3027883431608323	0.024374401	0.88054276	0.005963467576966869	0.001471165644937376	degenerated	True	pain_ligand:CXCL8
