gene	rho	pvalue	padj	program
LGALS1	-0.572581337446544	0.0	0.0	late_down
PRSS23	-0.5381612731098147	0.0	0.0	late_down
RNASEK	-0.5363043768124779	0.0	0.0	late_down
TMSB10	-0.5081208739840765	0.0	0.0	late_down
VIM	-0.5049995600672902	0.0	0.0	late_down
C12orf75	-0.49100330013393084	0.0	0.0	late_down
S100A6	-0.4817624725475411	0.0	0.0	late_down
THY1	-0.4804250863586686	0.0	0.0	late_down
FTH1	-0.4770013998332991	0.0	0.0	late_down
TMSB4X	-0.4742756623015633	0.0	0.0	late_down
TRAPPC5	-0.4668738349092685	0.0	0.0	late_down
MRPS24	-0.4648273558100227	0.0	0.0	late_down
EIF4A1	-0.46282827222233136	0.0	0.0	late_down
MGST1	-0.45913980971042173	0.0	0.0	late_down
RPL17	-0.4581236079671524	0.0	0.0	late_down
CD63	-0.4560668572018447	0.0	0.0	late_down
CAMK2N1	-0.4533792767719672	0.0	0.0	late_down
RPS27L	-0.4490525018626198	0.0	0.0	late_down
CALD1	-0.44876903082313396	0.0	0.0	late_down
ITGB1	-0.4479686158366171	0.0	0.0	late_down
SERPINA1	0.44275529808189223	0.0	0.0	late_up
LIMA1	-0.4427108120269643	0.0	0.0	late_down
ACAN	0.4369230589403106	0.0	0.0	late_up
IGFBP4	-0.4318096744798884	0.0	0.0	late_down
FOSB	0.43155826185684854	0.0	0.0	late_up
FGFBP2	0.4295578652673466	0.0	0.0	late_up
COL1A2	-0.4241619188629568	0.0	0.0	late_down
BTG2	0.4239485399936089	0.0	0.0	late_up
CLEC3A	0.42329916216016394	0.0	0.0	late_up
S100B	0.42302166725292106	0.0	0.0	late_up
GPX4	-0.42181942858279325	0.0	0.0	late_down
LOXL1	-0.42112383000540965	0.0	0.0	late_down
PTX3	-0.42081481245224306	0.0	0.0	late_down
MAP1B	-0.4183427840740131	0.0	0.0	late_down
TPM2	-0.4164308604679326	0.0	0.0	late_down
S100A10	-0.4151361380109625	0.0	0.0	late_down
IGFBP3	-0.41261207298464536	0.0	0.0	late_down
GABARAP	-0.410018916032177	0.0	0.0	late_down
COL12A1	-0.4074911762638061	0.0	0.0	late_down
ANXA2	-0.40508158337586314	0.0	0.0	late_down
TPM1	-0.40440734576659465	0.0	0.0	late_down
SERF2	-0.4040195240357881	0.0	0.0	late_down
RGCC	0.4030464122433119	0.0	0.0	late_up
CD151	-0.402773392368375	0.0	0.0	late_down
COL6A3	-0.40185369365364104	0.0	0.0	late_down
CTHRC1	-0.39999974938829685	0.0	0.0	late_down
GPNMB	-0.3997380522204191	0.0	0.0	late_down
S100A11	-0.39911768886300697	0.0	0.0	late_down
COL2A1	0.3975844716736675	0.0	0.0	late_up
GAPDH	-0.3969521248049952	0.0	0.0	late_down
MGST3	-0.39684398011077365	0.0	0.0	late_down
S100A4	-0.3961037523593027	0.0	0.0	late_down
COL1A1	-0.3935063716648808	0.0	0.0	late_down
POLR2L	-0.3919462060865271	0.0	0.0	late_down
PRELP	0.38958348991126984	0.0	0.0	late_up
ITGBL1	-0.3888724281182102	0.0	0.0	late_down
IGFBP6	-0.3875101304606547	0.0	0.0	late_down
UBE2V1	-0.38727533511812	0.0	0.0	late_down
PSMA6	-0.3867292994233112	0.0	0.0	late_down
GAS6	-0.38491920970329163	0.0	0.0	late_down
CSTB	-0.382512101041878	0.0	0.0	late_down
PPP1R14B	-0.37969247611526025	0.0	0.0	late_down
KLF4	0.3794009390811801	0.0	0.0	late_up
CD59	-0.37807795169351716	0.0	0.0	late_down
PDLIM2	-0.37693360344672644	0.0	0.0	late_down
PLIN2	-0.37651677575516	0.0	0.0	late_down
COL6A1	-0.3759900437698184	0.0	0.0	late_down
DKK3	-0.37141852399944314	0.0	0.0	late_down
GREM1	-0.3705168921145864	0.0	0.0	late_down
FTL	-0.37046799036423317	0.0	0.0	late_down
TMEM158	-0.37038533936399737	0.0	0.0	late_down
MARCKS	-0.36808653856150875	0.0	0.0	late_down
PNRC1	0.36657418324209384	0.0	0.0	late_up
CTSK	-0.3663308036511158	0.0	0.0	late_down
DDX5	0.3659459513210335	0.0	0.0	late_up
FAP	-0.36508945303222967	0.0	0.0	late_down
COL6A2	-0.36427393293714994	0.0	0.0	late_down
DAB2	-0.36397788171673895	0.0	0.0	late_down
ATF3	0.36153375285555667	0.0	0.0	late_up
MYL12A	-0.35883101883924295	0.0	0.0	late_down
NDUFA13	-0.3584656651813117	0.0	0.0	late_down
CLMP	-0.3576656637973178	0.0	0.0	late_down
BRI3	-0.35727042184343666	0.0	0.0	late_down
COL9A2	0.35621715616224064	0.0	0.0	late_up
MYOF	-0.35611939379855745	0.0	0.0	late_down
DNAJB1	0.35239906291923134	0.0	0.0	late_up
NEXN	-0.3518279353604477	0.0	0.0	late_down
