gene	rho	pvalue	padj	program
MGP	-0.7858189507954778	0.0	0.0	late_down
NME2	0.7779860966153634	0.0	0.0	late_up
EEF1G	0.7746013084573461	0.0	0.0	late_up
RNASEK	0.769663769785024	0.0	0.0	late_up
COMP	-0.7599418978212792	0.0	0.0	late_down
TRAPPC5	0.7533044047583521	0.0	0.0	late_up
THY1	0.7504230475829728	0.0	0.0	late_up
SNORC	-0.7473126451128054	0.0	0.0	late_down
PRSS23	0.7456776101492509	0.0	0.0	late_up
MYOF	0.7437620938903297	0.0	0.0	late_up
AHNAK2	0.7392824615305531	0.0	0.0	late_up
EXT1	0.7379335922779028	0.0	0.0	late_up
LGALS1	0.7376650987980535	0.0	0.0	late_up
ATP6V0C	0.7372423284384038	0.0	0.0	late_up
FGF13	0.7338341755221429	0.0	0.0	late_up
CA12	0.7335512725699789	0.0	0.0	late_up
NEK10	0.7335053785840352	0.0	0.0	late_up
MRPS24	0.7330352552482445	0.0	0.0	late_up
MT-CO2	0.7329100903705013	0.0	0.0	late_up
TRIO	0.7297649702434177	0.0	0.0	late_up
MT1G	-0.7255491454114101	0.0	0.0	late_down
FTH1	0.7240317780888331	0.0	0.0	late_up
SCRG1	-0.7223154980670591	0.0	0.0	late_down
FGFBP2	-0.7216888009677815	0.0	0.0	late_down
BNC2	0.7203800851497212	0.0	0.0	late_up
MYLK	0.7179952807140473	0.0	0.0	late_up
COL14A1	0.7178064480600741	0.0	0.0	late_up
PRELP	-0.7171392148505306	0.0	0.0	late_down
MT-CO1	0.7167154186330513	0.0	0.0	late_up
ARMC9	0.7140506591348553	0.0	0.0	late_up
NQO1	0.7109473811039522	0.0	0.0	late_up
COL1A1	0.7091288818991875	0.0	0.0	late_up
TSPAN5	0.7084986573696423	0.0	0.0	late_up
CTSA	0.7076849574648211	0.0	0.0	late_up
GAPDH	0.7065513911608612	0.0	0.0	late_up
ARPC1B	0.7039203432047513	0.0	0.0	late_up
MGST1	0.7033747017641265	0.0	0.0	late_up
TMSB4X	0.6994432703137954	0.0	0.0	late_up
GREM1	0.6973819697602495	0.0	0.0	late_up
LIMA1	0.6968335168226952	0.0	0.0	late_up
MT-CO3	0.6945062009297809	0.0	0.0	late_up
ABCC1	0.6935361884127957	0.0	0.0	late_up
IGFBP4	0.6926192825413839	0.0	0.0	late_up
MAP1B	0.69256768174387	0.0	0.0	late_up
NAV2	0.690864059517998	0.0	0.0	late_up
MT1X	-0.6893219665526098	0.0	0.0	late_down
GPNMB	0.6884994118979917	0.0	0.0	late_up
FBXL7	0.6883861568933421	0.0	0.0	late_up
STXBP5	0.6876806524844449	0.0	0.0	late_up
TPM2	0.6875324118688134	0.0	0.0	late_up
JUND	-0.687295330606565	0.0	0.0	late_down
CTSD	0.684415451614047	0.0	0.0	late_up
VIM	0.6829364930944292	0.0	0.0	late_up
TPM4	0.681706980766816	0.0	0.0	late_up
CAMK2D	0.6810415901210236	0.0	0.0	late_up
GRN	0.6808174769050139	0.0	0.0	late_up
MIR99AHG	0.6802904506795261	0.0	0.0	late_up
ARHGAP29	0.6798197636422396	0.0	0.0	late_up
ITGBL1	0.6787240006671754	0.0	0.0	late_up
SERPINA1	-0.6781013640632195	0.0	0.0	late_down
CARS2	0.6777983853467854	0.0	0.0	late_up
LMO7	0.6775221806873218	0.0	0.0	late_up
C12orf75	0.6732755239008755	0.0	0.0	late_up
RPL17	0.6722720576156063	0.0	0.0	late_up
SMYD3	0.6716955643337162	0.0	0.0	late_up
ASAP1	0.6715950858595738	0.0	0.0	late_up
RNH1	0.6714207757493077	0.0	0.0	late_up
AP2S1	0.6682524316306736	0.0	0.0	late_up
GABARAP	0.6677827853514355	0.0	0.0	late_up
BASP1	0.667719285708603	0.0	0.0	late_up
KHDRBS3	0.6674409121735637	0.0	0.0	late_up
CCDC102B	0.6672491343257817	0.0	0.0	late_up
PERP	0.6670332589856285	0.0	0.0	late_up
HIPK2	0.6665971141529212	0.0	0.0	late_up
CLU	-0.6665504736010205	0.0	0.0	late_down
MVP	0.6665052760808652	0.0	0.0	late_up
FLNA	0.6661286671608728	0.0	0.0	late_up
FTL	0.66541991349702	0.0	0.0	late_up
IGFBP7	0.6638373913609386	0.0	0.0	late_up
TKT	0.6636417393261682	0.0	0.0	late_up
APOD	-0.6628429286612414	0.0	0.0	late_down
TPM1	0.6621317502824279	0.0	0.0	late_up
ITGB1	0.6615683750783219	0.0	0.0	late_up
ITGA3	0.6615401409603685	0.0	0.0	late_up
SLC4A7	0.6614011942651701	0.0	0.0	late_up
BAX	0.6603898462407856	0.0	0.0	late_up
MGAT4B	0.6599578332940027	0.0	0.0	late_up
PPP1R14B	0.6588647778911457	0.0	0.0	late_up
RPS2	0.6588399477142894	0.0	0.0	late_up
S100A4	0.657615640066852	0.0	0.0	late_up
MYH9	0.6572829174594366	0.0	0.0	late_up
SBF2	0.6566182153317077	0.0	0.0	late_up
MIF	0.6563723747958977	0.0	0.0	late_up
