comparison	cell_type	mean_prop_ref	mean_prop_test	log2FC_proportion	n_samples_ref	n_samples_test	pvalue	padj
healthy_vs_degenerated_all	NP_mature_chondrocyte	0.57227334416103	0.2587774316455963	-1.1449895520264077	10	13	0.027692406657233378	0.6635671637195494
healthy_vs_degenerated_severe	NP_mature_chondrocyte	0.57227334416103	0.10085601152623458	-2.5043955475158506	10	4	0.03596403596403597	0.6635671637195494
healthy_vs_degenerated_severe	AF_mechanical_stress	0.017029658931602007	0.4106187049036516	4.591596701071558	8	2	0.044444444444444446	0.6635671637195494
mild_vs_severe	AF_outer	0.5641887971950794	0.7708963260355858	0.4503581473747331	18	20	0.04576325267031375	0.6635671637195494
healthy_vs_degenerated_all	AF_mechanical_stress	0.017029658931602007	0.16525321510067786	3.2784809103024877	8	5	0.2222222222222222	1.0
healthy_vs_degenerated_all	Endothelial cells	0.040016115067448045	0.013750893420271219	-1.5409868947304073	8	11	0.6574052022968432	1.0
healthy_vs_degenerated_all	NP_stressed_degenerative	0.1441266701234525	0.15288871324176675	0.08514400661372287	2	18	0.9473684210526315	1.0
healthy_vs_degenerated_all	AF_outer	0.6008346619937958	0.6496448307008075	0.1126829691229124	19	41	0.7645014710436852	1.0
healthy_vs_degenerated_all	Tem/Trm cytotoxic T cells	0.02470564625365841	0.011407458586391167	-1.114795308521748	2	13	1.0	1.0
healthy_vs_degenerated_all	Naive B cells	0.014014501527264788	0.0031013808002453573	-2.175575685071865	2	4	0.5333333333333333	1.0
healthy_vs_degenerated_all	Tem/Effector helper T cells	0.021895482371390593	0.0063556182082579	-1.7843677773285327	2	4	0.8	1.0
healthy_vs_degenerated_mild	AF_outer	0.6008346619937958	0.5641887971950794	-0.09078986862947329	19	18	0.2881042261520932	1.0
healthy_vs_degenerated_mild	NP_mature_chondrocyte	0.57227334416103	0.45549820890998394	-0.3292583819279835	10	6	0.3676323676323677	1.0
healthy_vs_degenerated_mild	NP_stressed_degenerative	0.1441266701234525	0.1566826608826685	0.12050740644320827	2	10	1.0	1.0
healthy_vs_degenerated_all	Fibroblasts	0.02514809782946222	0.0056233028285403355	-2.1607604668956735	5	2	0.8571428571428571	1.0
healthy_vs_degenerated_all	AF_inner	0.2532488489768424	0.22195566521225432	-0.19028337619511382	2	27	0.9655172413793106	1.0
healthy_vs_degenerated_mild	AF_mechanical_stress	0.017029658931602007	0.0016762218986954098	-3.343988778151323	8	3	0.9212121212121214	1.0
healthy_vs_degenerated_mild	AF_inner	0.2532488489768424	0.14467047528043514	-0.8077809134137002	2	14	0.8166666666666667	1.0
healthy_vs_degenerated_mild	Tem/Trm cytotoxic T cells	0.02470564625365841	0.014607535298227368	-0.7580876528203782	2	7	0.8888888888888888	1.0
healthy_vs_degenerated_mild	Endothelial cells	0.040016115067448045	0.004248681018385508	-3.2351907019998456	8	5	1.0	1.0
healthy_vs_degenerated_mild	Naive B cells	0.014014501527264788	0.002846015507358385	-2.2995011139348454	2	2	0.6666666666666666	1.0
healthy_vs_degenerated_mild	Tem/Effector helper T cells	0.021895482371390593	0.009833916000798724	-1.1547144864721328	2	2	1.0	1.0
healthy_vs_degenerated_severe	AF_outer	0.6008346619937958	0.7708963260355858	0.3595682787452598	19	20	0.45951464092203687	1.0
healthy_vs_degenerated_mild	NK cells	0.00696562150817614	0.0006259392857512292	-3.4740615437934244	5	2	0.8571428571428571	1.0
healthy_vs_degenerated_severe	AF_inner	0.2532488489768424	0.2312007751113953	-0.13140893414386182	2	10	0.9090909090909091	1.0
healthy_vs_degenerated_severe	NP_stressed_degenerative	0.1441266701234525	0.14814627869063957	0.039684790119851654	2	8	0.888888888888889	1.0
healthy_vs_degenerated_severe	Endothelial cells	0.040016115067448045	0.02576270712048543	-0.6352769668520475	8	5	0.43512043512043513	1.0
healthy_vs_degenerated_severe	Fibroblasts	0.02514809782946222	0.0056233028285403355	-2.1607604668956735	5	2	0.8571428571428571	1.0
healthy_vs_degenerated_severe	NK cells	0.00696562150817614	0.013928433524450381	0.999605498409216	5	2	0.5714285714285714	1.0
healthy_vs_degenerated_severe	Tem/Trm cytotoxic T cells	0.02470564625365841	0.0076740357559155975	-1.6866538119307735	2	6	0.8571428571428571	1.0
healthy_vs_degenerated_severe	Naive B cells	0.014014501527264788	0.003356746093132329	-2.061458324894498	2	2	0.6666666666666666	1.0
healthy_vs_degenerated_all	NK cells	0.00696562150817614	0.007277186405100805	0.06311981642562123	5	4	0.9047619047619049	1.0
healthy_vs_degenerated_severe	Tem/Effector helper T cells	0.021895482371390593	0.0028773204157170754	-2.9274000147144923	2	2	0.6666666666666666	1.0
mild_vs_severe	NP_mature_chondrocyte	0.45549820890998394	0.10085601152623458	-2.1751371655878673	6	4	0.17142857142857143	1.0
mild_vs_severe	NP_stressed_degenerative	0.1566826608826685	0.14814627869063957	-0.08082261632335647	10	8	0.2742812742812743	1.0
mild_vs_severe	AF_inner	0.14467047528043514	0.2312007751113953	0.6763719792698383	14	10	0.5780310485673851	1.0
mild_vs_severe	CD16+ NK cells	0.017798447953380113	0.014581976203674747	-0.2875473111731594	4	4	0.8857142857142857	1.0
mild_vs_severe	Endothelial cells	0.004248681018385508	0.02576270712048543	2.599913735147798	5	5	0.2222222222222222	1.0
mild_vs_severe	Macrophages	0.0053116605692391525	0.011138393369883145	1.0681642226393684	4	5	0.2857142857142857	1.0
mild_vs_severe	Mast cells	0.0035182441380258713	0.002869344923117167	-0.29404148776949457	5	5	0.8412698412698413	1.0
mild_vs_severe	Memory B cells	0.004306488251277611	0.004490948065455522	0.06049438634263971	4	4	0.8857142857142857	1.0
mild_vs_severe	NP_notochordal	0.17638538022777414	0.09042180251041515	-0.9639806292057528	6	4	0.9142857142857143	1.0
mild_vs_severe	Plasma cells	0.004332260871262503	0.0016016634264875162	-1.4349816138809097	6	4	0.2571428571428571	1.0
mild_vs_severe	Tcm/Naive helper T cells	0.018556986127183102	0.02034755756104003	0.13288636965710393	4	4	1.0	1.0
mild_vs_severe	Tem/Temra cytotoxic T cells	0.005883562082231983	0.010206235925927155	0.7945852819179929	4	3	0.4	1.0
mild_vs_severe	Tem/Trm cytotoxic T cells	0.014607535298227368	0.0076740357559155975	-0.9285661591103952	7	6	0.7307692307692307	1.0
mild_vs_severe	Small pre-B cells	0.00204602248203439	0.0021684001708818044	0.083769252020584	3	3	1.0	1.0
mild_vs_severe	AF_mechanical_stress	0.0016762218986954098	0.4106187049036516	7.935585479222881	3	2	0.2	1.0
mild_vs_severe	NK cells	0.0006259392857512292	0.013928433524450381	4.47366704220264	2	2	0.3333333333333333	1.0
mild_vs_severe	Naive B cells	0.002846015507358385	0.003356746093132329	0.238042789040347	2	2	1.0	1.0
mild_vs_severe	Tem/Effector helper T cells	0.009833916000798724	0.0028773204157170754	-1.7726855282423595	2	2	0.6666666666666666	1.0
healthy_vs_herniated	AF_outer	0.6008346619937958	0.4310852857048923	-0.47899377880353317	19	9	0.22995203090814065	1.0
healthy_vs_herniated	NP_mature_chondrocyte	0.57227334416103	0.6291452847528818	0.13668857125305542	10	5	0.9530469530469531	1.0
healthy_vs_herniated	AF_mechanical_stress	0.017029658931602007	0.23251323720834866	3.7711128970010197	8	4	0.3676767676767677	1.0
healthy_vs_herniated	Endothelial cells	0.040016115067448045	0.021926229376940318	-0.8678936322781291	8	8	0.4418026418026417	1.0
healthy_vs_herniated	NP_stressed_degenerative	0.1441266701234525	0.07246238408111576	-0.9920232484820822	2	4	1.0	1.0
healthy_vs_herniated	Tem/Trm cytotoxic T cells	0.02470564625365841	0.007310218939998332	-1.7567153285283212	2	3	1.0	1.0
healthy_vs_herniated	AF_inner	0.2532488489768424	0.06672079490605312	-1.9243314038341874	2	5	0.5714285714285714	1.0
