cell_type	comparison	n_up	n_down	n_total
AF_inner	healthy_vs_degenerated_all	3	2	5
AF_inner	healthy_vs_degenerated_severe	3	2	5
AF_outer	healthy_vs_degenerated_all	8	4	12
AF_outer	healthy_vs_degenerated_mild	2	5	7
AF_outer	healthy_vs_degenerated_severe	52	48	100
AF_outer	mild_vs_severe	26	12	38
NP_fibrocartilaginous	healthy_vs_degenerated_all	3	2	5
NP_fibrocartilaginous	healthy_vs_degenerated_mild	1	0	1
NP_fibrocartilaginous	healthy_vs_degenerated_severe	241	144	385
NP_fibrocartilaginous	mild_vs_severe	201	217	418
NP_mature_chondrocyte	healthy_vs_degenerated_mild	3	1	4
NP_mature_chondrocyte	healthy_vs_degenerated_severe	77	36	113
NP_mature_chondrocyte	mild_vs_severe	155	136	291
NP_notochordal	healthy_vs_degenerated_all	0	1	1
NP_notochordal	healthy_vs_degenerated_severe	1	2	3
NP_notochordal	mild_vs_severe	10	8	18
NP_stressed_degen	mild_vs_severe	1	0	1
T_cell	mild_vs_severe	27	13	40
