Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	cell_type	comparison	library
prerank	Cellular Response To Heat (GO:0034605)	0.7778989142924038	2.353312667294137	0.0	0.0	0.0	8/31	1.75%	HSPA1B;HSPA1A;HSPA6;BAG3;DNAJB1;THBS1;HSP90AA1;IER5	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Response To Unfolded Protein (GO:0006986)	0.7354753859408417	2.3280380849608817	0.0	0.0	0.0	16/40	5.81%	HSPA1A;HSPA6;HSPH1;HSPA4L;HSPA8;DNAJB1;DNAJA1;HSP90AA1;HSPD1;TMBIM6;TOR1B;HSPE1;BAK1;SERPINH1;HSPA1L;DNAJB4	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961)	0.7362696769594417	2.176563327556549	0.0	0.0008073727559023632	0.002	7/29	7.95%	HSPA1B;HSPA1A;CASP4;CSF1;NLRC5;CD74;TSLP	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)	0.7546881761036219	2.0844001830496715	0.0	0.011202296988145287	0.034	12/24	12.74%	HSPA1B;HSPA1A;HSPA6;HSPA8;DNAJB1;HSPE1;HSPA1L;DNAJB4;ERO1A;HSPA14;DNAJB5;HSPA2	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	'De Novo' Post-Translational Protein Folding (GO:0051084)	0.7265096906343097	2.084087075585973	0.0	0.00896183759051623	0.034	12/28	12.74%	HSPA1B;HSPA1A;HSPA6;HSPA8;DNAJB1;HSPE1;HSPA1L;DNAJB4;ERO1A;HSPA14;DNAJB5;HSPA2	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)	0.7516985870007507	2.080644696532336	0.0	0.008275570747999221	0.037	3/24	0.38%	HSPA1B;HSPA1A;HSPA8	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Response To Steroid Hormone (GO:0048545)	0.7325239794107956	2.0700542430577458	0.0	0.009515464623134993	0.05	5/25	4.27%	HSPA1B;HSPA1A;HSPA8;THBS1;TGFB2	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	0.6266530922066725	2.0671809278557913	0.0	0.008780178720438198	0.053	14/48	16.41%	HSPA1B;HSPA1A;ICAM1;THBS1;BMP4;MAPK7;TNFAIP3;PEA15;MCL1;ITGA6;TMBIM1;DDX3X;BRCA1;PHIP	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320)	0.7228195348819262	2.060322687411501	0.0	0.008881100314925994	0.059	6/27	5.15%	HSPA1B;HSPA1A;HSP90AA1;EPAS1;UBQLN1;COPS7B	AF_inner	mild_vs_severe	GO_Biological_Process_2023
prerank	mRNA Catabolic Process (GO:0006402)	0.6659237344951485	2.0480752916096394	0.0	0.01162616768499403	0.081	6/37	6.09%	HSPA1B;HSPA1A;SUPV3L1;ZFP36;DHX34;ZFP36L2	AF_inner	mild_vs_severe	GO_Biological_Process_2023
