comparison	reason
NP_stressed_degen | healthy_vs_degenerated_all	Underpowered: 2 ref, 13 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
Macrophage | healthy_vs_degenerated_all	Underpowered: 1 ref, 6 test (need >= 3)
T_cell | healthy_vs_degenerated_all	Underpowered: 1 ref, 9 test (need >= 3)
unassigned | healthy_vs_degenerated_all	Underpowered: 1 ref, 9 test (need >= 3)
B_cell | healthy_vs_degenerated_all	Underpowered: 1 ref, 4 test (need >= 3)
NP_stressed_degen | healthy_vs_degenerated_mild	Underpowered: 2 ref, 5 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
Macrophage | healthy_vs_degenerated_mild	Underpowered: 1 ref, 1 test (need >= 3)
T_cell | healthy_vs_degenerated_mild	Underpowered: 1 ref, 4 test (need >= 3)
unassigned | healthy_vs_degenerated_mild	Underpowered: 1 ref, 5 test (need >= 3)
B_cell | healthy_vs_degenerated_mild	Underpowered: 1 ref, 4 test (need >= 3)
NP_stressed_degen | healthy_vs_degenerated_severe	Underpowered: 2 ref, 7 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_severe	Underpowered: 1 ref, 1 test (need >= 3)
Macrophage | healthy_vs_degenerated_severe	Underpowered: 1 ref, 5 test (need >= 3)
T_cell | healthy_vs_degenerated_severe	Underpowered: 1 ref, 5 test (need >= 3)
unassigned | healthy_vs_degenerated_severe	Underpowered: 1 ref, 4 test (need >= 3)
B_cell | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
Pericyte_SMC | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
Macrophage | mild_vs_severe	Underpowered: 1 ref, 5 test (need >= 3)
B_cell | mild_vs_severe	Underpowered: 4 ref, 0 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_mild	Underpowered: 1 ref, 1 test (need >= 3)
AF_inner | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
AF_mechanical_stress | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
AF_mechanical_stress | mild_vs_severe	Underpowered: 1 ref, 0 test (need >= 3)
AF_inner | mild_vs_severe	Underpowered: 0 ref, 3 test (need >= 3)
EP_ossification | healthy_vs_degenerated_all	Underpowered: 3 ref, 2 test (need >= 3)
EP_hyaline | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
EP_ossification | healthy_vs_degenerated_mild	Underpowered: 3 ref, 0 test (need >= 3)
EP_hyaline | healthy_vs_degenerated_severe	Underpowered: 3 ref, 1 test (need >= 3)
EP_ossification | healthy_vs_degenerated_severe	Underpowered: 3 ref, 1 test (need >= 3)
EP_hyaline | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
EP_ossification | mild_vs_severe	Underpowered: 0 ref, 1 test (need >= 3)
