Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes	cell_type	comparison	direction	library	Overlap
GO_Biological_Process_2023	Membrane Organization (GO:0061024)	0.0024510869246900553	0.02491778216807987	0.0	0.0	34.96803652968037	210.20069028199057	DPP4;LPCAT2	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Determination Of Digestive Tract Left/Right Asymmetry (GO:0071907)	0.0025832665484077214	0.02491778216807987	0.0	0.0	552.0714285714286	3289.628339890111	CCDC39	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Platelet Activating Factor Metabolic Process (GO:0046469)	0.0025832665484077214	0.02491778216807987	0.0	0.0	552.0714285714286	3289.628339890111	LPCAT2	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)	0.0025832665484077214	0.02491778216807987	0.0	0.0	552.0714285714286	3289.628339890111	DPP4	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287)	0.0036149436582968626	0.02491778216807987	0.0	0.0	368.0	2069.145875321655	CCDC39	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Homocysteine Metabolic Process (GO:0050667)	0.0036149436582968626	0.02491778216807987	0.0	0.0	368.0	2069.145875321655	NOX4	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)	0.0036149436582968626	0.02491778216807987	0.0	0.0	368.0	2069.145875321655	DPP4	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Ether Lipid Biosynthetic Process (GO:0008611)	0.004130432482323409	0.02491778216807987	0.0	0.0	315.40816326530614	1731.3931059435138	LPCAT2	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065)	0.004130432482323409	0.02491778216807987	0.0	0.0	315.40816326530614	1731.3931059435138	DPP4	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
GO_Biological_Process_2023	Negative Regulation Of Extracellular Matrix Organization (GO:1903054)	0.0046456882008284505	0.02491778216807987	0.0	0.0	275.9642857142857	1482.4292987008012	DPP4	AF_outer	healthy_vs_degenerated_all	up	GO_Biological_Process_2023	
