gene	rho	pvalue	padj_x	program	cell_type	comparison	log2FC	padj_y
CYTL1	-0.7005723161263268	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	3.3781946078003338	0.0356857104718671
CALD1	0.6809183551483291	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.9038612876117452	0.035089676431428
TMSB4X	0.658114957892198	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.656752750220384	0.0445716063439609
TMSB4X	0.658114957892198	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.0785047050799397	0.0348705561032532
COL1A2	0.6228288971679421	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	4.845416627301157	0.0125329139096954
COL1A2	0.6228288971679421	0.0	0.0	late_up	T_cell	mild_vs_severe	4.449595318711412	0.0344573559415365
COL1A1	0.619986020327389	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	4.410933721525758	0.0429034684845244
COL1A1	0.619986020327389	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	4.8018570499738455	0.0022235715661693
COL1A1	0.619986020327389	0.0	0.0	late_up	T_cell	mild_vs_severe	4.880250946248284	0.006205456952001
C11orf96	-0.5786084065002879	0.0	0.0	late_down	AF_outer	mild_vs_severe	-1.8545252784519424	0.0204622948959812
LIMA1	0.5708111488256498	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.128889535683555	0.0201117876495926
LIMA1	0.5708111488256498	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.8280835686848468	0.0373121345359225
EIF3H	-0.5612320871259865	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-0.6746531914741445	0.0284590126075221
IGFBP4	0.5457048168105875	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	2.0033307561571427	0.0153697703469698
FBXO2	-0.5435581179768983	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.6504087822905016	0.0420811963600831
DAB2	0.5392066186965128	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.7064768814464686	0.0053622964019062
BTG1	-0.5177273309521226	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.9763918343850732	0.0074318675442544
ANXA2	0.5089783965046076	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.767120773013379	0.0368328980906834
RPL30	-0.4953777490913129	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.7385975960776049	0.0407723973498317
ACTB	0.4767829060042974	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.6242623266161823	0.0091524487520639
MT-CO2	0.469371522921202	0.0	0.0	late_up	AF_outer	mild_vs_severe	1.4355722597090268	0.0204622948959812
COL6A3	0.4677039112036411	0.0	0.0	late_up	T_cell	mild_vs_severe	3.0434613639796835	0.0361717464167799
COL12A1	0.4668772911933112	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	2.3653203745302704	0.0166169389681057
COL12A1	0.4668772911933112	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	1.9471105550612764	0.0030729009500176
SLC14A1	-0.4638974421562639	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	-1.3733033917224111	0.0496161642334681
CCDC80	0.46169849964136683	0.0	0.0	late_up	T_cell	mild_vs_severe	2.79241565678347	0.0405065455943554
MARCKS	0.4538475022289925	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.0947888534152244	0.0417667972952827
ITM2A	-0.44172749756860824	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.2373736753294216	0.0034862366352962
FBN1	0.4409260909313662	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	2.0514172417555807	0.0003877191757704
BASP1	0.4251011843158609	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.7885659109021386	0.0062818211200892
MDFI	-0.4128048125554392	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.7755089900747112	0.0372182181199703
COL3A1	0.40142742710284596	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.85234808828634	0.032247063546522
COL3A1	0.40142742710284596	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	4.981230545095293	0.0003877191757704
COL3A1	0.40142742710284596	0.0	0.0	late_up	T_cell	mild_vs_severe	4.78270347163799	0.0058437838784281
AHNAK	0.40043896139669477	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	1.89195688504222	0.0498258859065122
SLC4A7	0.39861365302240903	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.7656741908753928	0.0344288620207388
PTX3	0.3957924431146969	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	2.5474440408772483	0.0085338961731418
FAP	0.39388876795940764	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.687430119722218	0.0429034684845244
GPNMB	0.38480129135500174	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	3.955966289265157	0.0088916126767993
CLK1	-0.3775309052959566	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.9886069262820472	6.044330100891514e-05
TCEAL6	-0.3735751052644132	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-2.596692663471379	0.0136023826613202
RTN4	0.3707478467626425	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.9373845771840364	0.0018559401810784
NQO1	0.36984374932927594	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	-1.124603097941232	0.0495256436716794
ZMAT3	0.36924583975560304	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.7085691605446516	0.0475949893292845
RSL24D1	-0.36918207973297623	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.5482776582371943	0.0493962475665484
TUBB4B	-0.36608397297764084	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.1589221522756332	0.0147661944170576
MT-CYB	0.3660313035826095	0.0	0.0	late_up	AF_outer	mild_vs_severe	1.9283544428814892	0.0204622948959812
MYO1B	0.36481945185586473	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.7468794010165398	0.0179277974758787
SEMA3C	0.3610481092420542	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.8761449786012229	0.0294632433665271
SEMA3C	0.3610481092420542	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.737608821392516	0.0486950088852246
TSPAN5	0.3542911295725338	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	-1.531144050039274	0.0364273035558822
TSPAN5	0.3542911295725338	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	-1.0332597045136362	0.0308130093262658
BMP2	-0.3528742035761585	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.4666332347022077	0.016815032866069
BMP2	-0.3528742035761585	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.5812993393670791	0.0265699162266399
BMP2	-0.3528742035761585	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	1.90192565340731	0.0218212138285277
BMP2	-0.3528742035761585	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	0.9541666145965954	0.0339804387048064
BMP2	-0.3528742035761585	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_all	4.672710833950241	0.0333999485696813
BMP2	-0.3528742035761585	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	4.672710833950241	0.0333999485696813
MT-CO3	0.35175447582263386	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_mild	-1.6451537566401115	0.0062370000934931
MT-CO3	0.35175447582263386	0.0	0.0	late_up	AF_outer	mild_vs_severe	2.282022405056729	0.0101956335092049
ALCAM	0.3473616986729483	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.6423443881578206	0.0056380926851892
CTHRC1	0.3461299709037622	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.734040205847696	0.0036249601949636
CTHRC1	0.3461299709037622	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.4096138769776243	0.0275383268976819
MMP2	0.3453867060762437	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	1.234708363637559	0.0020900299276774
ANTXR1	0.342814238077116	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.5579541950363385	0.0008190436187341
ANTXR1	0.342814238077116	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	1.207501067261321	0.0047197331196146
FSTL1	0.33737698180209624	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.7112543003439744	0.0231978258100627
CDH11	0.33621850711985085	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.501282405934785	0.0245777605276746
CDH11	0.33621850711985085	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.3932991945755655	0.0298377802187829
CDH11	0.33621850711985085	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	1.0955827710169284	0.0458547000355064
LAMA4	0.33305475506654275	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.4035989182199766	0.0406685204734774
ADAMTS5	0.33301123164447494	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.979565957382107	0.0402605602191031
FHL2	0.33258274105195507	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.5212370558465362	0.0109383910480497
FHL2	0.33258274105195507	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.330396617903751	0.0236408767220353
TEAD1	0.3303849258694804	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.6900845090924188	0.0048049354341701
TEAD1	0.3303849258694804	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.5165759111797191	0.0080226289637448
S100A10	0.32563448240653364	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.7053785253207737	0.034174018872516
RGS2	-0.3208930261945922	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.7826933657646934	0.0121761082694954
GLIPR1	0.31999591089441565	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.5612907447211763	0.001160408311997
GLIPR1	0.31999591089441565	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.2469288902359108	0.006999878443213
H2AFZ	-0.317331540525904	0.0	0.0	late_down	AF_outer	healthy_vs_degenerated_severe	-1.1830908678630077	0.0243008898963115
TUBB	0.3105585118209198	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	-0.832294856022439	0.0317533246466273
CAPS	-0.30964362410651236	0.0	0.0	late_down	NP_fibrocartilaginous	healthy_vs_degenerated_severe	-1.55162157288821	0.0286024568929753
CAPS	-0.30964362410651236	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.7175729741844254	0.0099468566103329
VMP1	0.30911999982326804	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.1978462756607535	0.0109383910480497
VMP1	0.30911999982326804	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.6435486435149191	0.0324858917909561
WTAP	-0.3087406846408989	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.8995487025911789	0.0069477599862691
WTAP	-0.3087406846408989	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	0.5978016076859702	0.0167499952324033
ITM2C	-0.30430095189161627	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-0.979608694400154	0.0254881716163453
CLMP	0.3042201413169155	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.8384279972065003	0.02967633095371
CYCS	-0.2987077481717247	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.7022509960493933	0.0241090002516331
BICC1	0.29834490762308624	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.009775160955426	0.0041624177458647
FRMD6	0.29693476859598245	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.8037612658475327	0.0457063895265237
FRMD6	0.29693476859598245	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.1350938522374583	0.0255536947548655
FRMD6	0.29693476859598245	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.6623768174687938	0.0420811963600831
PLA2G2A	-0.29196253617072343	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	1.6379961370405534	0.0423093490801398
PLA2G2A	-0.29196253617072343	0.0	0.0	late_down	T_cell	mild_vs_severe	3.6794301981742894	0.002867163941141
NFKBIA	-0.29180662697962134	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	1.357159458452143	0.010799329361998
A2M	-0.2897382573047894	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-2.142150527448372	0.0286765335830553
EXT1	0.2877199280176274	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.6676536243487629	0.0499875960286998
GJA1	0.28758938012469704	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.5377740635282244	0.0137965076366454
GJA1	0.28758938012469704	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.8143609622293368	4.6123171375941696e-06
GJA1	0.28758938012469704	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.9645493100844186	0.0094030263514734
SPP1	-0.2857530581593602	0.0	0.0	late_down	T_cell	mild_vs_severe	5.354920934109991	0.0331983963813912
SPP1	-0.2857530581593602	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_all	4.743161655774444	0.0333999485696813
SPP1	-0.2857530581593602	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	4.743161655774444	0.0333999485696813
EFEMP1	0.2833583055160091	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.6930020778006263	0.010888678009697
EFEMP1	0.2833583055160091	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	2.8582957551452703	0.0005197808055849
