gene	rho	pvalue	padj_x	program	cell_type	comparison	log2FC	padj_y
NQO1	0.7109473811039522	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	-1.2019354515198093	0.0290557755172486
TSPAN5	0.7084986573696423	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	-1.9271993642674548	0.0326255097898366
GREM1	0.6973819697602495	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_all	-2.8860987283573425	0.0463924155073192
GREM1	0.6973819697602495	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_severe	-2.8637342615091885	0.0352888770513117
IGFBP4	0.6926192825413839	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.8887314056620077	0.0072088094053467
GPNMB	0.6884994118979917	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.9047694963869155	0.0457262508405181
STXBP5	0.6876806524844449	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.773845485649122	0.0359562129917367
BASP1	0.667719285708603	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.7085045042900089	0.007691055165331
KHDRBS3	0.6674409121735637	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_severe	-4.079809550465907	0.049950610687349
CCDC102B	0.6672491343257817	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	-1.6013123854143567	0.0008182565898787
CCDC102B	0.6672491343257817	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_all	-4.237532347361301	0.013989289619065
CCDC102B	0.6672491343257817	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_severe	-4.215168620921067	0.0035652480521482
SLC4A7	0.6614011942651701	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.8144079862577094	0.0462553803117369
FBN1	0.6491308439871898	0.0	0.0	late_up	NP_notochordal	mild_vs_severe	1.4663007575908815	0.0152324825113995
SRGAP1	0.6385875955644676	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.686885553190723	0.0076697811392887
SFRP1	0.6370423455428437	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	3.839566113960745	0.0269372011428144
NT5E	0.6329443476998355	0.0	0.0	late_up	unassigned	mild_vs_severe	2.838789389333799	0.0068368170308518
EIF4A1	0.6315186629584629	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.7556489726277907	0.0214610761456883
ANTXR1	0.6289666330301557	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.4023404912508004	0.0097474553970959
ANTXR1	0.6289666330301557	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	1.0746540962022308	0.0249854787431487
HSPA1B	-0.62132714705274	0.0	0.0	late_down	Fibrochondrocyte_chondroid	mild_vs_severe	1.1186486569567071	0.0498976360207714
PTK2	0.6079166497835294	0.0	0.0	late_up	unassigned	mild_vs_severe	3.404376803889297	0.0323864985558306
NDUFS8	0.604123862221795	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.9028342654850084	0.0354475293934001
DRAP1	0.6038658122460719	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.7793251470898754	0.00035359199341
BICC1	0.5911081818729704	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.989513569515582	0.0123258030605627
CTHRC1	0.5819437651792297	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.956176457326385	0.0097474553970959
AKR1B1	0.5817730200398546	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.144294455949913	0.0339368648130603
FHL2	0.5812156572724099	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.2974594355050657	0.0271341106590489
EFNA5	0.5793812628537928	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.4024765468138682	0.0447831981455516
FIBP	0.5771149501648869	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.8014218820071163	0.0173928051301834
CYP51A1	0.5750015227905096	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-1.1965261132118552	0.049310840635306
ATP8B1	0.5704616051768867	0.0	0.0	late_up	unassigned	mild_vs_severe	3.2781419471725566	0.0432873691139508
STAT1	0.5689759206840745	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.6722518291218927	0.0173928051301834
ALCAM	0.5689348774712406	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.3099853248717404	0.0162821435096148
TALDO1	0.5683292910051408	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-0.9709951554510508	0.0073522088027166
RTN4	0.5646711429933744	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.9186857046524204	0.0144126436883527
HEG1	0.5602009078583307	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.8928538513993312	0.0375643912656475
MSANTD3	0.557767752423661	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.9356885030807068	0.0166466025650161
TGFBI	0.5559670007407862	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.5710957425350407	0.0305334624566703
CDCA2	0.5539519897802142	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	-1.2501239755639728	0.0231458772318243
HECTD1	0.5489720209454069	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	-0.5082250973928993	0.0458295605421496
MAML2	0.5481824527092888	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.67997127276109	0.0333040050892485
PTPRG	0.5395385176873387	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	0.6774133888171487	0.0122892554567579
RPL30	-0.53851626568039	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.6959634824722175	0.0497136842097231
ATXN1	0.5374905423268974	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.8962118237607932	0.005559155304264
SEMA3C	0.5345492923728021	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.0105094676056947	0.0037784205291242
S100A16	0.5308101255860694	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.958698578155592	0.041687328570615
HMGA2	0.5299941467626668	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_severe	4.995516518764937	0.0264469457626988
