gene	rho	pvalue	padj_x	program	cell_type	comparison	log2FC	padj_y
HSPA1B	-0.5640801431046345	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.0889903479374228	0.0312908967242236
TMSB4X	0.5405411777686371	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.3794120768024931	0.011802654238825
MARCKS	0.5278252451068143	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.6607348917666405	0.0468848423724065
VIM	0.5216727658746536	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	0.6875579487096461	0.0255648954700602
DNAJA1	-0.5101036770917545	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.5427762851262998	0.0191402868802004
ABI3BP	-0.509492838993234	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	-1.210642507657535	0.0346018548794079
BTG1	-0.5003126751080903	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.6054742297495264	0.0038424683136847
NR4A2	-0.4801494368873996	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	3.0982298506913697	0.0476311007649466
BASP1	0.4659773524488565	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	1.2875579945111402	0.0412416467710837
BASP1	0.4659773524488565	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.9484000799973136	0.0039953098093927
CALD1	0.4602785661327952	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	0.7915341734368467	3.138333763061756e-05
ACAN	-0.45805726985747264	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	-1.2643043106999663	0.0357880563398814
GPNMB	0.4360770794868925	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	3.765627819615706	0.0026899564161571
GPNMB	0.4360770794868925	0.0	0.0	late_up	NP_fibrocartilaginous	healthy_vs_degenerated_severe	2.1340992790412816	0.0210290375502709
GPNMB	0.4360770794868925	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	1.5712852578244638	0.0239615914098786
RGS2	-0.4257182789890824	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	1.49193796773372	0.0002864182686433
INHBA	-0.4149652988605052	0.0	0.0	late_down	T_cell	mild_vs_severe	1.7230305980861276	0.0058678937490279
C12orf75	0.4095630419759924	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.7989803101823518	0.0138463447357564
TMEM158	0.4054288464932665	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.6776028171447657	0.0166223466593372
PTGS2	-0.403922913604457	0.0	0.0	late_down	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.495316084458084	0.0211346471772907
PTGS2	-0.403922913604457	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_all	5.2553288524981365	2.278177333352377e-06
PTGS2	-0.403922913604457	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	5.27263775502045	1.0194099426449218e-07
ERRFI1	-0.3996681347293943	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	0.7109438149045292	0.0326277448283437
CSTB	0.3965865824866682	0.0	0.0	late_up	T_cell	mild_vs_severe	0.9529486746373512	0.0090615289711089
